Code,Output
1111A0,38216
1111B0,57882
111200,18806
111300,29958
111400,20064
111900,26575
112120,38538
1121A0,88052
112300,44568
112A00,33443
113000,19729
114000,8929
115000,25407
211000,238092
212100,27827
212230,12890
2122A0,14424
212310,14479
2123A0,16764
213111,28150
21311A,90443
221100,382742
221200,67974
221300,15493
233210,47123
233262,101181
230301,204428
230302,84468
2332A0,169386
233412,79772
2334A0,252295
233230,70668
2332D0,123210
233240,123629
233411,270471
2332C0,143054
321100,32707
321200,24234
321910,25047
3219A0,24797
327100,7945
327200,26018
327310,8217
327320,31090
327330,6112
327390,12304
327400,7981
327910,4682
327991,4944
327992,4306
327993,6185
327999,4860
331110,87757
331200,22658
331314,5830
331313,2777
33131B,26630
331410,10209
331420,21725
331490,13942
331510,16827
331520,12606
332114,6724
33211A,12712
332119,11097
332200,8969
332310,44063
332320,41996
332410,6979
332420,8069
332430,17708
332500,8565
332600,8940
332710,37339
332720,29210
332800,25735
332913,4703
33291A,24879
332991,6127
332996,6055
33299A,13179
332999,13559
333111,24565
333112,7864
333120,31727
333130,16964
333242,8346
33329A,30530
333314,4470
333316,1494
333318,18690
333414,4298
333415,32587
333413,5791
333511,6456
333514,9117
333517,7644
33351B,8565
333611,12497
333612,3054
333613,4841
333618,25019
333912,8967
333914,17006
333920,29175
333991,3175
333993,6779
333994,2580
33399A,22477
33399B,10609
334111,8859
334112,4059
334118,6662
334210,5295
334220,25601
334290,4669
334413,50933
334418,18014
33441A,25305
334510,31534
334511,50863
334512,2895
334513,10364
334514,5157
334515,10722
334516,15143
334517,9251
33451A,11942
334300,2879
334610,1800
335110,1408
335120,11305
335210,3350
335220,18498
335311,5057
335312,9750
335313,11532
335314,10123
335911,7278
335912,2085
335920,11134
335930,13758
335991,3301
335999,10627
336111,37431
336112,211457
336120,25652
336211,14287
336212,10721
336213,5391
336214,17241
336310,38572
336320,22712
336350,40282
336360,30807
336370,36343
336390,61563
3363A0,25762
336411,141635
336412,43163
336413,34473
336414,16873
33641A,7762
336500,12759
336611,25040
336612,10175
336991,7199
336992,6370
336999,8334
337110,14881
337121,12020
337122,4047
337127,4817
33712N,3132
337215,7010
33721A,18526
337900,10087
339112,38417
339113,30274
339114,4003
339115,5383
339116,4934
339910,9390
339920,10126
339930,2014
339940,3200
339950,12852
339990,25722
311111,23070
311119,31162
311210,16246
311221,9640
311225,9410
311224,31885
311230,10070
311300,36547
311410,32292
311420,33276
311513,47141
311514,23759
31151A,42797
311520,7637
311615,67410
31161A,149223
311700,13700
311810,52872
3118A0,25322
311910,38554
311920,13555
311930,11639
311940,21373
311990,29475
312110,43714
312120,31850
312130,21410
312140,16220
312200,61164
313100,7051
313200,13076
313300,6855
314110,9652
314120,3398
314900,8806
315000,11650
316000,4635
322110,6806
322120,37555
322130,32697
322210,63012
322220,21182
322230,6197
322291,11157
322299,4297
323110,84337
323120,3166
324110,484269
324121,13033
324122,10609
324190,19791
325110,53121
325120,9325
325130,6692
325180,30806
325190,114566
325211,87378
3252A0,14703
325411,11109
325412,153442
325413,14257
325414,30566
325310,16507
325320,14541
325510,26862
325520,14781
325610,37428
325620,38889
325910,4154
3259A0,41321
326110,38145
326120,18397
326130,4375
326140,9761
326150,10736
326160,11018
326190,98121
326210,19154
326220,5184
326290,17704
423100,136107
423400,206450
423600,221877
423800,168866
423A00,288852
424200,199853
424400,181062
424700,161947
424A00,384877
425000,47545
4200ID,38513
441000,301799
445000,231619
452000,227348
444000,142940
446000,119517
447000,89954
448000,138827
454000,281220
4B0000,230450
481000,233827
482000,78543
483000,52612
484000,359213
485000,78338
486000,50196
48A000,142955
492000,96842
493000,128619
511110,25491
511120,26980
511130,37940
5111A0,10954
511200,252481
512100,130806
512200,18284
515100,92401
515200,107618
517110,336279
517210,251551
517A00,46741
518200,224377
519130,167391
5191A0,8452
522A00,404898
52A000,653377
523900,350558
523A00,198144
524113,91161
5241XX,586413
524200,360228
525000,186494
531HSO,1553178
531HST,459987
531ORE,1266452
532100,70172
532400,108662
532A00,33586
533000,158328
541100,354350
541511,221449
541512,259904
54151A,45009
541200,164701
541300,332006
541610,205491
5416A0,53471
541700,620511
541800,137743
541400,35855
541920,12827
541940,39409
5419A0,88244
550000,551870
561300,385405
561700,196480
561100,62358
561200,29901
561400,80722
561500,57742
561600,67209
561900,59020
562000,114760
611100,46282
611A00,158045
611B00,77682
621100,492093
621200,129688
621300,98044
621400,162541
621500,54840
621600,91364
621900,34667
622000,834099
623A00,188151
623B00,54157
624100,115512
624400,57311
624A00,55337
711100,28024
711200,42070
711500,45941
711A00,48156
712000,19796
713100,18040
713200,69835
713900,82013
721000,236085
722110,372221
722211,385902
722A00,186864
811100,194285
811200,50438
811300,63071
811400,54924
812100,79630
812200,21338
812300,29216
812900,78162
813100,100202
813A00,58458
813B00,94976
814000,18684
S00500,599358
S00600,382690
491000,69671
S00101,15748
S00102,6209
GSLGE,932837
GSLGH,309771
GSLGO,866778
S00201,16928
S00202,63412
S00203,273909
