"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"
"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"

,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
111CA,Farms,118977,146,---,29,13,---,2434,---,---,---,---,---,---,---,---,---,---,141,281905,1564,---,---,---,---,15196,---,998,372,980,213,192,---,---,---,---,---,---,27,---,---,---,---,---,0,---,---,---,0,1,---,0,0,2049,49,1143,---,195,---,---,---,---,---,376,67,5946,9,11,-156,---,3957,---,436839,119040,---,---,---,---,-3521,51923,-57493,---,---,---,---,---,---,---,---,---,---,---,---,109948,546787
113FF,"Forestry, fishing, and related activities",27934,7850,---,109,---,---,---,16746,0,---,---,---,---,---,---,---,75,231,6737,---,87,3597,25,---,276,1589,---,---,524,---,0,---,---,---,---,---,---,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,437,30,3,---,50,---,---,---,---,---,324,351,6227,89,---,49,14,6409,---,79764,9008,---,---,---,---,1962,5536,-19276,---,---,---,---,---,---,---,---,---,---,---,---,-2770,76994
211,Oil and gas extraction,---,---,21602,10,77,17080,---,24,5,9,6,---,---,---,2,---,---,---,19,---,---,10,3,384735,7625,19,68,47,10,14,121,---,---,---,---,---,37,---,458,353,26,35,189,---,---,---,---,---,191,---,---,4,72,20,15,59,1198,39,8,16,35,16,216,29,17,149,---,0,731,---,11532,446929,---,---,---,---,---,3325,130556,-175862,---,---,---,---,---,---,---,---,---,---,---,---,-41981,404948
212,"Mining, except oil and gas",1269,0,83,8183,108,6208,21691,7,10947,16620,466,91,5,83,74,96,10,102,1092,26,---,1003,---,2550,5210,96,24,---,---,---,3,---,94,0,7,0,---,1,1,13,14,215,1418,---,---,---,---,7,---,---,---,---,1683,31,1043,56,539,---,19,33,249,392,785,137,904,1349,---,3262,---,2154,5669,96118,158,---,131,---,---,1272,21982,-6445,---,---,---,---,---,---,---,---,---,---,---,---,17099,113217
213,Support activities for mining,---,---,21084,2085,1583,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,59,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,24816,---,103546,3063,---,---,18,1912,-1522,---,---,---,---,---,---,---,---,---,---,---,---,107017,131833
22,Utilities,10527,68,11093,3719,312,35503,14401,2125,4374,6671,4610,2416,1510,907,3307,5679,680,877,11811,799,107,5831,1230,5862,14484,5189,18886,7135,10950,9567,22658,1084,81,186,6235,664,2001,1475,2693,975,478,7836,7628,4615,1911,789,2774,372,41357,2390,654,1293,6847,5962,4147,2414,6947,5109,9435,4084,2187,1488,4279,6496,27010,10024,5015,1353,3982,39334,5160,462054,355771,---,---,---,---,---,5039,-3474,---,---,---,---,---,---,---,---,---,---,---,---,357336,819391
23,Construction,2066,31,276,3178,1288,5669,525,532,1205,1684,1582,989,579,236,1005,866,175,401,3239,126,21,1232,371,7887,2476,1060,5837,2527,1376,2842,6011,334,2949,50,857,631,1333,1425,1012,152,104,3204,1944,7749,2557,1305,126,66434,58335,1842,182,126,3145,1092,1240,252,2194,1028,2070,913,1189,394,1004,3431,4660,5848,13311,1170,923,51680,76352,381840,---,736195,---,---,902828,---,123,---,---,14716,---,---,---,19263,---,---,---,413374,---,---,2086499,2468340
321,Wood products,613,68,---,383,182,7,69500,34037,231,539,227,861,396,942,3681,254,7278,1432,375,57,1,4742,1,---,266,2152,9019,261,777,212,1641,---,3569,---,256,---,3,62,121,37,89,875,1736,261,7,---,---,40,8319,1009,11,30,1007,6,1156,33,55,598,670,4,1024,12,316,1163,1336,496,16,84,2,4094,374,169009,4301,91,---,---,10578,-141,4957,-24518,---,---,---,---,---,---,16,---,---,---,---,---,-4717,164292
327,Nonmetallic mineral products,28,88,2052,467,495,38,92627,820,16723,2691,1215,1391,263,1644,7213,323,244,704,2424,28,---,367,1,1177,1279,1865,94,297,39,332,749,---,14,---,132,0,0,8,56,1,1,2281,788,16,26,46,---,135,49,1068,0,181,5100,30,827,291,71,2149,2708,113,716,12,154,89,2612,1703,47,620,---,2133,3520,165375,15758,---,---,---,---,-362,8456,-32651,---,---,---,---,---,---,---,---,---,---,---,---,-8799,156575
