GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",658614,657096,662253,671151,679408,684297,692454,696857,684287,675244,679311,685770,691681,698206,706887,714513,722540,727603,724994,687172,703894,730151
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",559064,555937,557870,562270,565469,567550,568362,572451,558416,551397,552517,559661,563140,568090,575752,583332,588133,589820,587915,542587,553377,568742
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,40,"..."," Proprietors employment ","Number of jobs",99550,101159,104383,108881,113939,116747,124092,124406,125871,123847,126794,126109,128541,130116,131135,131181,134407,137783,137079,144585,150517,161409
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",4881,4759,4526,4298,4211,4046,4149,4185,4168,4155,4159,4097,4118,4073,4065,4004,3957,3943,3854,3897,3894,3893
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",94669,96400,99857,104583,109728,112701,119943,120221,121703,119692,122635,122012,124423,126043,127070,127177,130450,133840,133225,140688,146623,157516
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,70,"111-112"," Farm employment ","Number of jobs",7160,6994,6856,6259,6139,5838,5914,6155,6117,6123,6354,6325,6664,6628,6611,6379,6455,6382,6294,6243,6299,6463
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",651454,650102,655397,664892,673269,678459,686540,690702,678170,669121,672957,679445,685017,691578,700276,708134,716085,721221,718700,680929,697595,723688
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,90,"...","  Private nonfarm employment ","Number of jobs",520269,517559,523689,534101,542164,548256,555240,557775,545880,539156,548086,556263,562101,568655,577592,584564,592547,598359,595748,563629,582319,607892
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1589,1646,1561,1609,1593,1646,1620,1619,1543,1589
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1352,1422,1492,1568,(D),1474,1525,1588,1721,1865
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,300,"22","   Utilities ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2079,2163,2254,2284,2138,2129,2148,2094,2032,1991
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,400,"23","   Construction ","Number of jobs",(D),(D),33432,34515,35576,36574,37214,37078,34930,33601,33472,34082,34413,35019,35636,35983,36067,35997,36161,35558,35631,36653
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,500,"31-33","   Manufacturing ","Number of jobs",45897,42496,40299,40685,(D),39895,(D),38878,(D),(D),(D),(D),39072,39158,40395,41423,41734,41995,41218,39420,39872,41640
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,600,"42","   Wholesale trade ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),18749,19824,20288,19042,18663,18437,18477,17594,17740,18773
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,700,"44-45","   Retail trade ","Number of jobs",76422,76232,77049,78604,79562,80023,79173,77575,75240,73691,74071,75074,75222,75972,75999,76235,75869,74704,73257,69594,71468,72939
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,800,"48-49","   Transportation and warehousing ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19236,19434,19818,18596 E,23094,25586,24856 E,25817 E,32672,36222
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,900,"51","   Information ","Number of jobs",16697,15020,15128,14888,15102,14671,13802,13325,13015,12524,12421,12187,11962,12007,11872,12024,11723,11686,10958,10624,10645,11134
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1000,"52","   Finance and insurance ","Number of jobs",31084,30802,31069,31336,31709,32829,33898,35231,37245,36288,38024,38052,38212,37035,37597,38502,37764,38601,39208,41818,43049,45915
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1100,"53","   Real estate and rental and leasing ","Number of jobs",16483,17031,18281,19901,21510,22256,(D),23843,22958,23231,23979,23483,24145,25316,26015,26783,28094,28851,28339,30302,32650,35979
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1200,"54","   Professional, scientific, and technical services ","Number of jobs",42037,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),48279 E,48798 E,49445 E,49170 E,50287,50525,50940,49246 E,50808 E,52946
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1300,"55","   Management of companies and enterprises ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8386,8238,8387,9124,8739 E,8600 E,8445 E,8391,8125,8369 E
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),28950,(D),(D),(D),(D),27003 E,27275 E,27660 E,28659 E,29745 E,29995 E,29558 E,27356 E,29678 E,31505 E
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1500,"61","   Educational services ","Number of jobs",(D),(D),(D),(D),(D),22578,22659,(D),23400,23782,24154,24658,25567,26430,26530,26621,26854 E,26474,27075,24288 E,24270,24832 E
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1600,"62","   Health care and social assistance ","Number of jobs",(D),(D),(D),(D),(D),83728,85991,(D),88230,89244,89804,91305,91141,91253,92684,94559,93934 E,97745,96438,87300 E,89469,87063 E
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1700,"71","   Arts, entertainment, and recreation ","Number of jobs",11886,12482,12235,12887,13057,13101,13469,14119,14357,14777,14927,15179,15165 E,16085,16155,16215,16225,16176,16024,(D),14188,15063
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1800,"72","   Accommodation and food services ","Number of jobs",37625,38971,39184,39654,39868,40537,41075,41201,40466,41156,42234,43325,44592,45354,46611,47750,49994,50395,49960,37326,41803,46000
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,1900,"81","   Other services (except government and government enterprises) ","Number of jobs",32046,33303,33935,34479,34339,34513,35078,35034,34566,33094,34001,34473,34674,35300,36266,35883,35786,37048,37124,33123,33957,35154
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,2000,"...","  Government and government enterprises ","Number of jobs",131185,132543,131708,130791,131105,130203,131300,132927,132290,129965,124871,123182,122916,122923,122684,123570,123538,122862,122952,117300,115276,115796
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,2001,"...","   Federal civilian ","Number of jobs",8352,8586,8513,7829,7781,7687,7711,7691,7800,8108,7544,7333,7160,7075,7075,7163,7226,7336,7591,7753,7457,7368
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,2002,"...","   Military ","Number of jobs",4204,4105,3902,3620,3631,3610,3403,3729,3630,3586,3566,3816,3817,3717,3766,4493,4469,3586,2789,2422,2392,2323
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,2010,"...","   State and local ","Number of jobs",118629,119852,119293,119342,119693,118906,120186,121507,120860,118271,113761,112033,111939,112131,111843,111914,111843,111940,112572,107125,105427,106105
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,2011,"...","    State government ","Number of jobs",57404,57356,56610,55843,55987,55349,56077,56739,55990,54386,51716,51381,52729,53695,53445,53435,53152,53105,53341,52630,50643,50202
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAEMP25N,2012,"...","    Local government ","Number of jobs",61225,62496,62683,63499,63706,63557,64109,64768,64870,63885,62045,60652,59210,58436,58398,58479,58691,58835,59231,54495,54784,55903
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",582103,585699,595575,610051,622296,642059,654558,652851,630634,619947,618242,616870,619906,624019,632033,639910,644676,651593,654711,629155,649605,678271
