GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "09000","Connecticut",1,CAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",2125253,2117721,2112277,2144316,2171965,2202093,2245723,2256077,2196171,2171940,2206253,2223243,2246505,2266061,2288144,2301331,2300273,2314465,2297910,2217432,2289551,2391946
 "09000","Connecticut",1,CAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",1753339,1737580,1715878,1722803,1732034,1748685,1763169,1764632,1692073,1671404,1685861,1704875,1717318,1730455,1740243,1745025,1744840,1749869,1748208,1628346,1672579,1728113
 "09000","Connecticut",1,CAEMP25N,40,"..."," Proprietors employment ","Number of jobs",371914,380141,396399,421513,439931,453408,482554,491445,504098,500536,520392,518368,529187,535606,547901,556306,555433,564596,549702,589086,616972,663833
 "09000","Connecticut",1,CAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",4074,4020,3847,3758,3728,3646,4214,4397,4567,4778,5069,5191,5236,5167,5180,5094,5039,4997,4869,4945,4936,4936
 "09000","Connecticut",1,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",367840,376121,392552,417755,436203,449762,478340,487048,499531,495758,515323,513177,523951,530439,542721,551212,550394,559599,544833,584141,612036,658897
 "09000","Connecticut",1,CAEMP25N,70,"111-112"," Farm employment ","Number of jobs",10233,10230,10130,8898,8645,8079,8447,9009,9022,9174,9875,9966,10692,10645,10637,10187,9708,9557,9430,9327,9428,9738
 "09000","Connecticut",1,CAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",2115020,2107491,2102147,2135418,2163320,2194014,2237276,2247068,2187149,2162766,2196378,2213277,2235813,2255416,2277507,2291144,2290565,2304908,2288480,2208105,2280123,2382208
 "09000","Connecticut",1,CAEMP25N,90,"...","  Private nonfarm employment ","Number of jobs",1850276,1839883,1837713,1870105,1895662,1926005,1968886,1974512,1917955,1897250,1935331,1951549,1974114,1994309,2017255,2031923,2034685,2053663,2038797,1970382,2042712,2142109
 "09000","Connecticut",1,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",2425,2660,2374,2526,2480,2538,2628,2651,2557,2408,2379,2418,2441,2544,2322,2436,2306,2343,2255,(D),2362,(D)
 "09000","Connecticut",1,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",2019,1794,2083,1905,1905,2185,2772,2935,2830,3119,2653,3682,3598,3307,3696,3564,2818,2110,1898,(D),1871,(D)
 "09000","Connecticut",1,CAEMP25N,300,"22","   Utilities ","Number of jobs",9448,9134,8940,8782,8763,6875,6921,7111,6955,6785,6552,6341,6579,6459,6282,6668,5891,5745,5805,5754,5610,5627
