GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "15000","Hawaii",8,CAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",752548,757694,773609,797234,819967,842375,864610,858384,829885,824450,834994,849130,868191,882702,901126,914921,921135,924352,914019,817697,861096,903622
 "15000","Hawaii",8,CAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",628046,631010,642314,657902,674105,690283,698253,692939,664680,661105,668935,680809,693510,702804,715002,723914,729532,729548,726773,626386,656812,686760
 "15000","Hawaii",8,CAEMP25N,40,"..."," Proprietors employment ","Number of jobs",124502,126684,131295,139332,145862,152092,166357,165445,165205,163345,166059,168321,174681,179898,186124,191007,191603,194804,187246,191311,204284,216862
 "15000","Hawaii",8,CAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",5236,4795,4719,4604,4605,4513,6149,6006,5903,5848,5776,5636,5782,5785,5891,5961,5961,5955,5849,5876,5873,5874
 "15000","Hawaii",8,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",119266,121889,126576,134728,141257,147579,160208,159439,159302,157497,160283,162685,168899,174113,180233,185046,185642,188849,181397,185435,198411,210988
 "15000","Hawaii",8,CAEMP25N,70,"111-112"," Farm employment ","Number of jobs",12314,11978,11917,11596,11404,11304,12489,11661,11288,11510,12304,11735,11950,13161,12625,12255,12011,12531,10664,10365,11308,11581
 "15000","Hawaii",8,CAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",740234,745716,761692,785638,808563,831071,852121,846723,818597,812940,822690,837395,856241,869541,888501,902666,909124,911821,903355,807332,849788,892041
 "15000","Hawaii",8,CAEMP25N,90,"...","  Private nonfarm employment ","Number of jobs",572819,574986,589980,612148,636090,656263,675811,666359,637423,630911,640626,654339,673492,686643,703066,717378,725338,733305,726753,635759,677100,719559
 "15000","Hawaii",8,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",3792,4177,3647,3774,3639,3572,3473,3604,3715,3757,3715,4026,4156,4425,4025,3974,3877,3920,3914,3820,(D),4103
 "15000","Hawaii",8,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",487,417,550,556,598,672,762,964,991,1140,960,1066,1025,958,1060,1011,802,655,572,664,655,701
