GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "25000","Massachusetts",1,CAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",4075959,4021523,3991923,4028571,4071259,4110359,4202911,4215626,4115975,4115496,4175255,4253382,4353531,4447709,4631415,4709800,4778364,4855037,4872907,4600264,4777326,5002244
 "25000","Massachusetts",1,CAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",3455268,3386238,3327132,3316111,3328566,3358658,3401250,3406423,3292481,3300801,3338259,3420760,3474863,3540709,3610323,3674529,3724063,3777941,3830137,3514182,3631585,3779020
 "25000","Massachusetts",1,CAEMP25N,40,"..."," Proprietors employment ","Number of jobs",620691,635285,664791,712460,742693,751701,801661,809203,823494,814695,836996,832622,878668,907000,1021092,1035271,1054301,1077096,1042770,1086082,1145741,1223224
 "25000","Massachusetts",1,CAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",5784,5742,5539,5390,5359,5235,6547,6519,6487,6511,6519,6496,6559,6494,6467,6292,6228,6213,6105,6130,6127,6128
 "25000","Massachusetts",1,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",614907,629543,659252,707070,737334,746466,795114,802684,817007,808184,830477,826126,872109,900506,1014625,1028979,1048073,1070883,1036665,1079952,1139614,1217096
 "25000","Massachusetts",1,CAEMP25N,70,"111-112"," Farm employment ","Number of jobs",10704,10594,10512,9512,9356,8890,10087,10377,10213,10187,10538,10929,11625,11580,11534,11021,10539,10423,10317,10176,10274,10562
 "25000","Massachusetts",1,CAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",4065255,4010929,3981411,4019059,4061903,4101469,4192824,4205249,4105762,4105309,4164717,4242453,4341906,4436129,4619881,4698779,4767825,4844614,4862590,4590088,4767052,4991682
 "25000","Massachusetts",1,CAEMP25N,90,"...","  Private nonfarm employment ","Number of jobs",3607314,3553253,3535030,3582746,3624158,3658946,3744262,3751797,3653532,3650739,3713882,3789201,3886137,3974672,4159320,4234880,4304617,4378828,4395272,4136651,4314050,4529296
 "25000","Massachusetts",1,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",10611,(D),(D),11382,11310,11079,10960,(D),(D),(D),(D),(D),9830,9885,9962,10329,10137,10187,9983,9850,9820,9947
 "25000","Massachusetts",1,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",2490,(D),(D),2755,2839,2860,2830,(D),(D),(D),(D),(D),3594,3417,3814,3760,3281,2491,2270,2346,2326,2417
