GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",1841585,1846232,1885909,1930595,1980806,2017128,2033376,1998601,1899268,1882771,1919042,1970635,2027172,2088135,2159495,2205488,2242954,2299599,2307080,2178370,2258577,2386649
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",1507177,1502417,1521658,1547584,1581816,1606736,1598976,1565011,1452827,1435527,1453984,1497916,1539977,1580021,1628453,1669325,1704883,1743669,1769049,1615662,1674388,1758050
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,40,"..."," Proprietors employment ","Number of jobs",334408,343815,364251,383011,398990,410392,434400,433590,446441,447244,465058,472719,487195,508114,531042,536163,538071,555930,538031,562708,584189,628599
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",307,280,256,244,240,231,243,240,234,231,227,224,222,215,212,204,200,197,194,195,193,191
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",334101,343535,363995,382767,398750,410161,434157,433350,446207,447013,464831,472495,486973,507899,530830,535959,537871,555733,537837,562513,583996,628408
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,70,"111-112"," Farm employment ","Number of jobs",6162,7150,7092,5442,3535,3533,3335,2872,2572,2423,1948,1738,1745,1694,1461,1484,1491,1387,1342,1305,1349,1271
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",1835423,1839082,1878817,1925153,1977271,2013595,2030041,1995729,1896696,1880348,1917094,1968897,2025427,2086441,2158034,2204004,2241463,2298212,2305738,2177065,2257228,2385378
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,90,"...","  Private nonfarm employment ","Number of jobs",1675422,1674225,1718991,1766926,1819250,1853840,1868081,1832815,1737650,1724488,1765068,1818289,1874565,1932544,1999686,2040704,2076820,2131370,2137514,2015921,2096093,2222629
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",1698,1612,1725,2343,2117,1914,2001,1882,1528,1497,1750,1507,1634,1655,1553,1435,1234,1279,1211,1266,1291,1115
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",2191,1920,2372,2260,2608,2919,3368,4736,4470,5426,4409,5858,6150,5580,5531,5570,4473,3029,2682,2627,2772,2850
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,300,"22","   Utilities ","Number of jobs",3633,3697,3692,3779,3684,3743,4031,4281,4251,4224,4245,4265,3884,3477,3470,3497,3294,3258,3243,3354,3329,3504
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,400,"23","   Construction ","Number of jobs",104993,103206,108911,119591,130407,136627,132195,118704,100896,93087,94697,97998,104181,110025,118493,126181,130895,135606,135422,131259,129787,134674
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,500,"31-33","   Manufacturing ","Number of jobs",220392,201360,191735,192871,192287,192809,187499,181974,165456,160589,163606,168784,169037,169532,167836,167654,170052,170920,169955,159153,157117,161360
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,600,"42","   Wholesale trade ","Number of jobs",96643,94478,97803,98165,99884,101194,107392,105866,97779,95232,97319,96299,98376,106909,105809,98470,99910,95970,94714,89985,92178,94090
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,700,"44-45","   Retail trade ","Number of jobs",188763,190736,195604,193661,199292,201167,202331,194708,180164,176906,178806,180043,184824,186922,190924,190350,191429,191101,187357,177532,186509,191282
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,800,"48-49","   Transportation and warehousing ","Number of jobs",34006,33005,32341,33485,33416,33506,35707,34929,33245,31791,33292,34284,35214,36585,44858,51598,56597,60195,63988,68468,71680,78540
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAEMP25N,900,"51","   Information ","Number of jobs",47314,42481,40269,39800,39541,37945,36822,36286,33863,31550,30595,30868,32133,31375,32543,33150,34292,33807,32327,30561,31718,34274
