GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "24000","Maryland",2,CAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",3119857,3156623,3191282,3247728,3310793,3378368,3440590,3430861,3359477,3345404,3394860,3438930,3494007,3537737,3602930,3659063,3696841,3752933,3744535,3621705,3750161,3886891
 "24000","Maryland",2,CAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",2595859,2616658,2620417,2643065,2673366,2708799,2725879,2714439,2633420,2622523,2647044,2683747,2702359,2727249,2766830,2806516,2833843,2860990,2880811,2688623,2753186,2823994
 "24000","Maryland",2,CAEMP25N,40,"..."," Proprietors employment ","Number of jobs",523998,539965,570865,604663,637427,669569,714711,716422,726057,722881,747816,755183,791648,810488,836100,852547,862998,891943,863724,933082,996975,1062897
 "24000","Maryland",2,CAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",12200,11618,11069,10782,10716,10379,10989,10973,10800,10805,10783,10592,10901,10940,10958,11143,11066,11071,10872,10925,10920,10919
 "24000","Maryland",2,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",511798,528347,559796,593881,626711,659190,703722,705449,715257,712076,737033,744591,780747,799548,825142,841404,851932,880872,852852,922157,986055,1051978
 "24000","Maryland",2,CAEMP25N,70,"111-112"," Farm employment ","Number of jobs",18633,18197,16633,16137,15845,15675,15971,15409,15104,15552,15527,17067,16874,17356,17172,18642,19410,18125,17301,16375,17667,17072
 "24000","Maryland",2,CAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",3101224,3138426,3174649,3231591,3294948,3362693,3424619,3415452,3344373,3329852,3379333,3421863,3477133,3520381,3585758,3640421,3677431,3734808,3727234,3605330,3732494,3869819
 "24000","Maryland",2,CAEMP25N,90,"...","  Private nonfarm employment ","Number of jobs",2582084,2603973,2640227,2704216,2764891,2825467,2882409,2864049,2787019,2765869,2811683,2852405,2908594,2953481,3019057,3070941,3105501,3161815,3155253,3042628,3167060,3293217
 "24000","Maryland",2,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",6412,7400,6438,6782,6890,6787,6554,6591,6389,6353,6026,6165,6300,6631,6232,6570,6516,6666,6729,6606,6688,6899
 "24000","Maryland",2,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",3000,2622,2940,2822,3091,3352,3530,4048,3860,4352,3839,4987,5012,4513,4881,4721,4028,3070,2736,2757,2862,3029
 "24000","Maryland",2,CAEMP25N,300,"22","   Utilities ","Number of jobs",11156,10221,10267,10104,10111,10156,10470,10982,10625,10343,10708,10858,10713,10671,10806,11722,10688,10612,10543,10679,10538,10831
 "24000","Maryland",2,CAEMP25N,400,"23","   Construction ","Number of jobs",214351,214519,221321,234269,246735,254688,254985,241835,214262,201134,201066,205908,217667,220083,225167,236260,235512,241175,238639,241852,242490,247436
 "24000","Maryland",2,CAEMP25N,500,"31-33","   Manufacturing ","Number of jobs",174404,162280,152933,149066,145593,141823,139166,135446,126920,122311,121146,117582,116815,113657,114269,114820,117787,120529,121890,119096,120880,121968
 "24000","Maryland",2,CAEMP25N,600,"42","   Wholesale trade ","Number of jobs",101599,100906,99392,101193,103282,104746,104377,101805,96456,94299,95776,95340,95464,99168,100752,95334,95393,94810,95237,90864,92545,95229
 "24000","Maryland",2,CAEMP25N,700,"44-45","   Retail trade ","Number of jobs",349523,348220,349903,353173,358329,359833,362541,350622,334364,330859,337726,340102,341932,345019,348697,347350,346825,342215,333787,320156,343556,351570
 "24000","Maryland",2,CAEMP25N,800,"48-49","   Transportation and warehousing ","Number of jobs",91473,90698,88021,89930,92051,94596,96324,92945,89709,89683,91999,95654,98730,105689,125866,140079,150555,162162,175045,194901,210846,222118
 "24000","Maryland",2,CAEMP25N,900,"51","   Information ","Number of jobs",69742,63199,61655,61204,62730,63940,64548,64003,59815,57323,54717,53075,53131,53240,51521,52251,51380,49396,47825,45636,49054,53614
 "24000","Maryland",2,CAEMP25N,1000,"52","   Finance and insurance ","Number of jobs",139770,142346,145941,146974,149188,151223,157001,160801,166755,160567,167892,165473,165258,160589,162362,167968,164710,170350,161768,175176,184559,197294
 "24000","Maryland",2,CAEMP25N,1100,"53","   Real estate and rental and leasing ","Number of jobs",123450,126968,135927,147175,161672,168600,174428,170205,164099,167120,170480,166764,168616,173843,178156,181231,187096,188815,177916,189024,201654,220794
 "24000","Maryland",2,CAEMP25N,1200,"54","   Professional, scientific, and technical services ","Number of jobs",281701,283383,289836,300294,306102,313780,325422,331389,328455,329129,332214,337581,341619,345890,353649,356469,359346,366898,369109,368739,385063,401156
 "24000","Maryland",2,CAEMP25N,1300,"55","   Management of companies and enterprises ","Number of jobs",11208,11237,11634,17357,19586,21470,22088,23436,22160,21838,24427,26892,28164,28176,27785,30376,28850,31423,32727,31567,31508,32340
 "24000","Maryland",2,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services ","Number of jobs",189715,192203,196742,203820,203894,211415,215154,210674,201001,204143,205618,212870,223645,227495,228149,236274,235909,239673,240184,224334,235164,243224
 "24000","Maryland",2,CAEMP25N,1500,"61","   Educational services ","Number of jobs",68760,75438,76404,79179,81787,83737,85899,88505,90547,92379,92532,94236,95718,100058,101933,103439,106831,110023,113892,104007,103590,109076
 "24000","Maryland",2,CAEMP25N,1600,"62","   Health care and social assistance ","Number of jobs",317678,328952,338976,343119,348203,359276,371265,379462,388854,395713,403909,412600,418575,421422,431644,435450,442424,450142,455681,434175,438088,442319
 "24000","Maryland",2,CAEMP25N,1700,"71","   Arts, entertainment, and recreation ","Number of jobs",61813,64525,65092,68204,69956,71893,74332,75769,74855,75663,77092,79878,84122,88163,87784,89389,92455,95016,90445,73488,78871,82875
 "24000","Maryland",2,CAEMP25N,1800,"72","   Accommodation and food services ","Number of jobs",187984,193559,198116,198399,204281,208627,212655,215137,210368,209484,214167,222362,229814,235156,241463,246650,255759,256856,260433,204950,219504,235416
 "24000","Maryland",2,CAEMP25N,1900,"81","   Other services (except government and government enterprises) ","Number of jobs",178345,185297,188689,191152,191410,195525,201670,200394,197525,193176,200349,204078,207299,214018,217941,214588,213437,221984,220667,204621,209600,216029
