GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "23000","Maine",1,CAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",787577,790595,794492,807610,809340,817608,828243,823556,800553,791385,794415,796939,803582,810909,816586,826729,834280,843918,842455,813101,849493,877326
 "23000","Maine",1,CAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",627326,626292,627149,632263,627806,632637,635451,635023,612915,607930,608826,611798,615234,619258,624810,632511,637936,644336,651501,612540,636266,651797
 "23000","Maine",1,CAEMP25N,40,"..."," Proprietors employment ","Number of jobs",160251,164303,167343,175347,181534,184971,192792,188533,187638,183455,185589,185141,188348,191651,191776,194218,196344,199582,190954,200561,213227,225529
 "23000","Maine",1,CAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",7038,7099,6909,6731,6619,6472,7348,7309,7315,7381,7519,7450,7463,7373,7198,7090,6958,6998,6892,6897,6897,6898
 "23000","Maine",1,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",153213,157204,160434,168616,174915,178499,185444,181224,180323,176074,178070,177691,180885,184278,184578,187128,189386,192584,184062,193664,206330,218631
 "23000","Maine",1,CAEMP25N,70,"111-112"," Farm employment ","Number of jobs",10901,10931,10811,9945,9715,9284,10052,10255,10162,10189,10590,11082,11613,11539,11349,10965,10611,10565,10460,10326,10411,10656
 "23000","Maine",1,CAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",776676,779664,783681,797665,799625,808324,818191,813301,790391,781196,783825,785857,791969,799370,805237,815764,823669,833353,831995,802775,839082,866670
 "23000","Maine",1,CAEMP25N,90,"...","  Private nonfarm employment ","Number of jobs",667290,668607,671447,685252,687733,695742,705355,700368,678780,670351,675079,677717,684980,692697,699130,708432,716723,726852,725066,698331,735033,761471
 "23000","Maine",1,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",15813,17030,14369,15685,16057,15885,15462,(D),(D),14102,13966,(D),15298,15434,14808,15054,14344,14639,14211,14099,14023,13977
 "23000","Maine",1,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",516,420,491,493,483,504,717,(D),(D),824,834,(D),1193,1038,1181,1227,1249,839,705,811,792,(D)
 "23000","Maine",1,CAEMP25N,300,"22","   Utilities ","Number of jobs",2357,2301,2091,2008,2035,1978,2113,2115,2025,1980,1742,1752,1747,1694,1836,1969,1838,1799,1805,1836,1898,(D)
 "23000","Maine",1,CAEMP25N,400,"23","   Construction ","Number of jobs",55263,54464,57894,60223,62258,63427,63291,60140,54697,51304,50798,51248,51264,51575,51778,53730,54549,55873,55272,57523,59186,61140
 "23000","Maine",1,CAEMP25N,500,"31-33","   Manufacturing ","Number of jobs",78734,72274,68276,67501,65173,64183,64202,63309,57509,55124,55580,55728,55915,55398,55881,56296,56426,57120,57865,54756,58475,59146
 "23000","Maine",1,CAEMP25N,600,"42","   Wholesale trade ","Number of jobs",22710,22188,23037,23898,24028,24001,23888,23249,21999,21381,21650,21842,22020,23469,24020,22395,22034,22020,21906,21215,22099,23027
 "23000","Maine",1,CAEMP25N,700,"44-45","   Retail trade ","Number of jobs",105453,105731,105651,107393,107078,105264,105882,104033,100758,99048,99379,98735,99084,99685,99397,99771,99752,98825,96954,93501,97787,100150
 "23000","Maine",1,CAEMP25N,800,"48-49","   Transportation and warehousing ","Number of jobs",19853,19677,19259,19472,19559,21742,22647,21867,20653,20105,20254,20239,20610,20962,21453,21933,22981,23037,23730,23516,25955,27392
 "23000","Maine",1,CAEMP25N,900,"51","   Information ","Number of jobs",13743,12990,12998,12899,13323,13330,12770,12236,11267,11209,10493,10053,9888,9836,9832,10072,9830,9919,9335,8748,9720,10541
 "23000","Maine",1,CAEMP25N,1000,"52","   Finance and insurance ","Number of jobs",33054,33204,33057,32755,32202,31823,32535,32998,33973,33251,34873,34107,34255,32080,32349,32929,33075,33955,33863,35776,36626,38766
 "23000","Maine",1,CAEMP25N,1100,"53","   Real estate and rental and leasing ","Number of jobs",20753,21597,22756,25053,26976,28073,29005,28879,28648,29550,30506,30058,30623,31691,32229,33398,34556,35821,34498,37695,41688,46008
 "23000","Maine",1,CAEMP25N,1200,"54","   Professional, scientific, and technical services ","Number of jobs",38708,38635,38804,40532,40374,41118,42609,43145,41989,41838,41430,41684,42977,43704,44558,44705,45679,47866,48029,48442,52204,54487
 "23000","Maine",1,CAEMP25N,1300,"55","   Management of companies and enterprises ","Number of jobs",6189,6520,6067,5912,5771,6423,6638,7358,7241,7335,7471,7949,7764,9570,9670,10792,11100,11793,12867,12971,15845,16455
 "23000","Maine",1,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services ","Number of jobs",32453,33303,34030,33359,33421,35074,37382,38476,38070,38325,39243,39059,40561,42039,42021,42586,43097,43820,42644,41233,41621,42880
 "23000","Maine",1,CAEMP25N,1500,"61","   Educational services ","Number of jobs",14148,14701,15347,15521,15883,16571,17069,17455,17734,18557,18322,18730,19411,20044,20513,21019,21936,22233,23470,21942,21199,22776
 "23000","Maine",1,CAEMP25N,1600,"62","   Health care and social assistance ","Number of jobs",98492,101504,103547,107363,107816,110289,112193,113049,113476,113019,112856,113745,113849,113663,115423,116222,117742,117678,119208,116055,117154,116644
 "23000","Maine",1,CAEMP25N,1700,"71","   Arts, entertainment, and recreation ","Number of jobs",16387,17239,17611,17693,17822,17962,18544,18787,18430,18835,19003,19985,20037,20209,20041,20732,21276,22001,21549,18756,20288,21090
 "23000","Maine",1,CAEMP25N,1800,"72","   Accommodation and food services ","Number of jobs",53548,54411,55377,56168,56131,56802,56922,56492,55913,56500,57299,57979,59042,60183,60792,62187,64212,65049,65534,50236,57738,62060
 "23000","Maine",1,CAEMP25N,1900,"81","   Other services (except government and government enterprises) ","Number of jobs",39116,40418,40785,41324,41343,41293,41486,40646,39434,38064,39380,38615,39442,40423,41348,41415,41047,42565,41621,39220,40735,42134
