GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "56000","Wyoming",7,CAEMP25N,10,"...","Total employment (number of jobs) ","Number of jobs",330130,334129,336769,343760,354384,370331,388463,398989,387490,385075,390340,396724,400510,406401,406045,398144,398968,404591,408043,401701,420429,436564
 "56000","Wyoming",7,CAEMP25N,20,"..."," Wage and salary employment ","Number of jobs",257293,260220,262067,267172,274421,287007,297726,306051,293507,290020,293823,298291,299510,303931,302535,291355,289173,291773,297474,280318,284464,290384
 "56000","Wyoming",7,CAEMP25N,40,"..."," Proprietors employment ","Number of jobs",72837,73909,74702,76588,79963,83324,90737,92938,93983,95055,96517,98433,101000,102470,103510,106789,109795,112818,110569,121383,135965,146180
 "56000","Wyoming",7,CAEMP25N,50,"...","  Farm proprietors employment ","Number of jobs",8928,9550,8767,8518,8416,8116,9762,9866,9998,10216,10412,10249,10287,10560,10648,10709,10610,10600,10489,10550,10719,10455
 "56000","Wyoming",7,CAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",63909,64359,65935,68070,71547,75208,80975,83072,83985,84839,86105,88184,90713,91910,92862,96080,99185,102218,100080,110833,125246,135725
 "56000","Wyoming",7,CAEMP25N,70,"111-112"," Farm employment ","Number of jobs",12459,13168,12124,11837,11527,11180,12603,12859,12807,13053,13684,13959,13970,14126,14470,14580,14941,14511,14577,14385,14149,14283
 "56000","Wyoming",7,CAEMP25N,80,"..."," Nonfarm employment ","Number of jobs",317671,320961,324645,331923,342857,359151,375860,386130,374683,372022,376656,382765,386540,392275,391575,383564,384027,390080,393466,387316,406280,422281
 "56000","Wyoming",7,CAEMP25N,90,"...","  Private nonfarm employment ","Number of jobs",252401,254632,257498,264002,274351,290639,305649,314606,300769,296955,301582,307074,310767,316916,315725,307441,309119,315971,318600,313365,332812,349057
 "56000","Wyoming",7,CAEMP25N,100,"113-115","   Forestry, fishing, and related activities ","Number of jobs",2608,2896,2527,2624,2572,2548,2685,2823,2860,2816,2851,2896,2933,3113,2908,3112,(D),3370,3279,(D),3400,3462
 "56000","Wyoming",7,CAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction ","Number of jobs",20719,20126,21276,22869,25299,29727,31238,34578,30142,30914,32346,35164,34108,34704,31532,26665,26566,25823,24853,20640,19302,20789
 "56000","Wyoming",7,CAEMP25N,300,"22","   Utilities ","Number of jobs",(D),(D),2172,2240,2337,2374,2553,2613,2584,2584,2561,2555,2575,2589,2660,2762,2600,2631,2579,(D),2539,(D)
 "56000","Wyoming",7,CAEMP25N,400,"23","   Construction ","Number of jobs",27179,(D),27260,27302,29286,33033,36177,37690,32806,30544,28744,29301,29668,31609,30889,29279,27725,28549,30915,29830,29560,30141
 "56000","Wyoming",7,CAEMP25N,500,"31-33","   Manufacturing ","Number of jobs",11420,(D),10639,10844,11190,11756,11852,11589,10916,10428,11025,11277,11601,11779,11887,11530,(D),12188,12399,12111,12092,(D)
 "56000","Wyoming",7,CAEMP25N,600,"42","   Wholesale trade ","Number of jobs",7707,7777,7758,8200,8663,9153,9641,9987,9637,9387,9824,10130,10263,11038,11228,9554,9201,9359,9476,8875,8810,9396
 "56000","Wyoming",7,CAEMP25N,700,"44-45","   Retail trade ","Number of jobs",38859,38831,38886,38759,39434,39927,41165,40867,39711,38003,37928,37866,38408,38469,39786,39471,38979,38385,37642,37955,38970,39902
 "56000","Wyoming",7,CAEMP25N,800,"48-49","   Transportation and warehousing ","Number of jobs",(D),(D),11683,12173,12956,13907,14987,15094,14284,14114,14772,14897,15000,15717,15859,14116,14408,15046,15672,15552,16916,17567
 "56000","Wyoming",7,CAEMP25N,900,"51","   Information ","Number of jobs",(D),(D),4799,5015,5116,4935,4829,4787,4727,4703,4715,4760,4752,4772,4674,4768,4825,4685,4438,4250,4562,4905
 "56000","Wyoming",7,CAEMP25N,1000,"52","   Finance and insurance ","Number of jobs",10416,10989,11105,11231,11392,11523,12702,13677,15265,15004,16069,16065,16472,16104,16477,17484,18221,20084,20479,25040,31608,35536
 "56000","Wyoming",7,CAEMP25N,1100,"53","   Real estate and rental and leasing ","Number of jobs",11899,12068,12386,13483,15239,16694,18523,19526,18975,19798,20327,20285,21215,22088,22271,22443,23253,24533,23947,27007,30803,34015
 "56000","Wyoming",7,CAEMP25N,1200,"54","   Professional, scientific, and technical services ","Number of jobs",13776,13829,13900,14817,15082,15979,16975,17337,16516,16595,16458,16745,16990,17481,17539,17106,17547,18445,18850,18738,20276,21334
 "56000","Wyoming",7,CAEMP25N,1300,"55","   Management of companies and enterprises ","Number of jobs",923,1008,786,905,905,1045,1062,1122,1175,1242,1214,1288,1420,1596,1623,1946,1645,1898,1899,1984,2424,2656
 "56000","Wyoming",7,CAEMP25N,1400,"56","   Administrative and support and waste management and remediation services ","Number of jobs",11479,11701,11845,11240,11130,11941,13095,12868,12354,12347,12652,12614,12864,12651,12363,12706,13637,14116,14235,13781,14756,15081
 "56000","Wyoming",7,CAEMP25N,1500,"61","   Educational services ","Number of jobs",2378,2606,2633,2748,2954,3138,3003,3187,3400,3646,3447,3438,3662,3794,3903,4084,4113,4045,4424,3922,4340,4744
