GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "04000","Arizona",6,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",701333,680026,766473,883431,1202164,1251478,1088793,1233333,1106481,1526001,1749672,1736490,1770007,1621723,1692903,1894777,1532350,1679068,1855443,1997555,1965706,1964284,1840129,1780826,1982124,1860553,2186494,2160871,2167826,2359271,2212978,2422086,2337921,2545808,2594819,3091803,3168466,3005098,3595866,3467572,3044567,3447820,4346494,4076706,4252701,4200885,3986981,3911919,4541270,4171539,4504843,3871328,3991218,5248345
 "04000","Arizona",6,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",391504,399661,449576,530279,748686,647036,550223,563124,518823,766963,874831,838839,797289,797387,834889,846461,773913,761448,844802,848660,783637,845690,805054,896498,915207,804292,807772,840532,892274,921708,992319,1036539,1181635,1089375,1222933,1395223,1418340,1334451,1606547,1497698,1182760,1411413,1821428,1815155,1828714,2229259,1802619,1521364,1750733,1732665,1757516,1571197,1719169,2257899
 "04000","Arizona",6,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",309829,280365,316897,353152,453478,604442,538570,670209,587658,759038,874841,897651,972718,824336,858014,1048316,758437,917620,1010641,1148895,1182069,1118594,1035075,884328,1066917,1056261,1378722,1320339,1275552,1437563,1220659,1385547,1156286,1456433,1371886,1696580,1750126,1670647,1989319,1969874,1861807,2036407,2525066,2261551,2423987,1971626,2184362,2390555,2790537,2438874,2747327,2300131,2272049,2990446
 "04000","Arizona",6,CAINC45,120,"...","Other income ","Thousands of dollars",60337,64578,58962,62809,59141,21161,24026,24929,23246,57115,53067,43890,42145,177328,208338,198674,186731,163625,152889,138691,140159,95212,96762,134215,181166,138580,84048,144841,133495,204500,247540,210351,218388,223772,247524,188943,275654,266027,247341,300737,596266,462451,472700,226842,267909,314569,223080,230134,318455,458836,294085,712359,489436,563631
 "04000","Arizona",6,CAINC45,130,"..."," Government payments ","Thousands of dollars",47850,51950,45804,49013,43061,5252,5753,4936,4713,9172,9072,5081,5860,59447,102924,118385,95292,83564,97338,77834,85106,43349,40493,75580,113878,72125,9456,57283,46575,78784,107899,107189,100919,70786,135507,83378,126362,109075,92669,89968,111553,70181,58122,50218,45132,61378,37036,27863,30436,53432,81622,302563,121976,57910
 "04000","Arizona",6,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",12487,12628,13158,13796,16080,15909,18273,19993,18533,47943,43995,38809,36285,117881,105414,80289,91439,80061,55551,60857,55053,51863,56269,58635,67288,66455,74592,87558,86920,125716,139641,103162,117469,152986,112017,105565,149292,156952,154672,210769,484713,392270,414578,176624,222777,253191,186044,202271,288019,405404,212463,409796,367460,505721
 "04000","Arizona",6,CAINC45,150,"...","Production expenses ","Thousands of dollars",620245,610758,668455,814416,1000987,921110,919727,964784,1046311,1354831,1449053,1572590,1540443,1554768,1571522,1561594,1448883,1334355,1398834,1431200,1358573,1399951,1318586,1273544,1376457,1528324,1611039,1605742,1807811,1806735,1848145,2102268,2067167,2284317,2316237,2329607,2632145,2848744,3316962,3422980,3634187,3479132,3855211,3445497,3549085,3864757,3358385,3227584,3999218,3838368,3598940,4148479,4250359,5094852
 "04000","Arizona",6,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",96964,98524,107754,120681,194518,193808,180679,205398,183776,218823,233439,276630,256052,237766,261607,242555,201442,184541,201072,197213,162806,150643,128484,128112,136384,161912,191058,208582,233441,200920,187132,204146,191208,276547,280668,307063,335938,417756,560604,554346,554346,525759,760672,577825,575826,677256,579825,468858,661149,587256,732450,757081,820603,1231552
 "04000","Arizona",6,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",180066,166822,202438,307763,390622,222243,214696,150502,186713,340214,309995,291313,231675,250356,268774,270323,223976,199708,244484,254367,201239,249115,227895,225254,245798,183994,161283,127426,170022,161289,217005,288927,293843,248427,282988,289577,330271,309447,315343,347598,328929,311571,409533,373064,355062,422087,416984,269259,406927,414618,322279,330975,322537,372439
 "04000","Arizona",6,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",5781,5384,5363,5677,7608,10486,8766,13181,11919,12148,13177,14377,15057,13716,12040,15666,14946,15712,16555,20987,23121,24155,27800,25826,29843,37655,38539,45232,52724,50420,56062,55927,55032,79657,94335,99932,148824,168922,166636,191507,211404,216378,238762,155684,200165,184349,127513,145305,192031,240039,183030,213035,184530,180029
