GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",123783,125812,128262,130998,152750,170574,176968,199444,198758,222451,266420,291694,308298,295983,308318,306944,297855,297057,306649,311579,336789,342018,324346,344599,347443,340300,354056,382125,323288,379928,372098,357946,396000,322098,308379,359513,364393,340209,415764,460288,380791,448489,531099,537659,569587,645094,528350,508906,529083,511664,547267,545140,594514,755827
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",107070,108620,109861,113573,127642,139296,143892,165130,163870,184224,225780,246534,257103,250797,262658,260052,252891,248130,253223,248851,267628,270835,246556,258039,271453,259317,268706,295326,256597,310339,302162,280258,319634,232829,216624,262261,266546,230231,304648,308205,231877,293108,362659,352354,372517,452153,344029,318335,343093,324016,353905,341390,368842,501625
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",16713,17192,18401,17425,25108,31278,33076,34314,34888,38227,40640,45160,51195,45186,45660,46892,44964,48927,53426,62728,69161,71183,77790,86560,75990,80983,85350,86799,66691,69589,69936,77688,76366,89269,91755,97252,97847,109978,111116,152083,148914,155381,168440,185305,197070,192941,184321,190571,185990,187648,193362,203750,225672,254202
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC45,120,"...","Other income ","Thousands of dollars",4225,4034,3607,4163,4486,4932,4984,5432,5395,6997,7346,7755,8221,9669,12015,17840,14120,17021,17976,16533,13846,12486,11228,11416,13720,13126,14096,13664,14862,17575,28389,39094,27222,41609,44199,39837,38861,36307,32800,42848,58282,57613,49874,85394,87256,70033,52247,42678,61916,50542,85954,109042,62792,89876
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC45,130,"..."," Government payments ","Thousands of dollars",1856,1592,1103,1497,926,529,651,618,697,2055,808,589,571,920,3411,9032,5116,8782,11024,9226,6223,5084,3995,3643,5467,4416,4858,5567,4118,5535,12207,17121,12895,19895,20017,9740,15103,14390,6378,6614,17167,7090,5466,11752,7141,1621,2824,4906,4363,7126,9727,72208,29802,6577
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",2369,2442,2504,2666,3560,4403,4333,4814,4698,4942,6538,7166,7650,8749,8604,8808,9004,8239,6952,7307,7623,7402,7233,7773,8253,8710,9238,8097,10744,12040,16182,21973,14327,21714,24182,30097,23758,21917,26422,36234,41115,50523,44408,73642,80115,68412,49423,37772,57553,43416,76227,36834,32990,83299
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC45,150,"...","Production expenses ","Thousands of dollars",91351,95683,99585,102443,123740,157341,164866,178691,188903,207874,246845,273559,295917,289550,304533,300325,275857,267137,269200,275533,302316,314221,310371,314350,319018,332336,346425,337349,348852,352190,343359,336487,350746,360628,321565,336314,328538,359004,417121,444331,423323,423892,435973,504592,510043,554516,518914,513475,504525,514971,474704,512794,511388,621025
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",23308,25514,25453,24407,33986,46369,42424,48706,46262,47415,54581,63715,66486,53939,61327,54067,48767,48775,45413,47630,53331,52852,51282,51903,50058,47426,51130,49437,58161,62316,58796,53537,57282,58266,50814,52132,43865,48447,57450,70366,59984,67657,71985,81544,87969,90642,89402,80869,87496,86607,82602,91057,86904,84532
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",6043,6080,6050,6098,7089,7048,7128,8420,8638,10527,17082,14931,14754,10918,11066,10993,9108,10163,14257,11075,14715,14980,14355,13601,18840,17447,20046,16315,11828,13747,15626,12869,16225,11670,6158,7979,11456,12968,10239,9635,14182,13880,17803,21418,17231,22092,13021,13024,11182,14400,15038,15997,16956,15322
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",1560,1630,1776,1755,2444,3093,3170,3998,4417,4539,4918,5379,5647,5182,4337,5370,4892,4863,4829,6045,6582,6721,7550,6388,6164,6916,7866,9013,9771,10064,8240,9262,9122,11351,11501,10418,9369,9669,12060,14987,15811,16868,19051,24165,25623,28111,26903,30534,32941,31294,26847,30142,25201,45384
