GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "09000","Connecticut",1,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",169196,167922,168361,171830,204492,209941,221587,229410,243276,259239,282899,298695,319317,344004,342070,379245,366821,384542,375609,378131,396435,446858,431597,465611,484457,478304,458065,461221,459515,484805,493747,513302,499006,504611,489549,522141,513700,490198,572696,589694,541523,556954,575774,579051,635147,643962,642834,588756,618689,612684,592928,605950,631465,721018
 "09000","Connecticut",1,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",105930,102488,98859,104143,129696,125607,123117,142094,140998,155734,179195,187719,206103,219594,221137,239052,217147,220155,201558,197257,196906,232594,213831,256272,277450,260900,234383,215683,183124,191800,200941,183770,195206,168385,168045,182215,149284,144906,188452,174726,135137,154373,178350,187081,210963,210823,195573,165068,175011,178966,170720,172570,178787,259448
 "09000","Connecticut",1,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",63266,65434,69502,67687,74796,84334,98470,87316,102278,103505,103704,110976,113214,124410,120933,140193,149674,164387,174051,180874,199529,214264,217766,209339,207007,217404,223682,245538,276391,293005,292806,329532,303800,336226,321504,339926,364416,345292,384244,414968,406386,402581,397424,391970,424184,433139,447261,423688,443678,433718,422208,433380,452678,461570
 "09000","Connecticut",1,CAINC45,120,"...","Other income ","Thousands of dollars",3543,3382,3135,3189,3571,3887,4099,4619,4350,4981,7890,8397,8411,9641,9280,11824,11401,12169,13305,12634,12996,13315,12750,17656,19242,18697,21065,16776,20872,22325,35959,50331,29769,35519,38220,45685,41037,38388,49562,64331,68903,84352,76346,148000,158184,101665,70639,55612,77739,67708,125722,100640,66526,150269
 "09000","Connecticut",1,CAINC45,130,"..."," Government payments ","Thousands of dollars",808,773,493,509,373,505,373,443,379,425,419,941,395,503,550,2814,2228,3913,4517,2858,2200,2123,1351,2217,2892,2367,2382,1792,1383,2433,8708,18143,7540,4885,8408,6834,11256,9430,9928,13289,12711,15478,10543,8892,6669,5105,4429,6244,4381,5159,6480,55003,21750,15545
 "09000","Connecticut",1,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",2735,2609,2642,2680,3198,3382,3726,4176,3971,4556,7471,7456,8016,9138,8730,9010,9173,8256,8788,9776,10796,11192,11399,15439,16350,16330,18683,14984,19489,19892,27251,32188,22229,30634,29812,38851,29781,28958,39634,51042,56192,68874,65803,139108,151515,96560,66210,49368,73358,62549,119242,45637,44776,134724
 "09000","Connecticut",1,CAINC45,150,"...","Production expenses ","Thousands of dollars",129528,130754,133266,137272,163102,188470,192617,207939,219231,221943,255116,277296,290451,288522,301201,302146,286967,286462,280691,296413,315435,329605,319949,326424,345521,359963,378293,384893,415470,416637,410857,429498,444559,499600,464984,473106,433437,470617,558115,554510,518055,531773,532495,608746,627321,683097,616579,634264,597098,587420,539994,582523,562781,714050
 "09000","Connecticut",1,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",33171,36403,34953,33164,48579,59029,52130,59395,58155,61440,68413,77396,78527,66821,73239,63309,53919,56699,48458,53565,53364,50273,46369,46794,48988,45655,48150,49318,53176,48448,43208,39427,40100,38370,32672,36315,29314,31830,39962,49802,43175,49401,53216,50748,55049,57041,56597,51523,50366,49854,47549,52415,50024,48658
 "09000","Connecticut",1,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",9978,9647,9513,10236,12016,10882,10281,11984,12407,13767,20641,19362,20825,24974,23121,22548,16654,14886,16647,15084,12874,11246,9862,9381,9096,8689,7349,9983,8740,8921,13206,11567,11719,8642,10284,11999,8572,11481,7164,9113,5975,6666,6895,6536,7098,11269,6539,6391,12251,15038,16073,16328,18159,14864
 "09000","Connecticut",1,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",3215,3318,3544,3683,4480,5435,5290,6027,4232,6230,6229,6215,5879,4760,5140,7858,8542,10011,11570,12980,12496,11226,10877,7467,9129,12293,16445,21505,26389,30039,27118,33249,35386,48216,49906,45492,41148,42515,53309,58038,55028,53738,56318,39109,40613,43733,41115,45878,72242,68630,58877,66101,55265,99527
 "09000","Connecticut",1,CAINC45,190,"..."," Fertilizer and lime (incl. ag. chemicals 1978-fwd.) ","Thousands of dollars",5853,5080,5510,5997,7354,10056,10999,11122,10194,11411,12089,14590,14311,11766,11356,13493,12200,12192,12271,12051,14455,15924,18452,16650,16237,18334,20637,19526,19649,18434,18420,19217,20690,19805,19371,18787,18757,19039,20928,25317,22788,23436,26362,35108,36204,38276,32407,31731,23893,27697,24682,28552,31071,40582
 "09000","Connecticut",1,CAINC45,200,"..."," Petroleum products purchased ","Thousands of dollars",4171,4115,4160,4127,4626,6523,7493,8710,9454,9775,11601,15667,16517,14363,13313,13225,11671,9543,8880,8600,8546,10459,10101,9246,9632,9634,10631,11759,12419,11077,10494,13862,13504,12640,14281,18005,21356,25256,32245,36243,29133,30533,35578,38316,42238,42824,32178,27094,28438,28026,27658,25414,28572,41974
 "09000","Connecticut",1,CAINC45,210,"..."," Hired farm labor expenses 2/","Thousands of dollars",33358,32278,33627,38353,42323,46656,50528,53295,62977,45178,48961,50367,48438,49999,51245,55854,60995,59604,64785,70914,76206,88375,85983,82533,93661,96216,109553,114850,124414,129388,118950,137337,146404,184397,163304,160292,129722,143513,169515,150841,147389,137012,121912,170548,175000,185473,155979,175547,145771,135700,111859,119192,112802,176240
 "09000","Connecticut",1,CAINC45,220,"..."," All other production expenses 3/","Thousands of dollars",39782,39913,41959,41712,43724,49889,55896,57406,61812,74142,87182,93699,105954,115839,123787,125859,122986,123527,118080,123219,137494,142102,138305,154353,158778,169142,165528,157952,170683,170330,179461,174839,176756,187530,175166,182216,184568,196983,234992,225156,214567,230987,232214,268381,271119,304481,291764,296100,264137,262475,253296,274521,266888,292205
 "09000","Connecticut",1,CAINC45,240,"...","Value of inventory change ","Thousands of dollars",-5516,1033,22,-4610,618,14623,-5334,5885,-6107,-2791,-1609,2681,826,-3586,-3837,-228,-4575,-8230,-6266,11904,-1328,8468,-17272,-3018,-2951,5641,-13138,-12312,-3314,-4176,-10925,9616,15514,-17125,-1985,6008,-2508,4445,8406,967,-5283,-165,-558,-1121,-1234,-9099,4138,-4243,2750,-3236,-1181,-848,2918,1114
 "09000","Connecticut",1,CAINC45,250,"..."," Value of inventory change: livestock ","Thousands of dollars",-946,-1057,1166,171,-1870,-356,1202,2143,-947,-1578,1497,-374,2304,-361,1473,1621,-5817,-8453,-2244,-4453,-1932,-1470,-421,2506,-1028,-993,-4513,914,-2711,-3112,1654,-3808,-2471,-4826,-2040,1666,-4294,1687,-4347,1800,-5287,642,-387,-862,-1118,-10439,2839,-1201,2422,-3334,2019,-1882,-54,-1182
 "09000","Connecticut",1,CAINC45,260,"..."," Value of inventory change: crops ","Thousands of dollars",-4570,2090,-1144,-4781,2488,14979,-6536,3742,-5160,-1213,-3106,3055,-1478,-3225,-5310,-1849,1242,223,-4022,16357,604,9938,-17946,-7720,-2444,5623,-3243,-11570,-1108,-1603,-11227,12694,18663,-13754,2365,3328,4623,635,11407,-1020,21,-881,358,-41,103,276,1147,-824,1400,50,-1964,89,229,158
 "09000","Connecticut",1,CAINC45,265,"..."," Value of inventory change: materials and supplies ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1095,2196,521,1011,-5382,-1656,505,539,-1352,730,-678,1455,-2310,1014,-2837,2123,1346,187,-17,74,-529,-218,-219,1064,152,-2218,-1072,48,-1236,945,2743,2138
 "09000","Connecticut",1,CAINC45,270,"...","Cash receipts and other income ","Thousands of dollars",172739,171304,171496,175019,208063,213828,225686,234029,247626,264220,290789,307092,327728,353645,351350,391069,378222,396711,388914,390765,409431,460173,444347,483267,503699,497001,479130,477997,480387,507130,529706,563633,528775,540130,527769,567826,554737,528586,622258,654025,610426,641306,652120,727051,793331,745627,713473,644368,696428,680392,718650,706590,697991,871287
 "09000","Connecticut",1,CAINC45,280,"..."," Less: Production expenses ","Thousands of dollars",129528,130754,133266,137272,163102,188470,192617,207939,219231,221943,255116,277296,290451,288522,301201,302146,286967,286462,280691,296413,315435,329605,319949,326424,345521,359963,378293,384893,415470,416637,410857,429498,444559,499600,464984,473106,433437,470617,558115,554510,518055,531773,532495,608746,627321,683097,616579,634264,597098,587420,539994,582523,562781,714050
 "09000","Connecticut",1,CAINC45,290,"...","Equals: Realized net income ","Thousands of dollars",43211,40550,38230,37747,44961,25358,33069,26090,28395,42277,35673,29796,37277,65123,50149,88923,91255,110249,108223,94352,93996,130568,124398,156843,158178,137038,100837,93104,64917,90493,118849,134135,84216,40530,62785,94720,121300,57969,64143,99515,92371,109533,119625,118305,166010,62530,96894,10104,99330,92972,178656,124067,135210,157237
 "09000","Connecticut",1,CAINC45,300,"..."," Plus: Value of inventory change ","Thousands of dollars",-5516,1033,22,-4610,618,14623,-5334,5885,-6107,-2791,-1609,2681,826,-3586,-3837,-228,-4575,-8230,-6266,11904,-1328,8468,-17272,-3018,-2951,5641,-13138,-12312,-3314,-4176,-10925,9616,15514,-17125,-1985,6008,-2508,4445,8406,967,-5283,-165,-558,-1121,-1234,-9099,4138,-4243,2750,-3236,-1181,-848,2918,1114
 "09000","Connecticut",1,CAINC45,310,"...","Equals: Net income including corporate farms ","Thousands of dollars",37695,41583,38252,33137,45579,39981,27735,31975,22288,39486,34064,32477,38103,61537,46312,88695,86680,102019,101957,106256,92668,139036,107126,153825,155227,142679,87699,80792,61603,86317,107924,143751,99730,23405,60800,100728,118792,62414,72549,100482,87088,109368,119067,117184,164776,53431,101032,5861,102080,89736,177475,123219,138128,158351
 "09000","Connecticut",1,CAINC45,320,"..."," Less: Net income of corporate farms ","Thousands of dollars",4397,4048,4079,4422,9113,4666,4250,3780,2994,6720,6151,1613,6336,5390,-6722,14558,17368,18887,19834,18072,24824,39290,26470,47823,37964,50185,20809,32127,22849,28394,28478,50832,40324,10236,29318,54233,51266,23907,31535,43386,28707,40875,49012,41598,43169,12533,9547,1086,20429,42160,58716,46625,63223,78820
 "09000","Connecticut",1,CAINC45,330,"..."," Plus: Statistical adjustment ","Thousands of dollars",1,1,1,1,1,0,0,-1,0,0,0,0,1,-1,0,1,1,1,0,0,-1,0,1,1,1,-1,-1,1,1,0,1,-1,-1,1,0,-1,-1,0,0,0,-1,1,-1,0,0,0,0,0,0,0,1,1,0,-1
