GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "10000","Delaware",2,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",153867,148731,145947,158089,261376,282476,274849,284284,266805,325422,364862,340240,390066,408911,459790,529901,490422,529347,495672,604389,669016,648957,634395,624647,622367,675406,678702,781335,772835,785946,723233,734629,843976,717420,752462,924679,958486,836071,1006537,1043540,1051836,1120038,1086641,1229604,1384143,1544826,1317739,1232129,1385611,1466988,1337178,1147050,1413229,2149514
 "10000","Delaware",2,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",107999,99108,95129,108511,172325,168486,178356,186625,185640,221840,242186,239290,269579,288268,316656,377974,356661,409623,378284,450612,509030,471811,450751,461803,476154,515101,523250,580049,583597,611108,563151,556890,660810,546856,597275,752172,806338,677404,818581,813451,800604,862155,796052,850146,1032459,1223643,1043079,943996,1110296,1189524,1071780,819444,1040892,1733225
 "10000","Delaware",2,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",45868,49623,50818,49578,89051,113990,96493,97659,81165,103582,122676,100950,120487,120643,143134,151927,133761,119724,117388,153777,159986,177146,183644,162844,146213,160305,155452,201286,189238,174838,160082,177739,183166,170564,155187,172507,152148,158667,187956,230089,251232,257883,290589,379458,351684,321183,274660,288133,275315,277464,265398,327606,372337,416289
 "10000","Delaware",2,CAINC45,120,"...","Other income ","Thousands of dollars",3950,3507,3283,4029,3677,3029,3326,3535,3744,7858,6930,7675,9380,9609,11532,15491,13799,14671,63200,71365,65467,50045,59198,41812,49146,46210,60018,56664,69942,84720,97831,90212,99022,80874,89042,89487,108990,110230,131101,160427,147685,144969,143098,158601,120028,114131,107513,126577,149785,172072,226039,233418,145827,260943
 "10000","Delaware",2,CAINC45,130,"..."," Government payments ","Thousands of dollars",2161,1652,1328,1975,1124,254,222,290,419,3435,367,1035,1751,712,4056,5201,3216,6971,12176,10504,4818,3213,2676,2976,6244,5580,3150,4900,5725,10848,19850,25110,25096,11966,18522,16201,29528,22093,19781,24412,15897,24347,21014,15404,14558,6689,7183,15492,19406,15617,34565,47016,32823,19361
 "10000","Delaware",2,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",1789,1855,1955,2054,2553,2775,3104,3245,3325,4423,6563,6640,7629,8897,7476,10290,10583,7700,51024,60861,60649,46832,56522,38836,42902,40630,56868,51764,64217,73872,77981,65102,73926,68908,70520,73286,79462,88137,111320,136015,131788,120622,122084,143197,105470,107442,100330,111085,130379,156455,191474,186402,113004,241582
 "10000","Delaware",2,CAINC45,150,"...","Production expenses ","Thousands of dollars",114426,121131,117333,119684,170381,204407,190247,208931,220406,288905,334550,358806,380693,374966,409794,461941,419100,402202,446776,499008,538922,564142,578170,558173,565897,617685,664766,731245,766195,743300,693596,701227,717690,729509,668865,727849,726804,730317,909169,974728,887550,933060,996607,1064697,1050344,1132215,1039024,1030617,1020996,1079026,1078106,1170780,1058894,1323745
 "10000","Delaware",2,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",46228,49093,43983,40686,73980,88548,65541,76945,74244,121054,143689,150572,153583,140508,173472,202147,162631,157214,156108,182902,189873,210007,214055,218959,220607,235420,254895,325981,319486,294129,253942,269729,255706,256059,229422,275422,238676,212220,300914,375008,325108,371984,400714,382517,414933,429945,426603,388352,357328,353694,337342,371863,354905,345215
 "10000","Delaware",2,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",17163,17891,17778,20232,27046,30205,28175,30008,35329,37128,39914,37637,38948,41388,41790,47557,51655,53531,53522,54024,58904,64296,62244,64080,60999,62989,60348,56975,63980,61309,60082,59638,62269,62218,57028,48078,80222,88462,102328,64813,64817,62136,80993,94265,81619,100872,52198,65396,82789,105823,133250,143668,136920,119463
 "10000","Delaware",2,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",2292,2397,2788,2877,3715,4484,4981,5099,7455,5625,6236,6971,7482,6964,6125,7984,7630,8033,8477,10697,11732,12202,13983,11693,11104,11960,13054,14114,14449,16277,14553,17687,18671,25248,26396,24305,22208,23182,29368,31974,30316,29605,31026,36832,38248,41186,38721,43206,45277,43013,36901,41428,34637,62378
 "10000","Delaware",2,CAINC45,190,"..."," Fertilizer and lime (incl. ag. chemicals 1978-fwd.) ","Thousands of dollars",8618,9521,10530,10645,14717,21402,23354,21113,22043,22343,26574,36508,40772,32159,27832,36685,29783,26615,26523,26142,33168,33628,40086,37191,33269,37249,41352,37655,40348,38398,36261,38110,40277,38655,37599,40788,42812,46214,54862,64710,59271,60207,67981,78417,80956,85500,72329,70778,65654,75474,67443,77697,83798,109184
 "10000","Delaware",2,CAINC45,200,"..."," Petroleum products purchased ","Thousands of dollars",3486,3602,3573,3511,3900,5504,6137,7193,7758,8037,9815,13630,14798,13252,12330,12472,11024,9085,8467,8354,8466,10461,10304,9603,10123,10277,11517,12899,14804,13510,13924,19811,20911,20743,20205,22238,22176,21984,22794,25406,20422,21403,24940,31669,34911,35395,26596,22394,20387,20091,19828,18219,20483,30091
 "10000","Delaware",2,CAINC45,210,"..."," Hired farm labor expenses 2/","Thousands of dollars",11058,11738,11602,11905,11562,12823,13024,13664,14343,20985,22650,22782,21919,22918,22881,24746,26525,24656,26626,27635,29276,32534,30872,28503,32326,34583,39730,40294,44277,45625,40466,42943,43827,52868,44864,45030,36846,40893,47996,41615,41494,38006,34703,55241,59179,60980,53166,57078,60023,55429,50629,54541,50482,71734
 "10000","Delaware",2,CAINC45,220,"..."," All other production expenses 3/","Thousands of dollars",25581,26889,27079,29828,35461,41441,49035,54909,59234,73733,85672,90706,103191,117777,125364,130350,129852,123068,167053,189254,207503,201014,206626,188144,197469,225207,243870,243327,268851,274052,274368,253309,276029,273718,253351,271988,283864,297362,350907,371202,346122,349719,356250,385756,340498,378337,369411,383413,389538,425502,432713,463364,377669,585680
 "10000","Delaware",2,CAINC45,240,"...","Value of inventory change ","Thousands of dollars",5297,-5190,-1774,-60,4054,-3554,3155,806,-848,4477,2170,-3839,6119,2725,-8736,607,9824,-2001,-5803,160,4070,1455,9221,2676,-12172,11290,-10019,2521,-3765,-301,-2829,11280,-8953,-12299,4163,6545,-8488,174,-7559,21340,7057,-38547,37246,-10034,17347,16331,-10600,-21265,18805,-34017,11065,-14126,23485,-20440
 "10000","Delaware",2,CAINC45,250,"..."," Value of inventory change: livestock ","Thousands of dollars",-151,287,-29,-135,367,-226,187,-391,226,-728,-300,2235,831,57,-2774,-3259,1885,4357,-979,-2105,310,-2297,3957,-106,-3916,-420,1732,-4672,2034,-9,1824,-1040,-4167,-2247,-1119,-1596,144,-544,-1180,-1360,-1090,-2101,1019,70,-1099,94,-440,475,761,-1628,1301,-2202,-1278,-1687
