GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "12000","Florida",5,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",1411307,1379399,1515253,1751081,2132979,2224270,2581217,2659698,2851947,3545554,4013338,4220503,4357206,4453093,4728277,4828102,4873719,4850570,5393651,5923950,6329733,5672144,6083148,6341247,6273140,6226917,6163592,6482676,6728833,7313763,6760501,6905673,6738006,6701144,6792426,6911161,7573206,7443476,8143515,7956853,7319987,7800850,8038465,8638743,8482685,8713686,8532827,7766572,7943486,7295475,7746053,7926179,7829909,8843591
 "12000","Florida",5,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",441316,461310,473844,531132,689291,621415,701591,759604,833332,965646,1167662,1116686,1126959,1129749,1177784,1190065,1113736,1104242,1184291,1235773,1305747,1345232,1266106,1346900,1412803,1400576,1324634,1383482,1490872,1486157,1453284,1431889,1501324,1335433,1310626,1587997,1544837,1448914,1480561,1486994,1191595,1429016,1583825,1913960,2017322,2478646,2256311,1646326,1754333,1708370,1597543,1579157,1699063,2151348
 "12000","Florida",5,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",969991,918089,1041409,1219949,1443688,1602855,1879626,1900094,2018615,2579908,2845676,3103817,3230247,3323344,3550493,3638037,3759983,3746328,4209360,4688177,5023986,4326912,4817042,4994347,4860337,4826341,4838958,5099194,5237961,5827606,5307217,5473784,5236682,5365711,5481800,5323164,6028369,5994562,6662954,6469859,6128392,6371834,6454640,6724783,6465363,6235040,6276516,6120246,6189153,5587105,6148510,6347022,6130846,6692243
 "12000","Florida",5,CAINC45,120,"...","Other income ","Thousands of dollars",39482,38674,36884,42219,46042,45559,46586,39466,56394,64687,53452,59903,63240,77493,75942,101417,94834,79672,117732,126757,127235,139642,143727,146269,207107,157769,173283,146390,151785,157916,248169,259023,295951,288047,324646,425740,636008,406276,346331,410959,234059,588294,497943,622385,403416,508834,407679,455870,840289,608878,641869,1301468,1141530,1042546
 "12000","Florida",5,CAINC45,130,"..."," Government payments ","Thousands of dollars",19284,18490,15000,18183,15486,12548,12875,5440,20750,10311,5777,7043,10992,7493,13281,40728,30128,26119,42532,32034,38323,37155,40786,53085,110680,58588,55778,22842,19044,24882,76859,114119,108101,84503,134876,210915,434876,140713,123455,159396,76699,92998,175096,69139,67627,73508,58650,60832,80544,124959,218124,747276,309090,168096
 "12000","Florida",5,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",20198,20184,21884,24036,30556,33011,33711,34026,35644,54376,47675,52860,52248,70000,62661,60689,64706,53553,75200,94723,88912,102487,102941,93184,96427,99181,117505,123548,132741,133034,171310,144904,187850,203544,189770,214825,201132,265563,222876,251563,157360,495296,322847,553246,335789,435326,349029,395038,759745,483919,423745,554192,832440,874450
 "12000","Florida",5,CAINC45,150,"...","Production expenses ","Thousands of dollars",984194,1022883,1041605,1123269,1361349,1568330,1631087,1780951,1901703,2444245,2945446,3087560,3147646,3177390,3172893,3273681,3261266,3108287,3411762,3478445,3761855,3866093,3876732,3768274,4140920,4179844,4462457,4638835,4695327,4834169,4531238,4682696,4914750,4818669,5114514,5223004,5544825,5807925,6800653,7132270,6338612,6517111,6785615,6674362,6859306,7183779,6197660,6466227,6225520,5707202,6600711,7867727,7662978,7900809
 "12000","Florida",5,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",133610,152737,157496,159969,256330,307407,256751,275675,276399,341674,450977,484911,441937,349630,393793,345308,311415,323006,314602,348734,358073,320551,277557,270871,293359,288345,303016,325014,302076,301670,331277,333872,348959,414690,420000,410000,410000,420000,460000,500000,420000,480000,650000,540000,650000,520000,410000,440000,520000,510000,500000,540000,570000,860000
 "12000","Florida",5,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",88609,86497,85354,92934,123019,101193,99312,111173,120475,159254,222952,184490,151109,165017,146086,140349,135645,122895,148405,140691,139007,152068,147956,131497,164550,159653,137966,116112,145770,147267,164187,171947,161670,147080,154241,187632,177807,211721,175186,200339,157851,161278,177405,163843,189369,264865,136990,148646,133883,168020,213171,186602,165652,209915
 "12000","Florida",5,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",17463,18238,19632,20832,22722,27534,33415,43203,60548,69756,69986,70196,66846,54700,53336,75874,78170,87884,98256,131291,152035,166532,200489,184386,196366,199589,215680,253980,269321,278128,253144,240875,261452,339071,370000,340000,400000,410000,380000,420000,400000,410000,330000,390000,420000,470000,490000,480000,500000,495000,510000,727000,650000,590000
 "12000","Florida",5,CAINC45,190,"..."," Fertilizer and lime (incl. ag. chemicals 1978-fwd.) ","Thousands of dollars",150263,151992,152353,166785,186937,249990,265525,263939,254398,285185,349412,400407,421156,394636,385102,423485,375500,376588,427496,439658,510005,534260,609615,577709,639827,615704,661985,697525,745595,690166,621796,581797,575165,510511,600000,600000,610000,620000,850000,800000,850000,710000,870000,930000,930000,1060000,840000,910000,885000,610000,750000,830000,850000,865000
 "12000","Florida",5,CAINC45,200,"..."," Petroleum products purchased ","Thousands of dollars",30034,30167,30120,29645,32522,45788,55207,68211,78183,85216,102182,139874,150177,133003,128330,134043,122706,104611,100802,100179,102217,126884,125857,111558,110584,100932,109660,122119,131741,114391,114738,140789,131118,140779,140609,142471,203202,215180,270125,324133,290805,259521,278722,272229,307662,313364,217889,302482,216852,186309,234110,200549,203230,310551
 "12000","Florida",5,CAINC45,210,"..."," Hired farm labor expenses 2/","Thousands of dollars",302802,313512,308461,330282,381936,390819,413990,462050,501700,648689,707273,728885,710029,801362,768897,855897,937031,837568,912047,939253,1015379,1143424,1089497,1052722,1153993,1167274,1322537,1384102,1352604,1469604,1310055,1483830,1743105,1554247,1578560,1648408,1604956,1728752,1953108,2114997,1816096,1816105,1756656,1831987,1839484,1929499,1737709,1787298,1580857,1562079,1761664,2119757,2314058,2023112
 "12000","Florida",5,CAINC45,220,"..."," All other production expenses 3/","Thousands of dollars",261413,269740,288189,322822,357883,445599,506887,556700,610000,854471,1042664,1078797,1206392,1279042,1297349,1298725,1300799,1255735,1410154,1378639,1485139,1422374,1425761,1439531,1582241,1648347,1711613,1739983,1748220,1832943,1736041,1729586,1693281,1712291,1851104,1894493,2138860,2202272,2712234,2772801,2403860,2680207,2722832,2546303,2522791,2626051,2365072,2397801,2388928,2175794,2631766,3263819,2910038,3042231
 "12000","Florida",5,CAINC45,240,"...","Value of inventory change ","Thousands of dollars",8423,898,24253,8393,72215,95672,677,-9176,-97957,-28297,60222,56691,-58406,33448,-68877,-43166,-27226,4059,-73625,-11545,-20484,-12230,40706,37257,16575,36919,-58162,4916,-35112,-27258,385,-18765,-4680,-17878,41013,-79330,-62378,49537,53392,-119300,-9101,-52617,7967,-12050,-118969,44340,-15706,-7005,-120644,64268,-29166,-19039,-56905,-31114
 "12000","Florida",5,CAINC45,250,"..."," Value of inventory change: livestock ","Thousands of dollars",10055,7906,12043,14592,69912,101678,-6172,-14261,-85963,-42827,56787,70984,-56231,28890,-46023,-52044,-25503,6041,-68438,-31555,-12368,-10739,28153,2886,30929,25276,-19002,-19204,-35185,-20201,-1555,-18030,-13481,-20770,-6764,-24235,-24470,43982,-17552,-10607,13539,-67325,68401,-12571,-31217,15105,1573,21736,-80094,51054,-421,19153,-73875,-11531
 "12000","Florida",5,CAINC45,260,"..."," Value of inventory change: crops ","Thousands of dollars",-1632,-7008,12210,-6199,2303,-6006,6849,5085,-11994,14530,3435,-14293,-2175,4558,-22854,8878,-1723,-1982,-5187,20010,-8116,-1491,7349,8593,-7048,3537,-5368,19619,-3421,-10810,11307,-5791,13493,-7183,-815,-672,933,3325,4125,13863,-19120,-25278,30243,-51986,-57258,-47155,-28912,-25899,-46190,-7068,-19458,-60886,-12231,-33965
 "12000","Florida",5,CAINC45,265,"..."," Value of inventory change: materials and supplies ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5204,25778,-7306,8106,-33792,4501,3494,3753,-9367,5056,-4692,10075,48592,-54423,-38841,2230,66819,-122556,-3520,39986,-90677,52507,-30494,76390,11633,-2842,5640,20282,-9287,22694,29201,14382
 "12000","Florida",5,CAINC45,270,"...","Cash receipts and other income ","Thousands of dollars",1450789,1418073,1552137,1793300,2179021,2269829,2627803,2699164,2908341,3610241,4066790,4280406,4420446,4530586,4804219,4929519,4968553,4930242,5511383,6050707,6456968,5811786,6226875,6487516,6480247,6384686,6336875,6629066,6880618,7471679,7008670,7164696,7033957,6989191,7117072,7336901,8209214,7849752,8489846,8367812,7554046,8389144,8536408,9261128,8886101,9222520,8940506,8222442,8783775,7904353,8387922,9227647,8971439,9886137
 "12000","Florida",5,CAINC45,280,"..."," Less: Production expenses ","Thousands of dollars",984194,1022883,1041605,1123269,1361349,1568330,1631087,1780951,1901703,2444245,2945446,3087560,3147646,3177390,3172893,3273681,3261266,3108287,3411762,3478445,3761855,3866093,3876732,3768274,4140920,4179844,4462457,4638835,4695327,4834169,4531238,4682696,4914750,4818669,5114514,5223004,5544825,5807925,6800653,7132270,6338612,6517111,6785615,6674362,6859306,7183779,6197660,6466227,6225520,5707202,6600711,7867727,7662978,7900809
 "12000","Florida",5,CAINC45,290,"...","Equals: Realized net income ","Thousands of dollars",466595,395190,510532,670031,817672,701499,996716,918213,1006638,1165996,1121344,1192846,1272800,1353196,1631326,1655838,1707287,1821955,2099621,2572262,2695113,1945693,2350143,2719242,2339327,2204842,1874418,1990231,2185291,2637510,2477432,2482000,2119207,2170522,2002558,2113897,2664389,2041827,1689193,1235542,1215434,1872033,1750793,2586766,2026795,2038741,2742846,1756215,2558255,2197151,1787211,1359920,1308461,1985328
 "12000","Florida",5,CAINC45,300,"..."," Plus: Value of inventory change ","Thousands of dollars",8423,898,24253,8393,72215,95672,677,-9176,-97957,-28297,60222,56691,-58406,33448,-68877,-43166,-27226,4059,-73625,-11545,-20484,-12230,40706,37257,16575,36919,-58162,4916,-35112,-27258,385,-18765,-4680,-17878,41013,-79330,-62378,49537,53392,-119300,-9101,-52617,7967,-12050,-118969,44340,-15706,-7005,-120644,64268,-29166,-19039,-56905,-31114
 "12000","Florida",5,CAINC45,310,"...","Equals: Net income including corporate farms ","Thousands of dollars",475018,396088,534785,678424,889887,797171,997393,909037,908681,1137699,1181566,1249537,1214394,1386644,1562449,1612672,1680061,1826014,2025996,2560717,2674629,1933463,2390849,2756499,2355902,2241761,1816256,1995147,2150179,2610252,2477817,2463235,2114527,2152644,2043571,2034567,2602011,2091364,1742585,1116242,1206333,1819416,1758760,2574716,1907826,2083081,2727140,1749210,2437611,2261419,1758045,1340881,1251556,1954214
 "12000","Florida",5,CAINC45,320,"..."," Less: Net income of corporate farms ","Thousands of dollars",80468,59465,92117,151764,307529,165001,277022,198225,228493,367140,374518,102388,316744,182622,-332174,378124,469510,460780,525500,573193,930925,701037,748668,1072972,704808,942596,503591,906527,891258,916178,666897,850265,799582,844297,912944,1048548,1110733,818990,800569,515745,430994,746926,806356,1032826,564354,551267,290490,365163,549011,1195727,654588,571010,644697,1094725
 "12000","Florida",5,CAINC45,330,"..."," Plus: Statistical adjustment ","Thousands of dollars",12,9,9,11,11,4,0,-7,-4,6,5,-3,13,-15,4,10,9,14,3,5,-16,2,10,14,10,-10,-15,7,13,-7,8,-15,-14,7,-5,-11,-12,1,-4,-3,-12,10,-8,5,-2,5,0,-5,-3,-6,7,9,-2,-6
 "12000","Florida",5,CAINC45,340,"...","Equals: Farm proprietors' income ","Thousands of dollars",394562,336632,442677,526671,582369,632174,720371,710805,680184,770565,807053,1147146,897663,1204007,1894627,1234558,1210560,1365248,1500499,1987529,1743688,1232428,1642191,1683541,1651104,1299155,1312650,1088627,1258934,1694067,1810928,1612955,1314931,1308354,1130622,986008,1491266,1272375,942012,600494,775327,1072500,952396,1541895,1343470,1531819,2436650,1384042,1888597,1065686,1103464,769880,606857,859483
 "12000","Florida",5,CAINC45,350,"..."," Plus: Farm wages and salaries ","Thousands of dollars",228362,196134,181233,195417,232542,250157,246797,270810,291272,393071,430000,447327,437775,517530,516951,534415,561652,543191,565738,623783,645335,740056,699017,667466,747620,722905,748587,722990,770850,814604,752788,823798,1078148,1036264,901546,1080570,1028633,1178053,1094681,1211124,1174607,1188460,1029401,1015974,1232369,1131772,972858,1125932,985039,1102037,1240207,1515280,1793974,1338335
 "12000","Florida",5,CAINC45,360,"..."," Plus: Farm supplements to wages and salaries ","Thousands of dollars",13311,13440,14931,16306,21879,25868,31180,53851,61941,70091,74614,72835,66487,55859,53779,58865,62498,63746,68393,75921,94528,111935,117142,108511,136188,142665,149450,141504,136770,135057,139488,145628,188835,170606,167650,208336,169436,189457,229736,252199,235793,214162,202634,222460,235930,237560,212539,243187,227157,210566,213259,223579,268654,311520
 "12000","Florida",5,CAINC45,370,"...","Equals: Farm earnings ","Thousands of dollars",636235,546206,638841,738394,836790,908199,998348,1035466,1033397,1233727,1311667,1667308,1401925,1777396,2465357,1827838,1834710,1972185,2134630,2687233,2483551,2084419,2458350,2459518,2534912,2164725,2210687,1953121,2166554,2643728,2703204,2582381,2581914,2515224,2199818,2274914,2689335,2639885,2266429,2063817,2185727,2475122,2184431,2780329,2811769,2901151,3622047,2753161,3100793,2378289,2556930,2508739,2669485,2509338
 "12001","Alachua, FL",5,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",15172,15476,15711,17710,22490,22552,26055,29323,29998,37381,45123,43574,41896,40553,41427,42197,40013,38373,40769,43159,45871,43587,44446,51030,52333,51897,50796,53585,60315,63634,62465,65514,67081,66858,71403,78776,87145,87185,92540,89491,85756,93592,99502,117480,111053,118385,113448,103128,106702,95611,103907,104992,104419,113116
 "12001","Alachua, FL",5,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",9663,9431,9027,9910,12427,9782,11858,13487,15641,18912,23693,22951,24069,23667,23794,23096,20940,19511,21221,20868,20401,21172,18637,19920,21950,22546,20901,21273,24944,24563,25205,26584,27547,24442,24587,30446,30897,29283,24949,23272,20614,25432,27416,36337,36442,44664,38514,28087,29226,27459,26591,26836,28828,30952
