GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "15000","Hawaii",8,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",207483,220419,229771,241428,278312,584792,389204,336390,338037,390937,463064,658020,504916,528154,581558,564320,538531,576058,571041,589999,600602,620454,558930,533479,516576,514745,504053,518064,511243,514205,534866,525527,529557,546385,555061,561066,589732,584766,584955,622070,675630,689633,744856,749656,726634,716273,701185,652961,648293,594264,562375,562214,643360,648068
 "15000","Hawaii",8,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",49674,51156,52035,55363,65624,67372,67822,72257,74888,82636,92072,96966,104704,94119,101351,101010,95577,94680,101533,102335,104230,101031,96287,96346,92489,82928,77416,86777,90969,93774,92095,94292,92808,91666,80081,85043,79533,72320,72070,86972,91982,93747,119818,139469,143144,165790,179012,154595,160952,169492,151706,140060,158793,176279
 "15000","Hawaii",8,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",157809,169263,177736,186065,212688,517420,321382,264133,263149,308301,370992,561054,400212,434035,480207,463310,442954,481378,469508,487664,496372,519423,462643,437133,424087,431817,426637,431287,420274,420431,442771,431235,436749,454719,474980,476023,510199,512446,512885,535098,583648,595886,625038,610187,583490,550483,522173,498366,487341,424772,410669,422154,484567,471789
 "15000","Hawaii",8,CAINC45,120,"...","Other income ","Thousands of dollars",17524,17604,17675,18514,18224,14480,16588,8578,32817,5843,5221,5268,5872,8770,13694,7509,8394,8565,7033,10065,11860,11538,10704,8459,9828,9669,7819,7617,7677,11741,16827,31338,28403,33779,40737,40841,36203,39528,46753,93681,64626,82657,127674,114729,126602,123960,110325,77273,75098,64075,70176,135180,92458,76692
 "15000","Hawaii",8,CAINC45,130,"..."," Government payments ","Thousands of dollars",10954,11115,10414,11108,9253,8310,8620,391,24693,799,741,711,716,655,6743,607,662,425,377,396,267,519,906,1822,3131,2911,947,580,554,231,820,11927,3860,1916,1483,2392,4727,3796,6133,8435,13437,16175,16900,11448,12514,21955,21142,10630,10125,12567,13570,81838,38410,19226
 "15000","Hawaii",8,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",6570,6489,7261,7406,8971,6170,7968,8187,8124,5044,4480,4557,5156,8115,6951,6902,7732,8140,6656,9669,11593,11019,9798,6637,6697,6758,6872,7037,7123,11510,16007,19411,24543,31863,39254,38449,31476,35732,40620,85246,51189,66482,110774,103281,114088,102005,89183,66643,64973,51508,56606,53342,54048,57466
 "15000","Hawaii",8,CAINC45,150,"...","Production expenses ","Thousands of dollars",180345,192726,190522,194357,228768,275320,281773,293940,308956,336219,383084,411782,420328,447664,454198,462727,461429,438651,465737,506792,516840,516018,503586,495223,485123,498218,468316,479527,453079,456304,479178,480653,485445,486554,484731,492669,500370,501714,521817,625530,597305,621140,640286,752237,773237,823335,743698,770237,647104,612189,632557,665720,660858,715714
 "15000","Hawaii",8,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",18352,19971,20179,19631,28697,39053,32851,35315,34179,34225,39460,44920,47939,41548,44097,38259,32505,33096,35881,38144,37512,30115,30608,31199,32384,33006,29801,34195,31793,28579,24842,22837,25682,25791,23878,25857,22766,19524,19610,23589,22633,22834,27462,35034,36135,36891,33876,32197,32033,31622,34913,33385,38322,49137
 "15000","Hawaii",8,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",11564,11286,11397,11238,12277,10790,11511,11522,12257,12930,16474,17526,18514,17581,16663,15536,14912,12686,15230,14785,13404,13481,9460,7856,7833,9175,5624,4621,6471,4894,4608,4373,6294,6025,5932,5654,5428,4333,3343,3381,3740,2919,4276,3880,4225,6065,1856,2495,3257,4358,4992,5132,5531,6335
 "15000","Hawaii",8,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",1126,1154,1202,1264,1637,2044,2272,2192,1104,2032,3894,6152,8502,9667,8464,10987,10458,10970,11536,12356,12755,11652,12273,12642,12291,12032,11355,11041,10348,12502,14800,16958,19330,21958,20699,19473,19266,17955,17950,23126,23739,24964,27261,20206,21173,21332,20593,21076,12711,12372,11976,12993,12598,14067
 "15000","Hawaii",8,CAINC45,190,"..."," Fertilizer and lime (incl. ag. chemicals 1978-fwd.) ","Thousands of dollars",23506,24237,25416,25692,26294,32279,37787,33564,32105,39487,45959,49448,48262,50057,46380,50380,49278,46971,46139,49747,51821,53822,54751,49932,44536,45293,46089,45486,42982,39596,36089,35083,36473,33925,37171,39434,45564,46815,47045,57157,52857,52969,61617,75222,75609,77559,71029,68964,50552,46872,45756,49603,57807,71202
 "15000","Hawaii",8,CAINC45,200,"..."," Petroleum products purchased ","Thousands of dollars",6054,6052,6061,5956,6578,9237,9113,11647,13816,15430,17705,23085,23503,19629,19195,20372,18839,16220,15775,15098,14838,17749,16966,17713,16766,16307,15169,17514,17404,13439,14925,20068,17075,16306,17890,19600,21969,23204,23619,31979,24944,26030,30659,33057,34693,35415,26341,24318,22268,23013,23023,20912,24302,32269
 "15000","Hawaii",8,CAINC45,210,"..."," Hired farm labor expenses 2/","Thousands of dollars",91950,99991,93644,95533,115174,129605,136909,145215,151292,140397,149451,150565,142162,165325,162915,170130,177460,168170,175313,205622,210393,209717,206435,209060,203204,201237,179120,180994,176063,188131,211023,209232,205875,208590,207239,216863,208951,204000,206786,214386,212600,202157,194976,289429,286074,297784,276555,298278,233906,222372,225121,239859,239691,274355
 "15000","Hawaii",8,CAINC45,220,"..."," All other production expenses 3/","Thousands of dollars",27793,30035,32623,35043,38111,52312,51330,54485,64203,91718,110141,120086,131446,143857,156484,157063,157977,150538,165863,171040,176117,179482,173093,166821,168109,181168,181158,185676,168018,169163,172891,172102,174716,173959,171922,165788,176426,185883,203464,271912,256792,289267,294035,295409,315328,348289,313448,322909,292377,271580,286776,303836,282607,268349
