GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "16000","Idaho",7,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",722675,777663,798092,951231,1324115,1536336,1394172,1380682,1318560,1703463,2118987,2364935,2468955,2268100,2450348,2476200,2254371,2113696,2373685,2738576,3098365,3240136,3023914,3115235,3224951,3310020,3477553,3622776,3570471,3583511,3595021,3684657,4163233,4281845,4290071,4777231,4881605,4952963,6089856,6561486,5441576,6200773,7536161,8006714,8346170,9044652,7593243,7300595,7430204,7631426,8217975,8276302,8859223,11699739
 "16000","Idaho",7,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",365891,405457,422816,507723,600998,516852,615054,576808,617620,816645,1206658,1121513,1187623,1035967,1076733,1100543,1078239,1073269,1175298,1360522,1396896,1560021,1435133,1530501,1521106,1559711,1554052,1590677,1719084,1862272,1892870,1911925,2393927,2326985,2534856,2910031,2958113,2776217,3645577,3690143,2811249,3509520,4243709,4281226,4856470,5750363,4617031,4354527,4474614,4470585,4963914,4923298,5146560,7121114
 "16000","Idaho",7,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",356784,372206,375276,443508,723117,1019484,779118,803874,700940,886818,912329,1243422,1281332,1232133,1373615,1375657,1176132,1040427,1198387,1378054,1701469,1680115,1588781,1584734,1703845,1750309,1923501,2032099,1851387,1721239,1702151,1772732,1769306,1954860,1755215,1867200,1923492,2176746,2444279,2871343,2630327,2691253,3292452,3725488,3489700,3294289,2976212,2946068,2955590,3160841,3254061,3353004,3712663,4578625
 "16000","Idaho",7,CAINC45,120,"...","Other income ","Thousands of dollars",62433,66102,64882,76335,59392,40320,34706,37052,70847,99533,60468,40266,65487,138927,210329,203701,211930,310264,297607,259544,191067,227128,250024,229686,258541,223712,195973,225726,224550,363424,371628,391530,359376,362159,299083,301463,397561,347702,366165,396464,601423,445413,518742,420088,527949,443063,474699,449390,524004,471955,414802,1293827,724136,644615
 "16000","Idaho",7,CAINC45,130,"..."," Government payments ","Thousands of dollars",46086,47952,45106,51067,31931,11151,8660,9277,42859,63499,21059,7901,29495,51567,130346,132464,121510,229585,234373,166824,99089,133431,141250,137395,159316,127322,89482,115781,110401,198933,210657,264103,207669,165334,152792,153212,191181,140807,121117,150768,139904,163649,113396,126650,122847,73853,73405,114712,142417,143211,155353,799120,296989,168360
 "16000","Idaho",7,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",16347,18150,19776,25268,27461,29169,26046,27775,27988,36034,39409,32365,35992,87360,79983,71237,90420,80679,63234,92720,91978,93697,108774,92291,99225,96390,106491,109945,114149,164491,160971,127427,151707,196825,146291,148251,206380,206895,245048,245696,461519,281764,405346,293438,405102,369210,401294,334678,381587,328744,259449,494707,427147,476255
 "16000","Idaho",7,CAINC45,150,"...","Production expenses ","Thousands of dollars",614001,652761,677157,750518,957514,1054114,1129012,1267357,1335912,1639584,2084744,2254034,2303266,2285944,2289311,2308269,2213739,2050312,2186275,2388254,2475391,2613150,2497364,2498927,2632200,2988591,3104455,3139323,3375090,3270743,3283311,3428997,3492701,3923402,3915769,3904954,4328316,4659549,5176646,5652266,5684709,5504922,6234211,6789970,6873620,7473496,6522703,6160580,6976795,6874615,6572343,7511531,7941390,9593685
 "16000","Idaho",7,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",63464,73988,76529,84257,130644,141172,118260,126148,124361,184316,258395,276388,277087,233142,262899,240081,228466,227107,221330,266293,258650,250442,213400,224752,223573,278581,333759,362068,403163,363103,367711,394843,378897,550225,556615,586032,644788,788257,1033840,1022298,1022298,969578,1402794,1395894,1391064,1761492,1400724,1132655,1250593,1110821,1385461,1432051,1552206,2329536
 "16000","Idaho",7,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",130722,143256,144790,169210,215803,151775,153744,181107,201030,313393,487815,438282,357171,326443,289196,292631,296987,263562,394684,499409,481766,568992,512769,527312,539574,526988,458559,387427,469600,427482,426747,432650,568035,616224,624206,639690,601416,575823,584795,556579,530371,547638,585812,633046,614280,753881,584612,404408,544989,686727,616165,643935,623687,789253
 "16000","Idaho",7,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",16010,14745,12055,12426,24133,38064,29283,40666,41422,42801,48715,55867,61447,58732,49619,62212,57248,58107,59169,74499,81530,84624,96775,89346,92774,105706,98097,104750,111400,105912,117090,116149,113657,163615,150665,128204,156795,148446,123506,141940,156687,160374,176964,264597,340196,279988,216718,246957,298756,373445,284752,331432,287086,280084
