GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "17000","Illinois",3,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",2964488,3017773,2781821,3482163,5120068,5905035,5357148,6292403,5793155,6790943,7213669,8108232,7566840,7205695,7530336,7046381,6469941,6852829,6842254,7994214,7571788,8033189,7917180,7440229,8615980,7768183,9073572,8571099,8949723,8124374,6893102,7477710,7669167,7990832,8854835,9622020,9342739,9510672,13267518,15561257,15378761,16473571,19343330,21356261,17548887,20179946,15729679,16424770,16185321,17100765,16705449,16553711,22325469,29257029
 "17000","Illinois",3,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",1469317,1439549,1292949,1606393,2064543,1921688,2039567,2040745,2052198,2357027,2623672,2537761,2416920,2566965,2490021,2370664,2247283,2371044,2489597,2576822,2483973,2702306,2564296,2395571,2551622,2255797,2058956,2188962,2058777,1718039,1658578,1907764,2135793,1828674,2150433,2378327,2391317,2245563,2556642,2520871,2198950,2681477,3053197,3029133,3258731,3806114,2625349,2478184,2830853,2657761,2946301,2917430,3671671,4084179
 "17000","Illinois",3,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",1495171,1578224,1488872,1875770,3055525,3983347,3317581,4251658,3740957,4433916,4589997,5570471,5149920,4638730,5040315,4675717,4222658,4481785,4352657,5417392,5087815,5330883,5352884,5044658,6064358,5512386,7014616,6382137,6890946,6406335,5234524,5569946,5533374,6162158,6704402,7243693,6951422,7265109,10710876,13040386,13179811,13792094,16290133,18327128,14290156,16373832,13104330,13946586,13354468,14443004,13759148,13636281,18653798,25172850
 "17000","Illinois",3,CAINC45,120,"...","Other income ","Thousands of dollars",247620,219680,232062,304438,214028,87159,121912,94930,114125,197444,133520,129406,152026,349038,764137,720444,731276,1097267,1661437,1633501,994926,779751,679652,689586,1068735,517021,796795,621422,801837,1223210,2086560,2302336,2127997,953490,1219643,1580138,2118123,1491252,947270,1231262,1583630,1486445,1964723,3083479,3579467,1308873,1817821,1908015,1469977,1759395,2859183,3859573,2220389,2068072
 "17000","Illinois",3,CAINC45,130,"..."," Government payments ","Thousands of dollars",195374,166644,176786,243879,138168,9755,38933,9700,32082,102775,33210,35734,49236,118158,560370,543241,491492,882519,1477640,1373972,725941,506603,441407,480651,851190,302915,543753,386706,552452,944879,1798822,2010405,1851402,614930,866133,1169462,1775754,1045190,602787,635827,566518,697902,627373,630770,578256,167898,354966,999069,534180,956898,1634167,2527247,1377297,341047
 "17000","Illinois",3,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",52246,53036,55276,60559,75860,77404,82979,85230,82043,94669,100310,93672,102790,230880,203767,177203,239784,214748,183797,259529,268985,273148,238245,208935,217545,214106,253042,234716,249385,278331,287738,291931,276595,338560,353510,410676,342369,446062,344483,595435,1017112,788543,1337350,2452709,3001211,1140975,1462855,908946,935797,802497,1225016,1332326,843092,1727025
 "17000","Illinois",3,CAINC45,150,"...","Production expenses ","Thousands of dollars",2357315,2359128,2419787,2809339,3565830,3838155,4465356,4631956,4898359,5396965,6484728,7088056,7395526,7407287,6791443,7540667,7181919,6607304,6616439,6820619,7369353,7412919,7341353,7441458,7569019,7511327,7483012,8021339,7997685,8154981,8080207,8196700,8367000,7788173,8518361,8926816,9434552,9449416,11070006,13594748,13379239,14042638,16615513,16630858,17562778,17865999,17444008,16039918,15997694,15679758,15680941,16790633,17112143,21133961
 "17000","Illinois",3,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",256686,283681,243154,275651,445761,494483,499801,510257,471375,407386,437116,457124,466770,477619,508633,454007,412615,421571,427682,554988,561517,553296,550575,579810,596007,609067,503873,463728,460932,409110,427845,408574,440441,387670,470000,520000,480000,470000,710000,830000,710000,760000,1030000,830000,960000,1200000,1370000,930000,1000000,820000,780000,812000,750000,700000
 "17000","Illinois",3,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",337454,315854,279414,318111,375438,312244,354937,366224,391296,478626,549401,527292,442121,447022,414156,414021,386608,416889,460761,477249,473516,507231,451815,434193,435834,362465,319323,326608,334161,299644,309057,392005,453236,411546,528419,564744,575950,588829,588949,604464,522348,656641,728119,689855,716638,834264,322010,326065,491541,492152,601882,577294,744389,733578
 "17000","Illinois",3,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",70633,79433,100363,100759,137740,153002,187437,205812,226483,226125,253592,286419,310491,292335,244196,302655,275250,276047,277669,339937,361676,364907,405578,410963,435431,429197,423995,490207,529123,574365,565359,589405,657351,635383,720000,810000,860000,880000,1070000,1270000,1520000,1660000,1820000,1930000,2000000,1960000,2030000,1860000,2020000,1940000,1820000,1980000,1910000,2160000
