GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "18000","Indiana",3,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",1683814,1675365,1729879,1871505,3151402,3292185,3082177,3421373,3460261,3603103,4186154,4838752,4306544,4404811,4303716,4471347,4256084,4136507,4214607,4735338,4495000,5092924,4699206,4548685,5588063,4698254,5533665,5677846,5869611,4619589,4641254,4861686,5343273,4918623,5121816,6415030,5633177,6279302,8392158,9859340,9294736,10054757,12065960,12804442,11740634,13345602,11139641,10255753,10876811,10739376,10825578,11016072,14547754,18928457
 "18000","Indiana",3,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",947982,949722,913161,1070537,1475957,1321964,1393516,1525479,1420007,1722120,1764304,1842533,1878724,1946136,2033168,1961587,1870283,2008273,2059616,1907395,1971205,2233604,2095484,2000082,2125323,1926424,1915389,2071732,2094228,1769953,1741780,1865315,2051567,1727384,2018618,2352407,2346934,2316572,2907581,3174995,2644862,3171093,3616081,3799935,3929873,4628385,4336769,3560940,3997896,4030911,4013634,3898083,4782521,6676684
 "18000","Indiana",3,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",735832,725643,816718,800968,1675445,1970221,1688661,1895894,2040254,1880983,2421850,2996219,2427820,2458675,2270548,2509760,2385801,2128234,2154991,2827943,2523795,2859320,2603722,2548603,3462740,2771830,3618276,3606114,3775383,2849636,2899474,2996371,3291706,3191239,3103198,4062623,3286243,3962730,5484577,6684345,6649874,6883664,8449879,9004507,7810761,8717217,6802872,6694813,6878915,6708465,6811944,7117989,9765233,12251773
 "18000","Indiana",3,CAINC45,120,"...","Other income ","Thousands of dollars",167493,148602,128643,174538,134582,63733,78106,67981,75592,115172,82728,78440,100364,145966,347077,393635,307092,497517,786838,771127,496403,403579,353105,360199,518067,275942,422339,378634,452768,680195,1074593,1153860,1146581,591248,711407,778648,1151971,798075,601254,967571,979867,818874,822081,1679322,2094794,850240,1054748,1458189,995592,1037539,1880165,2058676,1213933,940991
 "18000","Indiana",3,CAINC45,130,"..."," Government payments ","Thousands of dollars",132164,111046,92304,133101,76255,6591,16783,6016,21821,53368,18587,15024,27890,57544,274176,308846,218300,411275,670244,616336,333691,244170,210055,232518,378953,136807,246026,213649,265132,468917,852051,939875,925859,334320,446287,532024,917903,541285,302508,321887,304337,372486,300460,322962,313728,95117,187869,549644,327399,470036,826559,1289610,629214,142215
 "18000","Indiana",3,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",35329,37556,36339,41437,58327,57142,61323,61965,53771,61804,64141,63416,72474,88422,72901,84789,88792,86242,116594,154791,162712,159409,143050,127681,139114,139135,176313,164985,187636,211278,222542,213985,220722,256928,265120,246624,234068,256790,298746,645684,675530,446388,521621,1356360,1781066,755123,866879,908545,668193,567503,1053606,769066,584719,798776
 "18000","Indiana",3,CAINC45,150,"...","Production expenses ","Thousands of dollars",1333521,1398690,1442787,1593692,2095544,2289293,2503560,2764140,2864884,3216972,3884967,4348270,4479862,4631823,4495314,4754031,4376515,4107305,4229800,4398588,4576869,4796332,4703616,4826621,5027174,4902989,4943940,5086073,5163770,5234185,5210403,5267458,5444465,4965713,5088499,5456454,5770578,5924331,7299055,8355125,8411988,8594511,9490618,10056072,10872094,10714329,10346549,10420252,10256129,10318662,10510156,10486084,10928880,13901074
 "18000","Indiana",3,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",194401,221632,203830,219618,362061,390614,391985,427571,380099,392275,431551,462931,471809,522442,595714,522713,471974,516896,525862,629402,674196,678638,671207,719602,697160,739641,667116,649113,660774,562064,569361,545183,580601,500657,490000,500000,400000,420000,770000,990000,1140000,1070000,1180000,1050000,1220000,1110000,1410000,1450000,1150000,1130000,1380000,1200000,910000,1550000
 "18000","Indiana",3,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",176074,185203,165593,192959,254533,189523,224208,234933,229633,287496,342560,327928,289384,300350,298537,278981,278456,308874,328366,289164,285352,355295,337984,328492,359351,314051,275199,259857,282253,248386,251191,307359,366204,307156,352749,420549,480808,460240,511240,535106,482235,512731,571395,508824,544426,650337,432406,362602,541906,627053,692456,585631,722333,773552
 "18000","Indiana",3,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",34738,36938,46556,51349,81253,85058,93494,104518,102832,121600,135762,152628,164715,154326,129248,160618,146476,147316,148614,184286,198586,202916,228396,234352,246641,241467,236914,272028,291588,316186,310905,323796,360757,348351,380000,410000,450000,470000,580000,670000,790000,830000,890000,990000,1060000,1010000,950000,960000,990000,940000,960000,980000,1000000,1040000
 "18000","Indiana",3,CAINC45,190,"..."," Fertilizer and lime (incl. ag. chemicals 1978-fwd.) ","Thousands of dollars",137677,147432,175282,176161,222595,384344,384871,404425,437001,468596,545906,675936,675375,639653,556968,636375,577512,522263,515040,568790,611376,668500,726189,725302,715047,768147,833704,904312,869221,900344,860833,835686,862897,755154,800000,910000,930000,960000,1300000,1540000,1510000,1540000,1790000,1980000,2020000,1840000,1700000,1620000,1520000,1640000,1510000,1688000,2161000,2683000
 "18000","Indiana",3,CAINC45,200,"..."," Petroleum products purchased ","Thousands of dollars",57173,55852,58089,56956,63520,91238,114004,133483,143023,148309,185199,263617,292637,271141,249508,249472,218880,178385,163910,156192,152773,181766,172719,172174,174803,168363,160832,162413,164124,149885,145943,186125,165459,154633,172745,184502,264025,295244,373532,459738,399584,383642,475142,472058,513419,507548,353712,315587,377194,394785,381843,339497,387716,550180
 "18000","Indiana",3,CAINC45,210,"..."," Hired farm labor expenses 2/","Thousands of dollars",84368,85108,91830,98167,116363,143709,162801,186215,208993,171119,190157,192073,191287,210702,211264,227143,233838,218338,228273,249264,267598,296597,285860,300495,325521,315594,305697,293504,310597,362979,349885,354341,366574,352712,386446,434845,402188,387174,472783,425635,454424,489066,494640,512827,537797,586649,527449,549475,580107,642802,501358,536301,492288,620629
 "18000","Indiana",3,CAINC45,220,"..."," All other production expenses 3/","Thousands of dollars",649090,666525,701607,798482,995219,1004807,1132197,1272995,1363303,1627577,2053832,2273157,2394655,2533209,2454075,2678729,2449379,2215233,2319735,2321490,2386988,2412620,2281261,2346204,2508651,2355726,2464478,2544846,2585213,2694341,2722285,2714968,2741973,2547050,2506559,2596558,2843557,2931673,3291500,3734646,3635745,3769072,4089441,4542363,4976452,5009795,4972982,5162588,5096922,4944022,5084499,5156655,5255543,6683713
 "18000","Indiana",3,CAINC45,240,"...","Value of inventory change ","Thousands of dollars",-19927,-106570,121283,-9389,822,-436100,349782,229816,-98143,124494,163722,-360368,212655,192171,-900404,497271,355594,-85372,-124420,-1001344,447994,19328,-322734,626488,-392802,624556,-877917,215121,-53971,508053,-269926,-35639,-118750,-307950,407474,426897,195417,-189603,-244365,-42948,-463543,-781999,-366048,-2190107,2638796,-542272,-848980,64975,-361226,-46994,-1224319,34941,20387,-793252
 "18000","Indiana",3,CAINC45,250,"..."," Value of inventory change: livestock ","Thousands of dollars",3401,21399,691,4682,20682,-23637,-5583,-10746,-21980,-74397,88583,-36366,-51809,5617,-39887,4666,-30519,-40301,-18554,-98956,2271,-9286,9343,-17709,-5149,12895,-57219,-25250,-50364,16077,-68740,-54264,-12969,-12242,-34158,28651,56761,9735,18702,-45829,14999,-15081,29001,-44350,25410,30857,60569,14075,-24983,47678,-35437,29117,-52077,-26392
 "18000","Indiana",3,CAINC45,260,"..."," Value of inventory change: crops ","Thousands of dollars",-23328,-127969,120592,-14071,-19860,-412463,355365,240562,-76163,198891,75139,-324002,264464,186554,-860517,492605,386113,-45071,-105866,-902388,445723,28614,-331379,604082,-384738,567549,-760279,206053,-18854,475611,-160318,-3435,-85306,-339667,414070,394881,95787,-135602,-331315,-170714,-475303,-831561,-677349,-1828071,2228869,-500971,-920442,78032,-387162,-98903,-1187274,-1138,47445,-791889
 "18000","Indiana",3,CAINC45,265,"..."," Value of inventory change: materials and supplies ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-698,40115,-2915,44112,-60419,34318,15247,16365,-40868,22060,-20475,43959,27562,3365,42869,-63736,68248,173595,-3239,64643,282300,-317686,384517,-72158,10893,-27132,50919,4231,-1608,6962,25019,25029
 "18000","Indiana",3,CAINC45,270,"...","Cash receipts and other income ","Thousands of dollars",1851307,1823967,1858522,2046043,3285984,3355918,3160283,3489354,3535853,3718275,4268882,4917192,4406908,4550777,4650793,4864982,4563176,4634024,5001445,5506465,4991403,5496503,5052311,4908884,6106130,4974196,5956004,6056480,6322379,5299784,5715847,6015546,6489854,5509871,5833223,7193678,6785148,7077377,8993412,10826911,10274603,10873631,12888041,14483764,13835428,14195842,12194389,11713942,11872403,11776915,12705743,13074748,15761687,19869448
 "18000","Indiana",3,CAINC45,280,"..."," Less: Production expenses ","Thousands of dollars",1333521,1398690,1442787,1593692,2095544,2289293,2503560,2764140,2864884,3216972,3884967,4348270,4479862,4631823,4495314,4754031,4376515,4107305,4229800,4398588,4576869,4796332,4703616,4826621,5027174,4902989,4943940,5086073,5163770,5234185,5210403,5267458,5444465,4965713,5088499,5456454,5770578,5924331,7299055,8355125,8411988,8594511,9490618,10056072,10872094,10714329,10346549,10420252,10256129,10318662,10510156,10486084,10928880,13901074
 "18000","Indiana",3,CAINC45,290,"...","Equals: Realized net income ","Thousands of dollars",517786,425277,415735,452351,1190440,1066625,656723,725214,670969,501303,383915,568922,-72954,-81046,155479,110951,186661,526719,771645,1107877,414534,700171,348695,82263,1078956,71207,1012064,970407,1158609,65599,505444,748088,1045389,544158,744724,1737224,1014570,1153046,1694357,2471786,1862615,2279120,3397423,4427692,2963334,3481513,1847840,1293690,1616274,1458253,2195587,2588664,4832807,5968374
 "18000","Indiana",3,CAINC45,300,"..."," Plus: Value of inventory change ","Thousands of dollars",-19927,-106570,121283,-9389,822,-436100,349782,229816,-98143,124494,163722,-360368,212655,192171,-900404,497271,355594,-85372,-124420,-1001344,447994,19328,-322734,626488,-392802,624556,-877917,215121,-53971,508053,-269926,-35639,-118750,-307950,407474,426897,195417,-189603,-244365,-42948,-463543,-781999,-366048,-2190107,2638796,-542272,-848980,64975,-361226,-46994,-1224319,34941,20387,-793252
 "18000","Indiana",3,CAINC45,310,"...","Equals: Net income including corporate farms ","Thousands of dollars",497859,318707,537018,442962,1191262,630525,1006505,955030,572826,625797,547637,208554,139701,111125,-744925,608222,542255,441347,647225,106533,862528,719499,25961,708751,686154,695763,134147,1185528,1104638,573652,235518,712449,926639,236208,1152198,2164121,1209987,963443,1449992,2428838,1399072,1497121,3031375,2237585,5602130,2939241,998860,1358665,1255048,1411259,971268,2623605,4853194,5175122
 "18000","Indiana",3,CAINC45,320,"..."," Less: Net income of corporate farms ","Thousands of dollars",9883,6132,12507,13878,59102,19079,47419,39512,29846,44942,41868,4395,9875,4143,-295586,41930,45360,33917,51984,7489,95598,84207,2659,91428,70534,104131,13703,205236,180287,80342,25634,100800,145578,39018,213768,456830,208695,150403,262049,447384,201983,251774,577274,378085,711687,340430,47434,128755,130604,344774,167092,516214,1155077,1339466
 "18000","Indiana",3,CAINC45,330,"..."," Plus: Statistical adjustment ","Thousands of dollars",14,11,10,12,16,7,0,-9,-5,7,6,-3,13,-15,3,9,8,12,3,4,-12,2,8,10,9,-8,-13,6,11,-4,5,-10,-11,5,-4,-10,-9,1,-4,-4,-15,13,-13,7,-2,8,0,-6,-4,-8,10,13,-4,-13
 "18000","Indiana",3,CAINC45,340,"...","Equals: Farm proprietors' income ","Thousands of dollars",487990,312586,524521,429096,1132176,611453,959086,915509,542975,580862,505775,204156,129839,106967,-449336,566301,496903,407442,595244,99048,766918,635294,23310,617333,615629,591624,120431,980298,924362,493306,209889,611639,781050,197195,938426,1707281,1001283,813041,1187939,1981450,1197074,1245360,2454088,1859507,4890441,2598819,951426,1229904,1124440,1066477,804186,2107404,3698113,3835643
 "18000","Indiana",3,CAINC45,350,"..."," Plus: Farm wages and salaries ","Thousands of dollars",59201,65013,68504,73894,90889,116942,129086,149646,168456,137437,153024,161891,163860,187984,177778,173317,170551,155144,151304,168364,175786,202786,193897,205315,220932,209344,201859,192013,211805,249802,236256,234085,255992,240025,271609,300583,285845,266011,313105,284972,316334,330589,314641,372127,387089,409130,334285,341517,413031,454378,353844,376507,334241,381616
