GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "23000","Maine",1,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",239306,247079,233398,244575,406808,426244,375248,457619,428955,414203,452901,441214,477612,421436,418066,461931,381707,390039,422760,423810,451052,504133,455914,478796,477073,483384,472739,501006,491907,581940,568846,587418,601784,537639,547481,579810,556534,562887,649223,705051,627865,711040,774826,789649,796150,779849,737194,670042,674759,680794,690938,700748,771819,945505
 "23000","Maine",1,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",159552,161767,154720,162666,235702,236181,258127,279210,272777,298366,318471,305006,291300,261450,264898,295365,245155,237659,236520,225885,224261,268716,261668,271466,298067,301809,274259,286672,283727,367215,363035,345871,359649,313739,322498,355261,289636,276121,306378,304500,242717,306504,351902,359283,362088,365133,345436,279605,286907,300342,293345,300192,299068,407480
 "23000","Maine",1,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",79754,85312,78678,81909,171106,190063,117121,178409,156178,115837,134430,136208,186312,159986,153168,166566,136552,152380,186240,197925,226791,235417,194246,207330,179006,181575,198480,214334,208180,214725,205811,241547,242135,223900,224983,224549,266898,286766,342845,400551,385148,404536,422924,430366,434062,414716,391758,390437,387852,380452,397593,400556,472751,538025
 "23000","Maine",1,CAINC45,120,"...","Other income ","Thousands of dollars",6792,6438,5780,9248,14466,16847,9815,10965,9911,15491,18208,17477,18480,19174,19286,22085,22479,28356,30428,29260,28576,29635,29101,32018,41792,36121,38893,26287,28879,32161,38730,45049,32256,39720,43353,51324,59045,51192,57974,56942,74255,129858,73788,92511,97708,91709,69532,61862,65646,56103,80764,132248,78184,88186
 "23000","Maine",1,CAINC45,130,"..."," Government payments ","Thousands of dollars",1901,1667,1055,1295,560,1656,2192,2083,2099,3749,5540,3443,2345,2287,2698,4339,3604,6803,8110,7319,7143,6982,6066,10253,19667,14114,14114,4647,4191,6496,11650,13851,7819,13709,11834,10713,22145,14948,12605,14455,20437,48811,17368,21876,16641,12973,10527,13086,11720,14739,14547,90172,39751,18245
 "23000","Maine",1,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",4891,4771,4725,7953,13906,15191,7623,8882,7812,11742,12668,14034,16135,16887,16588,17746,18875,21553,22318,21941,21433,22653,23035,21765,22125,22007,24779,21640,24688,25665,27080,31198,24437,26011,31519,40611,36900,36244,45369,42487,53818,81047,56420,70635,81067,78736,59005,48776,53926,41364,66217,42076,38433,69941
 "23000","Maine",1,CAINC45,150,"...","Production expenses ","Thousands of dollars",189917,200500,199192,201749,263165,310328,317792,341885,356845,393909,444833,467169,462922,402497,416112,412255,365855,357472,371443,383885,411671,416007,410445,412922,425260,446390,466191,460763,489643,503091,488833,481480,496993,533283,492446,513695,474064,504991,589855,601256,572462,577140,592078,681409,701176,756488,699120,695229,647914,653441,604041,649716,654494,796947
 "23000","Maine",1,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",62680,71193,69233,63392,101519,125101,115550,126882,123198,141685,157552,172515,167273,100879,112550,102635,66950,66931,67088,72837,73836,62472,60954,61405,68172,68356,73744,77033,86205,81207,73977,62578,63676,62744,60207,69421,53679,62844,74776,93196,80795,92445,99585,79492,86229,89348,88654,80705,74846,74085,70660,77891,74339,72309
 "23000","Maine",1,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",16882,18468,18088,17351,21712,22535,23711,24290,29617,35311,33063,26752,21889,20717,24265,20992,18469,22923,21876,19030,17990,21035,19595,18658,21344,18726,17406,12840,11988,15249,15276,19837,19583,16896,17053,18248,15875,11449,13600,13961,11946,14693,16533,26557,22918,30013,17427,17365,11673,13242,15676,16650,15982,15714
 "23000","Maine",1,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",4281,4086,3723,3888,7949,15673,4723,10195,10769,8647,9257,9966,10293,9218,8009,10321,9757,10168,10626,13878,15725,16869,19908,17119,15951,16812,17893,18787,18577,19597,16420,18712,18529,23511,24255,22035,19862,20450,25550,27816,26374,25756,26992,32268,33509,36083,33923,37853,35876,34082,29239,32827,27445,49426
