GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",52626,60004,62228,76512,118018,130700,127003,101819,84475,129821,147695,168125,162933,147921,172542,193037,181773,135869,156936,159184,176728,184421,203211,195410,204721,190279,222663,199532,255124,195745,204850,245059,231402,267680,278300,297193,336101,276858,395060,567263,468261,366141,552272,862211,789895,790555,640450,654065,585914,588312,551344,566191,791706,972204
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",39504,40541,44875,51248,68020,72305,70909,81906,65344,89433,107116,115401,116592,104068,101772,108106,109179,82727,101116,118449,102753,115293,111244,106353,114510,93324,91975,83587,90203,78916,95041,106261,110769,106299,108578,127190,138367,132646,131079,126392,108013,137729,149406,130139,147379,174461,142202,134072,150153,157304,165943,155787,196117,226866
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",13122,19463,17353,25264,49998,58395,56094,19913,19131,40388,40579,52724,46341,43853,70770,84931,72594,53142,55820,40735,73975,69128,91967,89057,90211,96955,130688,115945,164921,116829,109809,138798,120633,161381,169722,170003,197734,144212,263981,440871,360248,228412,402866,732072,642516,616094,498248,519993,435761,431008,385401,410404,595589,745338
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC45,120,"...","Other income ","Thousands of dollars",8364,8310,7002,9065,6058,4323,4175,9187,10344,12346,5515,6073,7972,13588,24584,20532,22833,30507,34767,40906,30235,28447,27322,25385,34299,28458,28173,31806,32318,47600,75974,79867,75005,39045,62598,74925,91326,82251,76455,85326,86705,198469,160783,76648,85932,114197,102236,89807,84383,155286,210301,276509,202039,265129
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC45,130,"..."," Government payments ","Thousands of dollars",7180,7095,5681,7618,4440,2432,2247,7014,8162,10022,2922,3479,5276,6018,17625,14917,15539,24303,30167,33897,22404,20907,20548,17343,24281,17605,15173,16960,17663,29622,58228,61912,57171,20126,33859,31925,55005,28821,18968,37898,16306,40939,27142,31226,24528,10552,29109,33491,18052,64631,81040,102242,65500,100892
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",1184,1215,1321,1447,1618,1891,1928,2173,2182,2324,2593,2594,2696,7570,6959,5615,7294,6204,4600,7009,7831,7540,6774,8042,10018,10853,13000,14846,14655,17978,17746,17955,17834,18919,28739,43000,36321,53430,57487,47428,70399,157530,133641,45422,61404,103645,73127,56316,66331,90655,129261,174267,136539,164237
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC45,150,"...","Production expenses ","Thousands of dollars",44953,48529,53589,58674,79306,84128,86235,86677,100625,117792,140366,157576,166981,175982,173309,178752,164194,142349,139360,152825,155274,168709,170001,169308,175698,176291,179668,183365,201032,209020,219337,245860,253935,246038,252794,285202,304590,311837,383930,467152,441646,456973,502566,649715,668740,707747,650426,632516,628846,622116,606556,625354,671739,749231
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",4502,5666,6382,7113,12675,14704,11862,12712,11872,11032,13559,15364,14565,14680,16136,14873,13152,11657,12826,14218,13786,12779,11618,11579,11441,11160,10210,10190,10901,11868,12348,11605,13315,13371,11420,14439,12234,16081,21755,20726,23765,19954,19229,26551,29348,35241,24305,24846,27733,24432,26942,31036,30111,51370
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",10497,11504,13274,15354,21862,16266,16346,18568,22780,27946,34522,34509,30416,30388,29270,29099,26357,20283,24983,30677,28614,37228,38620,38245,38122,30154,27950,22373,28460,26927,31540,40558,38588,34012,36010,40291,43614,37627,34696,33804,34085,41687,47228,46189,45283,58098,37111,27038,38753,41420,39721,41136,52481,49220
 "10100","Aberdeen, SD (Micropolitan Statistical Area)", ,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",1243,1296,1464,1350,2093,2853,2709,2623,3547,2943,3284,3701,4007,3786,3165,4031,3780,3685,3703,4709,5170,5291,5907,5889,6386,7061,7375,8936,9607,12264,14332,17584,20408,23202,23809,27017,29804,31199,38529,53466,49672,52787,60129,81531,85340,98252,86169,90824,85610,83948,73143,83116,84778,86438
