GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "26000","Michigan",3,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",945637,978428,1023970,1104346,1609918,1733547,1732115,1825645,2002802,2171437,2456795,2829065,2827134,2736267,3053635,2963121,2833944,2663914,2829756,3004779,3130372,3329560,3418434,3385919,3486551,3498278,3796127,3765519,3721559,3616694,3625643,3570825,3740332,3637920,4000273,4507249,4447230,4811969,6083982,6633322,5772623,6699688,8227039,8438366,8773309,8781121,7715117,7521318,7609457,7459253,7596607,7838249,9813600,12207327
 "26000","Michigan",3,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",541555,553338,574796,640943,797715,761406,807617,906019,926731,1098934,1130097,1242674,1218684,1292074,1391830,1432365,1350152,1369263,1437584,1360699,1456559,1571077,1437153,1449643,1525112,1544729,1491109,1605131,1497888,1449410,1464017,1508154,1682833,1444538,1579238,1983043,1955750,1877795,2635669,2708429,2057430,2627653,3194222,3102430,3510223,4186331,3315911,2988818,3375526,3269559,3507217,3466275,3955674,5119497
 "26000","Michigan",3,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",404082,425090,449174,463403,812203,972141,924498,919626,1076071,1072503,1326698,1586391,1608450,1444193,1661805,1530756,1483792,1294651,1392172,1644080,1673813,1758483,1981281,1936276,1961439,1953549,2305018,2160388,2223671,2167284,2161626,2062671,2057499,2193382,2421035,2524206,2491480,2934174,3448313,3924893,3715193,4072035,5032817,5335936,5263086,4594790,4399206,4532500,4233931,4189694,4089390,4371974,5857926,7087830
 "26000","Michigan",3,CAINC45,120,"...","Other income ","Thousands of dollars",104753,99240,85697,96054,83840,53137,59339,58016,91661,108480,116085,123334,148149,178263,273600,298734,260470,355612,554599,504684,485163,299680,264690,261362,359729,224186,270820,242048,261417,378219,575289,558449,626615,367634,510150,460201,652050,502888,366018,495661,545800,410001,741920,891167,650184,548506,871660,659504,617108,758596,1084589,1552658,894067,644512
 "26000","Michigan",3,CAINC45,130,"..."," Government payments ","Thousands of dollars",73394,65698,52532,61203,38888,10438,13276,7300,21195,45510,15593,10666,17263,40417,144389,167669,116621,220910,391143,303025,261971,168831,123691,142509,241342,102065,151055,109586,121289,210620,401436,381260,352879,190491,255593,215313,387671,247641,140244,166335,179586,184599,156567,175384,135481,53923,159284,171936,175947,211477,361812,928856,424399,148033
 "26000","Michigan",3,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",31359,33542,33165,34851,44952,42699,46063,50716,70466,62970,100492,112668,130886,137846,129211,131065,143849,134702,163456,201659,223192,130849,140999,118853,118387,122121,119765,132462,140128,167599,173853,177189,273736,177143,254557,244888,264379,255247,225774,329326,366214,225402,585353,715783,514703,494583,712376,487568,441161,547119,722777,623802,469668,496479
 "26000","Michigan",3,CAINC45,150,"...","Production expenses ","Thousands of dollars",784954,837819,870042,917485,1088128,1296234,1378380,1522836,1662338,1949359,2288378,2606371,2789140,2934612,2975736,3040584,2803897,2663285,2727704,2858610,3023466,3245170,3362857,3322397,3560796,3695632,3671316,3698069,3997412,3907734,3902184,4097951,4255242,4144965,4241353,4330533,4471527,4653893,5773518,6132203,5979029,5848684,6406340,8020275,8063796,8760347,8343039,8288830,7858224,7955235,8260399,8109610,8585724,10481781
 "26000","Michigan",3,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",84811,94733,93765,93911,141073,165335,161196,184612,176748,184081,202067,232912,237860,254964,294824,268978,240055,248192,255062,302290,310857,311193,298029,324577,341693,369486,389665,381859,422856,341463,327677,343456,368716,344166,417684,439418,421324,512514,727251,714187,670639,692413,692413,1127241,1122750,1345320,1275444,1284426,1176986,965129,1280561,1228774,1134615,1605409
 "26000","Michigan",3,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",85819,85860,80649,85934,108039,101853,107132,122306,124053,148965,180473,175400,156673,170033,177922,176131,146294,156796,190386,179159,182018,197269,218883,205867,247001,226066,185461,176806,175474,163793,175130,223572,240242,196576,219034,257230,288346,287956,308543,338117,229533,284044,281468,326573,335386,374777,215049,203841,296271,291187,372219,370596,398198,420506
 "26000","Michigan",3,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",23508,23469,28739,31176,43965,55596,54831,66332,63471,81187,91186,103040,111753,105161,89070,111959,103291,105112,107310,133291,143907,147360,166260,171406,185495,215090,188027,195393,229690,250272,257721,274410,297946,321855,328085,289529,307079,292043,346388,461851,484943,489562,609643,764164,777892,743174,741285,768740,586161,644330,568263,666702,635381,711448
