GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "30000","Montana",7,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",625813,715357,712188,966264,1302982,1269438,1137513,1109189,909240,1300967,1521345,1497263,1463348,1524384,1598588,1543418,1396153,1147597,1572867,1721289,1722234,1791037,1689290,1907597,1898934,2007032,1941049,2066767,1965410,1852509,1835235,1933123,1853655,1867378,2019664,2320426,2423134,2417103,2619259,2964496,2905167,3179080,3875416,4141005,4314162,4869776,3777541,3713683,3647060,3612423,3821880,3869127,4311937,4855303
 "30000","Montana",7,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",436462,450961,504586,618958,722312,535118,502942,529706,557135,751933,908882,853512,740291,775895,782370,871330,911415,709058,893559,957490,1090317,996156,948954,1037917,1072002,953134,864478,841905,1006420,927360,993015,1190516,1211869,1102297,1224832,1380725,1388302,1330209,1266161,1281731,1251233,1423343,1614507,1798506,1967246,2526555,1915145,1697371,1831610,1740125,1801403,1681258,2012858,2187230
 "30000","Montana",7,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",189351,264396,207602,347306,580670,734320,634571,579483,352105,549034,612463,643751,723057,748489,816218,672088,484738,438539,679308,763799,631917,794881,740336,869680,826932,1053898,1076571,1224862,958990,925149,842220,742607,641786,765081,794832,939701,1034832,1086894,1353098,1682765,1653934,1755737,2260909,2342499,2346916,2343221,1862396,2016312,1815450,1872298,2020477,2187869,2299079,2668073
 "30000","Montana",7,CAINC45,120,"...","Other income ","Thousands of dollars",94933,101309,94276,122027,88955,47227,38670,40320,92366,174736,64723,85673,111499,153019,265492,282171,270224,388993,409460,466250,367263,379185,402993,385491,434848,349221,293418,354980,335407,524273,676420,626420,627685,502668,525731,438833,596208,517045,603918,592602,640094,562651,829914,562357,606669,504708,467769,541783,860797,671646,605927,1290102,1254101,1254313
 "30000","Montana",7,CAINC45,130,"..."," Government payments ","Thousands of dollars",80081,85361,77789,103169,64990,14998,9350,10497,61443,137237,33997,58484,85131,116916,230324,239609,220876,344450,352330,386734,289382,299599,320133,298773,338008,256143,189809,240720,230857,360673,492057,490375,476158,261975,355806,282498,381782,275329,258040,294380,256273,327112,298649,239263,238155,141465,111724,206868,328563,310422,303987,753628,609782,552650
 "30000","Montana",7,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",14852,15948,16487,18858,23965,32229,29320,29823,30923,37499,30726,27189,26368,36103,35168,42562,49348,44543,57130,79516,77881,79586,82860,86718,96840,93078,103609,114260,104550,163600,184363,136045,151527,240693,169925,156335,214426,241716,345878,298222,383821,235539,531265,323094,368514,363243,356045,334915,532234,361224,301940,536474,644319,701663
 "30000","Montana",7,CAINC45,150,"...","Production expenses ","Thousands of dollars",545226,577926,613562,696688,872395,875986,928763,998309,1036708,1265278,1481343,1604801,1750190,1772622,1838781,1825832,1669101,1638182,1671809,1724370,1816847,1821705,1783081,1708862,1784477,1979370,2043906,2107349,2216845,2151580,2157811,2260326,2182061,2310307,2312847,2285997,2590089,2797370,3101044,3321470,3227566,3286326,3673409,4132463,4215992,4619977,3934900,3862841,4047208,3932279,3835161,4299037,4568436,5113520
 "30000","Montana",7,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",49761,57381,59173,67035,101351,86440,70690,78763,75854,110641,131534,135578,131804,110919,138144,116382,102870,105651,116228,126030,121439,109525,96995,94192,93580,112500,134732,139503,138196,164205,134098,129218,112449,163756,159421,122175,126685,148992,199191,196968,196968,186810,270278,319472,318367,374446,320578,259226,274310,243652,303893,314112,340467,510970
 "30000","Montana",7,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",104277,117204,122558,155740,200412,123293,99247,108588,92425,157230,189084,159538,155076,165312,173010,150659,141460,158676,191557,205165,206366,222642,220891,191132,199696,167900,117433,104281,153915,131301,141793,179107,198841,207330,193829,200937,230863,280215,291562,214499,202587,220587,275947,365896,352716,478173,237319,186644,228331,269674,316709,300742,306851,395666
 "30000","Montana",7,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",3811,4066,4416,4346,7344,10202,9511,9972,7354,12851,15384,18435,21091,20881,18690,24758,24012,25630,27389,32739,33950,33320,35946,31227,32774,37763,35460,38335,41301,39200,43264,42845,41856,60154,54928,46304,56040,52435,43047,49472,54612,55897,61679,111751,143680,132327,91530,104301,166267,207834,158473,184452,159772,155875
 "30000","Montana",7,CAINC45,190,"..."," Fertilizer and lime (incl. ag. chemicals 1978-fwd.) ","Thousands of dollars",18601,20342,24796,27128,38344,56226,59602,74296,86500,90481,115285,107250,120832,123170,128594,157140,134051,124216,134820,130462,136456,125049,122165,116201,125914,159376,170478,200600,216127,209571,202550,206277,192049,214486,194966,209258,254281,261803,325250,409932,376851,375073,466610,601339,569997,589689,554285,514920,513422,462475,416536,575916,701154,671768
 "30000","Montana",7,CAINC45,200,"..."," Petroleum products purchased ","Thousands of dollars",29591,29643,29656,29141,32652,46206,55094,63122,66487,67482,86280,125918,142670,133167,125249,128251,114424,95054,89834,86266,85132,102901,98593,86701,84133,92075,92179,107296,112940,100957,102217,146066,133490,118873,125622,143979,176233,191113,227754,275823,219288,232426,296301,257179,283221,279138,192856,185326,216701,205457,229285,204367,236430,289721
 "30000","Montana",7,CAINC45,210,"..."," Hired farm labor expenses 2/","Thousands of dollars",59788,59381,66382,70945,80769,96083,96700,92725,87790,117852,129103,127887,125781,126757,124864,132288,133043,120670,123862,133251,142669,154750,148796,147110,161756,189555,208913,182203,204659,207149,208341,223507,220981,230866,222295,233999,237803,251451,287900,267329,297957,261442,236784,347771,379574,391615,300052,368987,366453,363147,291137,391035,404469,382829
 "30000","Montana",7,CAINC45,220,"..."," All other production expenses 3/","Thousands of dollars",279397,289909,306581,342353,411523,457536,537919,570843,620298,708741,814673,930195,1052936,1092416,1130230,1116354,1019241,1008285,988119,1010457,1090835,1073518,1059695,1042299,1086624,1220201,1284711,1335131,1349707,1299197,1325548,1333306,1282395,1314842,1361786,1329345,1508184,1611361,1726340,1907447,1879303,1954091,2065810,2129055,2168437,2374589,2238280,2243437,2281724,2180040,2119128,2328413,2419293,2706691
 "30000","Montana",7,CAINC45,240,"...","Value of inventory change ","Thousands of dollars",27161,13664,12426,-23512,47993,-41539,94838,-5440,5896,8622,-119295,-1196,287698,137611,-20114,-137495,-362088,267897,-45247,-444664,122215,7780,230673,-90808,239368,-49745,40159,-78866,35287,-33595,-67292,-172701,-61833,-32092,29925,56685,91655,-170270,165530,198652,-99579,35109,-353802,77425,126818,-237446,225828,-91860,-493703,21180,70761,-85548,-1089156,102479
 "30000","Montana",7,CAINC45,250,"..."," Value of inventory change: livestock ","Thousands of dollars",4560,29828,-1104,3870,53257,-16234,-39736,-36014,-68708,-25701,21274,19336,98452,30734,61522,-74485,-199496,41229,-39302,1162,-126795,69813,148993,-43636,33431,107881,27103,-34688,-66050,-2926,-2817,-42015,-43173,-43325,-45656,-50553,57202,-186,209540,47840,-95526,-54409,-1034,139264,-76856,-88789,276559,-383,-126820,-66788,216,-64746,-334310,-74644
 "30000","Montana",7,CAINC45,260,"..."," Value of inventory change: crops ","Thousands of dollars",22601,-16164,13530,-27382,-5264,-25305,134574,30574,74604,34323,-140569,-20532,189246,106877,-81636,-63010,-162592,226668,-5945,-445826,249010,-62033,81182,-65444,217527,-172779,45705,-59015,94577,-37925,-46357,-140466,-9582,-8256,86533,93655,52467,-184520,-57042,145623,-3824,78543,-345681,-72325,206608,-162904,-62761,-95075,-352170,84715,72980,-33581,-755191,165470
 "30000","Montana",7,CAINC45,265,"..."," Value of inventory change: materials and supplies ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),498,18272,-11590,15153,-32649,14837,6760,7256,-18118,9780,-9078,19489,-10952,13583,-18014,14436,13032,5189,-229,10975,-7087,10486,-2934,14247,12030,3598,-14713,3253,-2435,12779,345,11653
 "30000","Montana",7,CAINC45,270,"...","Cash receipts and other income ","Thousands of dollars",720746,816666,806464,1088291,1391937,1316665,1176183,1149509,1001606,1475703,1586068,1582936,1574847,1677403,1864080,1825589,1666377,1536590,1982327,2187539,2089497,2170222,2092283,2293088,2333782,2356253,2234467,2421747,2300817,2376782,2511655,2559543,2481340,2370046,2545395,2759259,3019342,2934148,3223177,3557098,3545261,3741731,4705330,4703362,4920831,5374484,4245310,4255466,4507857,4284069,4427807,5159229,5566038,6109616
