GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "33000","New Hampshire",1,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",56605,55748,57478,59787,73054,73732,77574,83109,83144,90376,98035,96220,105942,111532,112974,112080,108955,112923,139051,135097,137143,138019,138252,139650,135729,136057,139637,150527,152551,155744,152868,154089,156668,149162,157573,175201,172476,171626,200816,233758,200856,209596,221258,223180,239735,264544,256541,238815,236714,230341,204440,218991,212183,283182
 "33000","New Hampshire",1,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",45039,43890,44172,44596,55384,54358,56903,59980,58698,68160,74942,73788,75454,80092,80978,78606,73065,74267,72357,63806,67415,66974,66201,69924,66309,63449,62061,70285,70484,70907,67355,63968,72937,63778,65191,78840,79256,74431,94237,102801,81682,98102,110870,121985,116782,147203,135800,106269,103637,106692,99006,103501,104587,168312
 "33000","New Hampshire",1,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",11566,11858,13306,15191,17670,19374,20671,23129,24446,22216,23093,22432,30488,31440,31996,33474,35890,38656,66694,71291,69728,71045,72051,69726,69420,72608,77576,80242,82067,84837,85513,90121,83731,85384,92382,96361,93220,97195,106579,130957,119174,111494,110388,101195,122953,117341,120741,132546,133077,123649,105434,115490,107596,114870
 "33000","New Hampshire",1,CAINC45,120,"...","Other income ","Thousands of dollars",2579,2548,2404,2559,2778,3349,3543,3892,3806,5185,6719,7295,7938,6616,8803,10560,10797,12124,10320,9893,10524,9881,9325,9493,9571,9119,8742,7881,8561,10295,15189,21025,13915,23171,24539,27853,25868,24347,25872,35489,34710,52649,44305,72121,78999,50217,37977,28044,37616,34289,56777,47623,31570,60950
 "33000","New Hampshire",1,CAINC45,130,"..."," Government payments ","Thousands of dollars",581,548,389,461,211,654,634,689,621,886,617,702,714,659,645,1690,1341,2864,2808,1949,2302,1856,1477,1550,1942,1475,1216,1102,890,1858,3944,4768,2815,3854,6085,4590,7782,7558,6308,7834,9107,20077,12918,14874,11812,7232,5958,5308,5540,6853,6723,27166,14728,6072
 "33000","New Hampshire",1,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",1998,2000,2015,2098,2567,2695,2909,3203,3185,4299,6102,6593,7224,5957,8158,8870,9456,9260,7512,7944,8222,8025,7848,7943,7629,7644,7526,6779,7671,8437,11245,16257,11100,19317,18454,23263,18086,16789,19564,27655,25603,32572,31387,57247,67187,42985,32019,22736,32076,27436,50054,20457,16842,54878
 "33000","New Hampshire",1,CAINC45,150,"...","Production expenses ","Thousands of dollars",43407,48635,50526,50468,58472,70599,69703,74856,77918,87262,96709,104012,108263,113706,120191,114994,111072,110139,112449,112914,117808,119749,118930,117302,121648,128503,138738,143561,160819,161510,156404,158048,160997,175944,166980,176129,169629,185831,227119,244236,231151,235631,241389,251773,258214,282039,265708,264797,244305,245705,229531,250586,246204,450625
 "33000","New Hampshire",1,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",13810,14219,14072,13153,19421,23735,22535,24220,22852,22937,25335,27240,27335,25619,28279,23752,20176,21018,17405,16687,17841,17635,17605,17552,17949,16130,18272,17818,21308,22193,19288,16836,17418,17352,16322,18363,15727,17368,22147,27600,23927,27377,29492,34025,36908,38244,37946,34544,32141,31814,30343,33448,31923,31051
 "33000","New Hampshire",1,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",2763,3166,3346,3872,4521,5061,4202,4106,4960,5020,4568,3595,4367,4014,3905,3466,3280,3116,3647,3608,2512,2781,2860,2968,3429,2945,1946,1820,3031,2534,2638,2277,2406,1640,1921,3012,3191,2853,4469,4741,3614,3094,3732,3874,2981,4705,4057,3263,3866,4460,4934,6309,5060,5397
 "33000","New Hampshire",1,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",433,424,446,465,600,745,703,791,1341,1470,1504,1542,1508,1271,1275,1852,1940,2210,2498,3192,3543,3728,4321,3653,3909,4741,5829,7106,8219,8912,7682,9013,9196,12033,13837,13896,13750,15449,20957,22816,21633,21126,22140,11150,11579,12469,11722,13080,13665,12981,11137,12503,10453,18825
