GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "46000","South Dakota",4,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",1087509,1160476,1183534,1453662,2151236,2292816,2155237,1980640,1542191,2313711,2617806,2939898,2943524,2691348,2878644,3211149,3179873,2587574,3122107,3703315,3248680,3406599,3600403,3510582,3602298,3490626,3838907,3689353,4330560,3526874,3854199,4205974,4255429,4130964,4529657,5033276,5286282,5182799,6381383,8112684,7767126,7910090,9625978,10788498,10522560,11154735,9245040,9447963,9152865,9274007,9031221,9076639,12204724,14797395
 "46000","South Dakota",4,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",902346,899007,961562,1119137,1446609,1487389,1424821,1605650,1266618,1694485,1986537,2128079,2142197,1927987,1940081,2114347,2195193,1750122,2187379,2510802,2176167,2416721,2310052,2181135,2362005,1975091,1978761,1866184,1993157,1748385,2074439,2354547,2582055,2368917,2490626,2861567,3053648,3081807,3117026,3090028,2681332,3449588,3856575,3934933,4257176,4936329,3998561,3749663,4114549,4278351,4502601,4275172,5296298,6157291
 "46000","South Dakota",4,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",185163,261469,221972,334525,704627,805427,730416,374990,275573,619226,631269,811819,801327,763361,938563,1096802,984680,837452,934728,1192513,1072513,989878,1290351,1329447,1240293,1515535,1860146,1823169,2337403,1778489,1779760,1851427,1673374,1762047,2039031,2171709,2232634,2100992,3264357,5022656,5085794,4460502,5769403,6853565,6265384,6218406,5246479,5698300,5038316,4995656,4528620,4801467,6908426,8640104
 "46000","South Dakota",4,CAINC45,120,"...","Other income ","Thousands of dollars",117019,115169,103368,139843,102882,69974,69999,130792,138079,174428,105074,115128,141694,227261,391495,333166,364543,497181,592997,626204,482474,467384,405436,410963,596903,460529,443371,449796,480862,722277,1092043,1116341,1049065,709350,919777,857109,1153388,881491,795168,1004194,795457,1144281,1339690,1848664,1349978,1484787,1319774,1324245,1520599,1711855,2738528,2985731,2429486,2403678
 "46000","South Dakota",4,CAINC45,130,"..."," Government payments ","Thousands of dollars",94361,91698,77824,111519,71353,33443,32815,88068,94858,127155,54687,65272,90724,92721,266807,231348,231988,382855,504827,496046,340262,332851,286237,271899,432424,289205,245016,229547,268087,437451,791124,795681,717253,335023,549092,400630,808706,411708,317077,400703,256423,401016,303428,330831,288849,408425,362382,417547,496738,731089,871819,1737385,1116319,927554
 "46000","South Dakota",4,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",22658,23471,25544,28324,31529,36531,37184,42724,43221,47273,50387,49856,50970,134540,124688,101818,132555,114326,88170,130158,142212,134533,119199,139064,164479,171324,198355,220249,212775,284826,300919,320660,331812,374327,370685,456479,344682,469783,478091,603491,539034,743265,1036262,1517833,1061129,1076362,957392,906698,1023861,980766,1866709,1248346,1313167,1476124
 "46000","South Dakota",4,CAINC45,150,"...","Production expenses ","Thousands of dollars",869193,907371,972472,1051543,1396000,1455939,1483069,1484336,1712677,1995126,2351051,2628252,2777662,2904087,2955754,3068186,2836476,2591617,2722214,2941653,2927753,3139934,3124060,3089323,3172938,3167302,3211054,3286045,3535934,3589709,3677849,4016894,4100750,3868920,3994082,4507674,4808548,5018069,6093259,7077081,6594196,6687389,7189105,9189943,9656582,10357963,9428573,9194214,9445735,9325086,9160387,9483462,10175283,11507658
 "46000","South Dakota",4,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",116466,129726,133816,141710,241258,271308,219090,235051,219819,204473,250713,283013,267878,268944,306246,285671,255664,240546,277555,308848,298654,278323,254308,255311,253442,249331,229720,233318,252338,274058,284439,266523,304935,305682,264770,337883,288541,385123,518816,498063,575144,486204,471381,654514,735887,900091,633287,661590,756238,666210,734631,846266,821058,1400725
 "46000","South Dakota",4,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",205158,218049,243059,276560,384057,281317,265864,287942,339582,404145,501127,502366,445487,446008,462454,480924,454264,384759,519803,598910,530352,665323,664800,632721,620178,490647,450567,364469,452194,430774,506458,664831,674986,580920,670695,780421,883666,868236,881582,806760,756268,859689,920987,978174,935374,1226510,817416,613591,926119,980242,926857,978217,1212958,1134238
 "46000","South Dakota",4,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",18473,19122,21518,19877,30668,41747,41671,42277,59621,51478,58080,66010,71988,68295,59023,75676,71191,73848,76827,91834,95107,93082,99969,96231,103433,114209,118365,144627,153706,173169,185270,212580,233821,255380,261643,296241,326012,342137,419972,570278,521649,548174,618906,833294,872355,1004438,881035,928776,875542,858541,748036,850041,867041,884042
 "46000","South Dakota",4,CAINC45,190,"..."," Fertilizer and lime (incl. ag. chemicals 1978-fwd.) ","Thousands of dollars",28580,33407,38282,40179,55571,86212,91434,100714,87771,111161,121218,140110,152872,133725,116535,148330,134932,151637,166592,179524,198601,210813,226421,236845,254600,287542,329450,377046,422775,421824,397888,444077,464125,444138,474606,557590,593070,592146,868604,1161491,945878,926579,1097990,1462593,1445486,1585157,1510343,1447977,1315032,1378921,1250134,1282449,1542170,1807566
 "46000","South Dakota",4,CAINC45,200,"..."," Petroleum products purchased ","Thousands of dollars",46179,43942,45574,44540,50037,73328,85704,97656,101237,102387,132019,193746,218993,207310,192984,197706,175121,145008,135826,128787,124393,147808,139495,133640,126582,125374,128422,146137,148473,134598,128310,181339,176090,162511,180563,214671,268622,269103,344397,444789,331233,359689,438413,467489,602449,484133,406143,352377,350579,383280,333277,354856,359453,469357
 "46000","South Dakota",4,CAINC45,210,"..."," Hired farm labor expenses 2/","Thousands of dollars",57881,57116,59909,61506,75737,87555,91144,86787,91566,109710,122223,118515,119579,131710,136081,150101,150152,138886,144617,154576,162945,168158,157332,154438,177849,202008,211454,199521,213649,237265,241767,260847,269515,247069,209620,276634,264856,264325,409753,397011,352855,326150,367835,548012,419591,516107,404867,384535,425119,374862,458179,408093,372083,490273
 "46000","South Dakota",4,CAINC45,220,"..."," All other production expenses 3/","Thousands of dollars",396456,406009,430314,467171,558672,614472,688162,633909,813081,1011772,1165671,1324492,1500865,1648095,1682431,1729778,1595152,1456933,1400994,1479174,1517701,1576427,1581735,1580137,1636854,1698191,1743076,1820927,1892799,1918021,1933717,1986697,1977278,1873220,1932185,2044234,2183781,2296999,2650135,3198689,3111169,3180904,3273593,4245867,4645440,4641527,4775482,4805368,4797106,4683030,4709273,4763540,5000520,5321457
 "46000","South Dakota",4,CAINC45,240,"...","Value of inventory change ","Thousands of dollars",-6187,-22962,64519,4826,176750,-254049,-56427,-389781,446019,89335,242546,-369250,79560,282276,-148915,164340,-143663,127547,-180948,-723850,-110120,276873,-10871,252599,-102044,458931,-485264,706076,-208125,498924,-138378,27251,-93883,-572527,88911,552233,-70944,-545250,626987,275489,-195844,-633782,223424,-956815,1179091,64184,463474,-589486,-356663,32268,-1173761,286434,-366356,-851241
 "46000","South Dakota",4,CAINC45,250,"..."," Value of inventory change: livestock ","Thousands of dollars",-7903,25997,12968,13197,171845,-44548,-101219,-164485,67291,-55675,120654,34926,-101243,50613,75325,-37455,-224934,1409,8477,-80917,-70408,43537,115643,127392,-9355,97798,-49292,-54326,-48184,134099,-9289,125782,-84381,-196358,-45027,54479,72411,-78051,11220,-22450,133244,-152965,-46442,246794,-288866,94166,369113,-61101,207160,84505,-163937,125039,-274445,-380166
 "46000","South Dakota",4,CAINC45,260,"..."," Value of inventory change: crops ","Thousands of dollars",1716,-48959,51551,-8371,4905,-209501,44792,-225296,378728,145010,121892,-404176,180803,231663,-224240,201795,81271,126138,-189425,-642933,-39712,233336,-107803,89110,-83062,311040,-389992,717709,-175913,347681,-86277,-121641,11947,-422217,207073,465661,-53534,-504390,573162,285677,-393548,-529121,286613,-1228386,1424890,-63644,49565,-500396,-564754,-52930,-990909,142917,-106243,-481220
 "46000","South Dakota",4,CAINC45,265,"..."," Value of inventory change: materials and supplies ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-18711,36097,-9627,50093,-45980,42693,15972,17144,-42812,23110,-21449,46048,-73135,32093,-89821,37191,42605,12262,64460,48304,-16747,24777,43067,33662,44796,-27989,931,693,-18915,18478,14332,10145
 "46000","South Dakota",4,CAINC45,270,"...","Cash receipts and other income ","Thousands of dollars",1204528,1275645,1286902,1593505,2254118,2362790,2225236,2111432,1680270,2488139,2722880,3055026,3085218,2918609,3270139,3544315,3544416,3084755,3715104,4329519,3731154,3873983,4005839,3921545,4199201,3951155,4282278,4139149,4811422,4249151,4946242,5322315,5304494,4840314,5449434,5890385,6439670,6064290,7176551,9116878,8562583,9054371,10965668,12637162,11872538,12639522,10564814,10772208,10673464,10985862,11769749,12062370,14634210,17201073
 "46000","South Dakota",4,CAINC45,280,"..."," Less: Production expenses ","Thousands of dollars",869193,907371,972472,1051543,1396000,1455939,1483069,1484336,1712677,1995126,2351051,2628252,2777662,2904087,2955754,3068186,2836476,2591617,2722214,2941653,2927753,3139934,3124060,3089323,3172938,3167302,3211054,3286045,3535934,3589709,3677849,4016894,4100750,3868920,3994082,4507674,4808548,5018069,6093259,7077081,6594196,6687389,7189105,9189943,9656582,10357963,9428573,9194214,9445735,9325086,9160387,9483462,10175283,11507658
 "46000","South Dakota",4,CAINC45,290,"...","Equals: Realized net income ","Thousands of dollars",335335,368274,314430,541962,858118,906851,742167,627096,-32407,493013,371829,426774,307556,14522,314385,476129,707940,493138,992890,1387866,803401,734049,881779,832222,1026263,783853,1071224,853104,1275488,659442,1268393,1305421,1203744,971394,1455352,1382711,1631122,1046221,1083292,2039797,1968387,2366982,3776563,3447219,2215956,2281559,1136241,1577994,1227729,1660776,2609362,2578908,4458927,5693415
 "46000","South Dakota",4,CAINC45,300,"..."," Plus: Value of inventory change ","Thousands of dollars",-6187,-22962,64519,4826,176750,-254049,-56427,-389781,446019,89335,242546,-369250,79560,282276,-148915,164340,-143663,127547,-180948,-723850,-110120,276873,-10871,252599,-102044,458931,-485264,706076,-208125,498924,-138378,27251,-93883,-572527,88911,552233,-70944,-545250,626987,275489,-195844,-633782,223424,-956815,1179091,64184,463474,-589486,-356663,32268,-1173761,286434,-366356,-851241
 "46000","South Dakota",4,CAINC45,310,"...","Equals: Net income including corporate farms ","Thousands of dollars",329148,345312,378949,546788,1034868,652802,685740,237315,413612,582348,614375,57524,387116,296798,165470,640469,564277,620685,811942,664016,693281,1010922,870908,1084821,924219,1242784,585960,1559180,1067363,1158366,1130015,1332672,1109861,398867,1544263,1934944,1560178,500971,1710279,2315286,1772543,1733200,3999987,2490404,3395047,2345743,1599715,988508,871066,1693044,1435601,2865342,4092571,4842174
 "46000","South Dakota",4,CAINC45,320,"..."," Less: Net income of corporate farms ","Thousands of dollars",5286,5987,8486,17214,53276,21009,31892,9246,19679,37417,40287,1005,22074,8721,-7926,34162,36209,36290,49228,34251,54812,82062,60170,91804,64487,130230,43116,199576,131942,117354,84817,123709,108604,38865,174803,257470,175075,52466,213618,296527,179000,205102,539183,299616,301293,186294,51152,61966,58929,268892,160558,366513,633228,814764
 "46000","South Dakota",4,CAINC45,330,"..."," Plus: Statistical adjustment ","Thousands of dollars",9,7,7,9,11,5,0,-5,-2,4,4,-2,9,-9,2,7,6,7,2,3,-8,1,6,8,6,-6,-9,4,8,-3,4,-9,-9,4,-4,-8,-9,1,-3,-3,-12,10,-10,6,-2,7,0,-6,-4,-7,8,11,-4,-10
 "46000","South Dakota",4,CAINC45,340,"...","Equals: Farm proprietors' income ","Thousands of dollars",323871,339332,370470,529583,981603,631798,653848,228064,393931,544935,574092,56517,365051,288068,173398,606314,528074,584402,762716,629768,638461,928861,810744,993025,859738,1112548,542835,1359608,935429,1041009,1045202,1208954,1001248,360006,1369456,1677466,1385094,448506,1496658,2018756,1593531,1528108,3460794,2190794,3093752,2159456,1548563,926536,812133,1424145,1275051,2498840,3459339,4027400
 "46000","South Dakota",4,CAINC45,350,"..."," Plus: Farm wages and salaries ","Thousands of dollars",32170,32537,31783,33017,42740,53251,50016,45434,46730,66829,72817,75490,74631,80060,77056,76746,77580,72562,73097,77329,76468,83205,74626,72065,74782,87087,86580,91852,99523,114305,107824,120912,136658,126088,102766,150190,149682,149584,220390,239702,181234,179869,196826,300235,245261,255068,165055,176559,226971,200643,256402,260744,238807,269331
 "46000","South Dakota",4,CAINC45,360,"..."," Plus: Farm supplements to wages and salaries ","Thousands of dollars",1283,1324,1419,1561,2256,2740,3291,3814,4128,4559,4973,4531,4568,5263,5017,5793,6304,5907,7141,7450,8902,9315,8686,8883,10527,11230,10457,10396,10786,12116,12168,12475,15339,14815,10539,16605,17577,13389,23319,29573,17048,22446,22096,33404,42232,38224,21780,27007,30808,28835,29347,39345,29727,51145
 "46000","South Dakota",4,CAINC45,370,"...","Equals: Farm earnings ","Thousands of dollars",357324,373193,403672,564161,1026599,687789,707155,277312,444789,616323,651882,136538,444250,373391,255471,688853,611958,662871,842954,714547,723831,1021381,894056,1073973,945047,1210865,639872,1461856,1045738,1167430,1165194,1342341,1153245,500909,1482761,1844261,1552353,611479,1740367,2288031,1791813,1730423,3679716,2524433,3381245,2452748,1735398,1130102,1069912,1653623,1560800,2798929,3727873,4347876
 "46003","Aurora, SD",4,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",14113,14598,15294,18855,26229,28917,25738,25277,20154,27576,31071,31600,35644,32953,33409,37408,37538,30440,37813,44608,38927,45008,45479,47158,47202,45033,44567,53393,63653,50766,54985,61674,60676,55716,70985,81549,73777,72809,101118,122406,116053,116517,139283,130752,133725,147159,126948,129949,129375,131715,127706,128261,169479,200410
 "46003","Aurora, SD",4,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",12814,12818,13827,16504,21583,22233,20954,23311,17841,23874,27290,29194,29594,27320,27095,29542,29903,25329,30929,35332,32505,38013,37930,35738,38042,32392,33908,35445,37306,32448,35688,40035,43963,42443,44548,51441,52243,53510,55973,53220,42082,49622,51738,54382,61868,74448,64314,60411,66466,69364,71306,68422,83264,92573
 "46003","Aurora, SD",4,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",1299,1780,1467,2351,4646,6684,4784,1966,2313,3702,3781,2406,6050,5633,6314,7866,7635,5111,6884,9276,6422,6995,7549,11420,9160,12641,10659,17948,26347,18318,19297,21639,16713,13273,26437,30108,21534,19299,45145,69186,73971,66895,87545,76370,71857,72711,62634,69538,62909,62351,56400,59839,86215,107837
 "46003","Aurora, SD",4,CAINC45,120,"...","Other income ","Thousands of dollars",1205,1085,978,1383,1053,938,992,1875,1311,1261,1078,2335,1536,2130,3514,2383,3353,5148,6516,6307,4640,4425,3568,3661,5022,4051,3885,4199,4489,6932,13064,11789,12508,8556,13388,9700,12195,9750,8426,13968,10675,13507,15655,32461,18340,25102,24294,23723,19774,17003,35311,34452,26766,36492
 "46003","Aurora, SD",4,CAINC45,130,"..."," Government payments ","Thousands of dollars",934,810,685,1060,704,544,591,1396,817,704,487,1748,941,638,2067,1139,1647,3579,5243,4666,3080,3140,2574,2670,3767,2663,2205,2261,2548,4134,9945,8330,8809,4128,9045,4378,8191,4309,2907,5241,2502,3940,2820,2717,2176,3724,5885,6324,6109,7122,8780,20405,11235,10283
 "46003","Aurora, SD",4,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",271,275,293,323,349,394,401,479,494,557,591,587,595,1492,1447,1244,1706,1569,1273,1641,1560,1285,994,991,1255,1388,1680,1938,1941,2798,3119,3459,3699,4428,4343,5322,4004,5441,5519,8727,8173,9567,12835,29744,16164,21378,18409,17399,13665,9881,26531,14047,15531,26209
 "46003","Aurora, SD",4,CAINC45,150,"...","Production expenses ","Thousands of dollars",11065,11654,12563,13562,18147,19003,19100,18718,21562,24793,29311,33243,34801,36231,37686,37713,34669,31480,34809,39182,37476,41376,40196,38822,41459,43212,45297,48374,53941,53462,53181,56253,56972,53090,56732,66609,71684,77732,97069,104272,95771,94931,100094,127844,138031,151889,139838,137423,146449,144664,142202,148022,159291,180720
 "46003","Aurora, SD",4,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",2203,2263,2215,2224,3657,3976,3133,3267,2954,2638,3340,3879,3649,3694,4438,4158,3826,3715,4370,5721,5878,6311,6188,6649,6920,7103,6828,7147,8015,8401,8429,7654,8497,8268,6813,8364,6913,8980,11817,10534,11313,8908,8057,10448,12448,16137,12035,13331,16165,14241,15704,18090,17551,29942
 "46003","Aurora, SD",4,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",2276,2435,2754,3132,4392,3224,2897,3004,3415,3928,4860,4868,4182,4130,4763,5202,5251,4773,6704,7704,6719,8519,8558,7795,7619,6203,6074,5537,6846,6524,7387,9813,10369,9481,10727,12155,12848,12567,12930,11888,10604,11679,12212,14347,15225,22130,16602,13518,21501,22808,21192,22649,27458,24843
 "46003","Aurora, SD",4,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",231,227,245,219,330,440,467,499,735,660,724,802,832,764,690,880,846,896,950,1173,1140,1148,1186,1098,1322,1579,1750,2227,2485,2668,2742,3044,3261,3469,3562,4044,4463,4700,5773,7949,7345,7775,8830,11944,11816,12840,10615,10531,9328,9146,7969,9056,9237,9418
 "46003","Aurora, SD",4,CAINC45,190,"..."," Fertilizer and lime (incl. ag. chemicals 1978-fwd.) ","Thousands of dollars",198,240,282,301,418,645,676,737,637,799,853,966,1005,855,854,1168,1151,1389,1618,1948,2158,2494,2705,2840,3199,3726,4395,5083,5836,5695,5253,5738,5877,5492,6069,7308,7920,8039,11912,15938,12992,12731,15095,20118,20039,22153,21284,20582,18860,19776,17930,18394,22119,25926
 "46003","Aurora, SD",4,CAINC45,200,"..."," Petroleum products purchased ","Thousands of dollars",620,598,626,613,692,1018,1162,1298,1324,1318,1786,2712,3047,2899,2755,2749,2441,2027,1872,1858,1711,2108,1932,1805,1777,1823,1922,2245,2311,1976,1777,2368,2168,1879,2073,2457,3065,3068,3923,5427,4274,4863,6169,6807,8593,6749,5519,4654,4484,4902,4262,4538,4597,6003
 "46003","Aurora, SD",4,CAINC45,210,"..."," Hired farm labor expenses 2/","Thousands of dollars",540,559,617,643,810,937,943,862,874,990,1142,1137,1171,1304,1363,1447,1439,1340,1363,1611,1688,1893,1789,1779,2097,2443,2607,2516,2635,2797,2713,2782,2754,2413,2287,3324,3402,3571,5751,5210,4363,3760,3912,5691,4325,5514,4675,4468,5120,4488,5454,4801,4329,5839
 "46003","Aurora, SD",4,CAINC45,220,"..."," All other production expenses 3/","Thousands of dollars",4997,5332,5824,6430,7848,8763,9822,9051,11623,14460,16606,18879,20915,22585,22823,22109,19715,17340,17932,19167,18182,18903,17838,16856,18525,20335,21721,23619,25813,25401,24880,24854,24046,22088,25201,28957,33073,36807,44963,47326,44880,45215,45819,58489,65585,66366,69108,70339,70991,69303,69691,70494,74000,78749
 "46003","Aurora, SD",4,CAINC45,240,"...","Value of inventory change ","Thousands of dollars",-135,275,250,65,2540,-1381,-1551,-4265,6613,1250,1900,-1921,-267,5503,-3441,2151,-2273,1236,-725,-9481,-1732,3070,828,3894,-1860,6200,-4129,9998,-2878,6973,-2267,1228,-1092,-6119,1300,6900,-1062,-5407,8105,4738,-3613,-7584,2912,-11582,12862,1937,6285,-7759,-3965,955,-15891,3882,-5255,-11652
 "46003","Aurora, SD",4,CAINC45,250,"..."," Value of inventory change: livestock ","Thousands of dollars",-147,609,-90,123,2508,328,-1850,-2414,1036,-852,1348,644,-1571,629,1205,-636,-3243,-47,217,-1056,-1096,648,1794,1796,-169,1355,-738,-838,-553,1867,-216,1782,-1108,-3161,-328,793,1020,-1148,125,-557,1676,-1946,-685,3862,-4111,1336,4920,-617,2969,1189,-2354,1758,-4374,-5441
 "46003","Aurora, SD",4,CAINC45,260,"..."," Value of inventory change: crops ","Thousands of dollars",12,-334,340,-58,32,-1709,299,-1851,5577,2102,552,-2565,1304,4874,-4646,2787,970,1283,-942,-8425,-636,2422,-643,1446,-1511,3881,-2482,9971,-2656,4762,-1220,-988,407,-3774,2888,5567,-600,-4864,7302,5104,-6274,-6364,3845,-15807,16335,98,688,-6715,-6948,-245,-13245,1839,-1102,-6368
 "46003","Aurora, SD",4,CAINC45,265,"..."," Value of inventory change: materials and supplies ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-323,652,-180,964,-909,865,331,344,-831,434,-391,816,-1260,540,-1482,605,678,191,985,726,-248,363,638,503,677,-427,14,11,-292,285,221,157
