GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "47000","Tennessee",5,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",722671,773313,795533,888020,1235939,1083993,1175262,1356633,1456326,1673704,1883356,1922584,1959004,1963444,1882316,2105579,1907034,1811013,1996361,1940357,1999717,2058665,1896779,2106352,2213914,2234923,2255975,2391253,2293838,2283805,2072838,2130450,2330181,2163046,2672221,2780496,2736476,2653267,3041871,2918782,3046021,3188463,3399242,3849858,4209310,4440867,3710175,3382494,3684943,3643270,3574571,3817593,4591790,5418058
 "47000","Tennessee",5,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",475387,492800,473284,568708,729599,526321,668440,760452,760419,973133,1057023,977508,902777,961981,958405,1098461,1028105,1051646,1106667,1064496,1085280,1088506,1065540,1063011,1096033,1057004,1000621,1033623,1106802,1117769,1087094,1098857,1258301,1036020,1219377,1454762,1437092,1345245,1570707,1443184,1242353,1442242,1518060,1624928,1667825,1990761,1614681,1394091,1545708,1558469,1456092,1407136,1753586,2329347
 "47000","Tennessee",5,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",247284,280513,322249,319312,506340,557672,506822,596181,695907,700571,826333,945076,1056227,1001463,923911,1007118,878929,759367,889694,875861,914437,970159,831239,1043341,1117881,1177919,1255354,1357630,1187036,1166036,985744,1031593,1071880,1127026,1452844,1325734,1299384,1308022,1471164,1475598,1803668,1746221,1881182,2224930,2541485,2450106,2095494,1988403,2139235,2084801,2118479,2410457,2838204,3088711
 "47000","Tennessee",5,CAINC45,120,"...","Other income ","Thousands of dollars",117403,114954,91338,105236,96200,62079,73382,79701,82075,64836,80290,127477,125969,137888,191707,210249,198481,239493,332229,341046,346987,210481,190255,241309,279047,213952,181251,220241,208608,300269,395259,477809,458477,407989,375172,382692,697966,522555,566189,547142,581031,488796,439500,631023,570330,444241,360182,388296,446238,420262,700760,871304,534529,527884
 "47000","Tennessee",5,CAINC45,130,"..."," Government payments ","Thousands of dollars",73724,70985,49465,57753,41345,8979,16601,11392,12370,15464,8432,18681,20674,28078,65813,76561,61739,98431,156745,140388,141049,91029,70331,115866,160624,95584,47405,79813,76201,132890,227205,300800,317681,200336,191525,159377,509413,326264,306746,224023,261447,153309,140243,176238,140661,107976,54298,98741,131578,126534,308260,536104,292370,96199
 "47000","Tennessee",5,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",43679,43969,41873,47483,54855,53100,56781,68309,69705,49372,71858,108796,105295,109810,125894,133688,136742,141062,175484,200658,205938,119452,119924,125443,118423,118368,133846,140428,132407,167379,168054,177009,140796,207653,183647,223315,188553,196291,259443,323119,319584,335487,299257,454785,429669,336265,305884,289555,314660,293728,392500,335200,242159,431685
 "47000","Tennessee",5,CAINC45,150,"...","Production expenses ","Thousands of dollars",631522,672361,704372,747000,905747,1012597,1061506,1205304,1292186,1458504,1699494,1860156,1975624,2063539,2044594,2097704,1935849,1818745,2013224,2012380,1943774,1897564,1882264,1912111,2006493,1995825,2147044,2177194,2294776,2456300,2498703,2502024,2540055,2742017,2954745,3082629,3009937,3243199,3550257,3615819,3449008,3495008,3686763,3854738,3919859,4296729,3951997,3925880,4217280,4399906,4188531,4535244,4486364,5453124
 "47000","Tennessee",5,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",107030,123098,116810,126615,197259,211317,195078,230552,211274,216573,253460,261436,253948,228199,255147,236519,218133,221092,217074,234187,225900,188224,158445,177471,183894,206017,224186,253879,265955,297570,284088,281402,281755,341418,356251,363500,299304,325062,396040,493558,427883,489578,527391,516545,560320,580591,576079,524425,517196,511936,488268,538234,513689,499664
 "47000","Tennessee",5,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",76713,78314,74381,88780,100995,68697,68238,89386,94800,129141,149488,125122,102170,127847,122668,141765,142306,149108,182820,146628,87902,114526,140229,153877,176321,149643,134938,110458,148848,153704,166940,193964,196490,175145,198486,230551,225878,231444,213700,187336,196484,184743,198995,283304,233985,333735,194053,219616,261105,317733,355045,396654,391004,338355
 "47000","Tennessee",5,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",13854,13697,17491,17699,29801,31260,34102,33826,39575,37917,40656,43792,45250,40459,35287,45638,43293,45268,47455,57038,59552,58933,64216,55554,57275,54883,64382,66331,69278,79486,88394,88586,95653,143676,159622,152052,143563,154673,202037,219960,208554,203666,213442,252708,262427,282585,265667,296446,312048,296445,254319,285524,238716,429904
 "47000","Tennessee",5,CAINC45,190,"..."," Fertilizer and lime (incl. ag. chemicals 1978-fwd.) ","Thousands of dollars",56090,53848,58650,62935,76005,115320,122785,123068,137958,153371,171142,202441,231888,198788,183307,201052,183352,162624,178500,192994,201189,202029,210243,214982,224547,216705,248722,261852,257501,275350,289422,276423,282535,287124,282191,308543,324669,354595,395465,476670,423518,439615,493087,561559,580831,612367,517302,505746,515715,596243,531800,614364,666674,870078
 "47000","Tennessee",5,CAINC45,200,"..."," Petroleum products purchased ","Thousands of dollars",29228,30235,30307,29843,32658,45978,47232,55519,60221,62868,77017,107815,117898,106143,98839,98111,85797,70179,65023,61533,60785,72285,69570,67844,68391,70693,76038,75912,80190,80147,83375,104921,99452,108191,97273,117767,130879,147146,177112,197303,158596,166215,193683,203137,223928,227038,170598,143645,181026,178397,176058,161775,181874,267187
 "47000","Tennessee",5,CAINC45,210,"..."," Hired farm labor expenses 2/","Thousands of dollars",66144,70113,71149,76177,83013,95960,97489,101835,121401,116196,129341,132362,131703,145011,141422,149153,152769,138932,143731,156043,170015,190675,185812,180146,183475,186059,195863,195388,200866,216336,226303,211034,212821,258615,283469,291557,244371,270591,317156,270646,276444,250160,230414,284052,316926,318809,283527,295674,314962,295033,253214,272096,266867,376312
 "47000","Tennessee",5,CAINC45,220,"..."," All other production expenses 3/","Thousands of dollars",282463,303056,335584,344951,386016,444065,496582,571118,626957,742438,878390,987188,1092767,1217092,1207924,1225466,1110199,1031542,1178621,1163957,1138431,1070892,1053749,1062237,1112590,1111825,1202915,1213374,1272138,1353707,1360181,1345694,1371349,1427848,1577453,1618659,1641273,1759688,1848747,1770346,1757529,1761031,1829751,1753433,1741442,1941604,1944771,1940328,2115228,2204119,2129827,2266597,2227540,2671624
 "47000","Tennessee",5,CAINC45,240,"...","Value of inventory change ","Thousands of dollars",-213,-4166,28028,21944,11085,109971,-10375,64304,-40942,-48196,-19047,-101524,150081,143646,-204206,87486,59847,-91148,-107046,14351,-66741,-53089,190397,131434,-7322,110289,25314,-153956,49949,-74090,-88788,93180,69493,50850,-113528,104732,-24154,153017,-459426,171837,-65861,-279106,219823,-519999,42652,-274531,17600,-136126,-145683,-229041,-214606,-458640,-152449,-498393
 "47000","Tennessee",5,CAINC45,250,"..."," Value of inventory change: livestock ","Thousands of dollars",144,12766,17271,3073,35208,117449,-26780,-10278,-44289,-83119,-15936,4840,38159,50102,37325,-58778,-23214,-46356,-35810,-12591,-32226,-12016,25699,15338,102767,31341,42811,-104749,-62055,-40823,-18492,10758,17910,41343,-34556,-27351,52399,56713,-158802,-80461,38943,-36762,-17574,-133631,-67972,-43528,146133,1958,2880,-29226,8629,-9622,-26592,-62915
 "47000","Tennessee",5,CAINC45,260,"..."," Value of inventory change: crops ","Thousands of dollars",-357,-16932,10757,18871,-24123,-7478,16405,74582,3347,34923,-3111,-106364,111922,93544,-241531,146264,83061,-44792,-71236,26942,-34515,-41073,164965,104264,-104694,66898,2551,-60359,107218,-38405,-57467,75497,58010,-4291,-63058,122467,-64640,86171,-318390,257972,-104642,-243035,242415,-393792,112701,-241089,-139970,-124083,-149394,-203404,-212484,-459647,-144460,-442564
 "47000","Tennessee",5,CAINC45,265,"..."," Value of inventory change: materials and supplies ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-267,11832,-5395,12050,-20048,11152,4786,5138,-12829,6925,-6427,13798,-15914,9616,-11913,10133,17766,-5674,-162,691,-5018,7424,-2077,10086,11437,-14001,831,3589,-10751,10629,18603,7086
 "47000","Tennessee",5,CAINC45,270,"...","Cash receipts and other income ","Thousands of dollars",840074,888267,886871,993256,1332139,1146072,1248644,1436334,1538401,1738540,1963646,2050061,2084973,2101332,2074023,2315828,2105515,2050506,2328590,2281403,2346704,2269146,2087034,2347661,2492961,2448875,2437226,2611494,2502446,2584074,2468097,2608259,2788658,2571035,3047393,3163188,3434442,3175822,3608060,3465924,3627052,3677259,3838742,4480881,4779640,4885108,4070357,3770790,4131181,4063532,4275331,4688897,5126319,5945942
