GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "49000","Utah",7,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",235284,255242,259469,285510,385423,357318,361998,400044,396178,502987,571130,574574,593734,581962,618074,635081,586745,605121,628220,778645,801983,799184,776411,805400,876410,865349,841552,888584,978913,999901,1002222,1087643,1198697,1158077,1241814,1372043,1430375,1268508,1408093,1469430,1145675,1401822,1725238,1840637,2052208,2470602,2019648,1707878,1856100,1751808,1885453,1866066,2076257,2876382
 "49000","Utah",7,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",193738,208218,213647,239053,307033,256076,268571,299638,300993,399832,443943,442688,460189,451825,477347,500603,448344,476792,493498,595371,611825,618522,595690,605251,647802,624318,601630,644018,710796,743023,757850,840261,945721,905246,973065,1077130,1123835,910596,976952,1017237,819892,1037332,1225085,1263521,1497503,1928420,1549147,1266807,1397896,1266030,1340530,1325758,1449081,2116553
 "49000","Utah",7,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",41546,47024,45822,46457,78390,101242,93427,100406,95185,103155,127187,131886,133545,130137,140727,134478,138401,128329,134722,183274,190158,180662,180721,200149,228608,241031,239922,244566,268117,256878,244372,247382,252976,252831,268749,294913,306540,357912,431141,452193,325783,364490,500153,577116,554705,542182,470501,441071,458204,485778,544923,540308,627176,759829
 "49000","Utah",7,CAINC45,120,"...","Other income ","Thousands of dollars",18262,18161,17057,21508,17217,12367,12372,18319,29886,30572,21455,20026,23150,27546,35961,47910,45831,57729,67517,66226,63954,68111,66935,76437,79894,71483,68690,67482,61818,86855,96562,85101,93398,126797,110160,89938,122910,113591,111381,106396,121471,94342,171750,133851,157341,201539,140802,141131,150777,160540,128440,371135,290498,278286
 "49000","Utah",7,CAINC45,130,"..."," Government payments ","Thousands of dollars",11810,11144,10301,13861,8009,2946,3299,5611,18565,20245,5232,5090,7817,9179,18594,28026,23554,35973,44513,38378,34536,34897,33197,35972,36614,32055,25045,21478,20094,25149,30521,36252,39754,54141,56432,36798,54797,40184,37036,47454,43962,39221,35057,39467,37296,70180,44237,36110,41268,57798,55137,223606,152634,123441
 "49000","Utah",7,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",6452,7017,6756,7647,9208,9421,9073,12708,11321,10327,16223,14936,15333,18367,17367,19884,22277,21756,23004,27848,29418,33214,33738,40465,43280,39428,43645,46004,41724,61706,66041,48849,53644,72656,53728,53140,68113,73407,74345,58942,77509,55121,136693,94384,120045,131359,96565,105021,109509,102742,73303,147529,137864,154845
 "49000","Utah",7,CAINC45,150,"...","Production expenses ","Thousands of dollars",203952,213745,215928,224336,275643,307294,325634,358846,387007,488704,561606,608372,655361,635726,652115,655127,616296,612148,621369,659029,661222,673885,646939,662435,699914,803127,827544,867551,936466,931152,960562,1061287,1064426,1172598,1228641,1238393,1353834,1428066,1531662,1518895,1489394,1432893,1655832,1713674,1861822,2105078,1808535,1646728,1775205,1718586,1727348,1900125,2011871,2244393
 "49000","Utah",7,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",39544,46119,45585,44801,67717,74971,68627,75161,73095,102858,116700,131214,140924,108719,119864,105933,96207,99465,96790,105315,100199,96559,83769,88005,87516,108466,129171,148059,170863,150043,145253,167738,158441,233409,242765,257989,267261,292963,353941,349989,349989,331940,480254,444181,442644,520614,445718,360417,336527,298915,372819,385356,417689,626864
 "49000","Utah",7,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",43778,46145,43476,47738,60872,50449,52130,54257,56799,75247,90055,84025,84467,80313,65306,81140,63617,72767,84657,104990,99841,107210,99102,103978,102830,94377,78363,77311,82463,90304,120641,139485,169898,158685,182534,197102,183618,170813,132320,108304,76522,67632,73187,114862,210292,297822,213107,101394,108183,122770,151219,123918,148045,165370
 "49000","Utah",7,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",2283,2120,2325,2299,3526,5024,4724,5158,6902,7169,7398,7648,7550,6440,5632,7304,6946,7280,7649,9516,10291,10557,11931,10887,12396,15440,15625,18155,20973,19093,20181,19109,17817,24392,23714,21353,27703,27901,24772,28469,31427,32166,35494,44599,57341,52810,36529,41626,46340,57925,44168,51409,44530,43444
