GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "56000","Wyoming",7,CAINC45,10,"...","Cash receipts from marketings (thousands of dollars) ","Thousands of dollars",251321,255131,287340,368964,460449,391799,393496,398684,458547,551219,727709,682913,625924,566095,628047,623234,616256,598333,645797,753216,792585,795701,906689,852285,891255,839674,780411,724307,876547,873773,884035,1003618,1066575,944387,968370,1131816,1009825,1042927,1034526,1054580,1118305,1183846,1503239,1689243,1721093,1835459,1617933,1402430,1454341,1547054,1527038,1523623,1736058,1960949
 "56000","Wyoming",7,CAINC45,20,"..."," Cash receipts: Livestock and products ","Thousands of dollars",215766,216391,245660,313644,373095,271834,291375,310674,381828,468774,621926,539194,486913,453654,510788,494392,483118,468460,524667,595515,626673,632954,719181,653994,710135,679899,598104,535184,685784,698591,707592,842493,907839,809150,818464,981849,858848,876638,855774,761762,797979,902445,1101080,1217946,1263653,1432404,1273862,1065118,1111923,1151309,1105777,1098629,1278304,1424137
 "56000","Wyoming",7,CAINC45,60,"..."," Cash receipts: Crops ","Thousands of dollars",35555,38740,41680,55320,87354,119965,102121,88010,76719,82445,105783,143719,139011,112441,117259,128842,133138,129873,121130,157701,165912,162747,187508,198291,181120,159775,182307,189123,190763,175182,176443,161125,158736,135237,149906,149967,150977,166289,178752,292818,320326,281401,402159,471297,457440,403055,344071,337312,342418,395745,421261,424994,457754,536812
 "56000","Wyoming",7,CAINC45,120,"...","Other income ","Thousands of dollars",20425,21559,21752,28656,23735,15171,18540,18628,20368,29148,19996,19223,23037,25270,33337,40439,37424,44873,61878,72681,66139,61476,68033,80350,91584,81578,80330,76771,69403,103690,121735,95578,113145,155492,116610,98782,214896,136121,164421,158782,157807,155362,303776,170159,209767,301463,170148,172374,199690,152474,129338,365323,301877,285277
 "56000","Wyoming",7,CAINC45,130,"..."," Government payments ","Thousands of dollars",14349,15185,14949,20595,12728,4784,5333,7113,10526,17305,8283,7323,10702,10477,19301,25251,20127,29328,35976,37710,34142,31283,33241,36663,43213,38173,31432,24524,22390,28710,40203,37282,50272,66262,51233,36338,131248,37299,34730,45670,33918,42662,41292,42573,43800,139108,51040,34121,42394,30830,38145,207782,167190,134483
 "56000","Wyoming",7,CAINC45,140,"..."," Imputed and miscellaneous income received 1/","Thousands of dollars",6076,6374,6803,8061,11007,10387,13207,11515,9842,11843,11713,11900,12335,14793,14036,15188,17297,15545,25902,34971,31997,30193,34792,43687,48371,43405,48898,52247,47013,74980,81532,58296,62873,89230,65377,62444,83648,98822,129691,113112,123889,112700,262484,127586,165967,162355,119108,138253,157296,121644,91193,157541,134687,150794
 "56000","Wyoming",7,CAINC45,150,"...","Production expenses ","Thousands of dollars",232028,239125,258794,294113,345718,351916,369897,424233,428991,559320,675456,681529,705238,698074,731995,732055,697926,652474,696988,744656,740150,736249,856746,739008,807391,818376,840351,836481,928337,867833,905723,996549,964717,968745,1056894,1056230,1138651,1179721,1223059,1283426,1320633,1329557,1525013,1757332,1839690,1963086,1664993,1589930,1628709,1594148,1550205,1737902,1772569,1893313
 "56000","Wyoming",7,CAINC45,160,"..."," Feed purchased ","Thousands of dollars",23242,25244,27423,32373,45865,43659,38917,45398,44480,53588,62774,64527,61400,65166,66024,57932,54035,53607,58510,69596,63283,49125,50261,58232,57487,65229,82813,92430,99007,88070,80911,93264,91226,114822,111383,119575,111507,128315,137156,135625,135625,128631,186104,232849,232043,272917,233655,188938,161919,143822,179380,185413,200970,301613
 "56000","Wyoming",7,CAINC45,170,"..."," Livestock purchased ","Thousands of dollars",62774,62126,70363,88984,103342,73507,70510,97432,86545,158512,206875,162910,143558,144232,164135,177941,176816,157264,193258,217813,208363,207794,320254,212437,255756,192090,167851,150820,195623,167208,201725,246029,238455,199126,262179,283062,283086,249917,215888,189806,228981,240921,334861,316034,346178,350100,244567,182505,243245,277912,260145,276486,266992,282652
 "56000","Wyoming",7,CAINC45,180,"..."," Seed purchased ","Thousands of dollars",1688,1657,1761,1943,2698,3489,3175,3942,3541,5365,5931,6617,7087,6584,5615,7107,6602,6764,6953,8594,9233,9407,10560,9569,9857,11135,10240,10827,11394,10237,10665,9939,9106,12225,11623,10234,12981,12779,11088,12742,14066,14397,15887,28882,37134,34200,23656,26956,29567,36959,28181,32801,28412,27719
