GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "01000","Alabama",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",9737715,10628318,11699341,12999098,14638867,16241055,18100116,20324056,22394893,25339922,28150828,31044372,34454169,36384630,38978846,42838000,46085821,48777214,51514370,55527314,60350959,64234198,67982455,73004434,76346081,80786743,85393841,89218035,93851877,99772880,103204055,108002948,111894150,115007661,120241006,128606270,136087503,144719039,151942557,157780330,155666922,162068839,167882194,172101458,173720680,179487109,187474744,190871820,197963769,205674190,215165840,230872566,252791890,258362172
 "01000","Alabama",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",9459755,10379785,11422233,12653124,14106584,15904101,17691331,19852140,22018877,24838304,27637538,30840616,33972217,35978618,38690455,42361442,45624332,48324106,50979941,54731327,59417380,63393219,66866446,72008237,75336652,79726869,84614184,88309375,92906920,98707008,101967468,107051217,110514414,114031768,118942715,126813271,134421135,143717893,151131266,156937643,154764691,161305096,167512804,171424334,171757101,177968060,185944204,190034542,196712309,204671088,214406876,230566611,251373228,256682277
 "01000","Alabama",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",277960,248533,277108,345974,532283,336954,408785,471916,376016,501618,513290,203756,481952,406012,288391,476558,461489,453108,534429,795987,933579,840979,1116009,996197,1009429,1059874,779657,908660,944957,1065872,1236587,951731,1379736,975893,1298291,1792999,1666368,1001146,811291,842687,902231,763743,369390,677124,1963579,1519049,1530540,837278,1251460,1003102,758964,305955,1418662,1679895
 "01000","Alabama",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4787998,4812138,4839261,4864399,4886793,4908162,4930595,4952202,4976395,5003418,5031362,5049846,5074296
 "01000","Alabama",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2831,3081,3345,3672,4088,4477,4918,5438,5920,6609,7275,7959,8793,9269,9908,10840,11601,12220,12830,13800,14975,15860,16585,17574,18116,18963,19874,20599,21487,22651,23296,24258,25046,25671,26700,28385,29780,31264,32516,33441,32717,33849,34887,35564,35713,36729,38197,38712,39975,41330,43004,45887,50059,50916
 "01000","Alabama",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",8112293,8628530,9403095,10496269,11861577,12960825,14045483,15977583,17715705,20164933,22203571,23708925,25812609,26629404,28581996,31634478,34180201,36335700,38826596,41972545,44619334,47432666,50105140,53808914,56263471,59265224,61719606,64433868,67511279,72164908,75429135,77978535,80308883,82624721,85884349,91540120,96799376,102208900,105583340,106202564,104241969,107113941,109788306,112110406,115358203,118674266,122547294,124983437,129741033,135414877,140884484,144959649,155852509,166356184
 "01000","Alabama",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",550477,590084,654716,765219,983117,1136054,1221733,1422114,1596131,1840176,2102819,2277099,2643783,2782701,3052643,3427427,3739449,3972444,4194481,4668481,4970123,5365690,5681030,6061549,6419065,6848877,7217259,7463783,7830286,8228142,8592883,8886335,9189154,9452290,9794276,10294097,10951125,11659180,12221330,12606897,12336361,12714842,11650565,11889740,13675855,14068933,14541926,14816665,15394434,16253393,16862810,17508733,18630738,20188589
 "01000","Alabama",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",278249,299197,324778,375810,481602,556428,600020,690110,773441,884508,1015058,1111903,1301190,1377735,1515205,1668423,1872955,1958336,2086193,2343608,2543296,2734802,2911923,3093937,3281705,3516155,3739291,3864234,4057820,4251133,4466173,4612784,4806639,4976787,5143106,5439367,5816932,6306086,6637533,6860598,6728474,6810228,5570707,5723000,7419859,7698181,7956215,8207702,8577995,9146128,9423220,9825330,10413370,11419447
 "01000","Alabama",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",272228,290887,329938,389409,501515,579626,621713,732004,822690,955668,1087761,1165196,1342593,1404966,1537438,1759004,1866494,2014108,2108288,2324873,2426827,2630888,2769107,2967612,3137360,3332722,3477968,3599549,3772466,3977009,4126710,4273551,4382515,4475503,4651170,4854730,5134193,5353094,5583797,5746299,5607887,5904614,6079858,6166740,6255996,6370752,6585711,6608963,6816439,7107265,7439590,7683403,8217368,8769142
 "01000","Alabama",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",130257,127158,132789,164858,183031,194172,200130,214008,245830,265809,291448,323603,420457,443982,435549,464684,473175,502457,513257,516601,538759,532273,562809,613579,664946,757849,839326,845239,948517,1064569,1131213,1256892,1315123,1373614,1454155,1488148,1554237,1611063,1726486,1834722,1803739,1887407,2032615,2292465,2375081,2366424,2352536,2437951,2392420,2536213,2639857,2618086,2836284,3165916
