GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "08000","Colorado",7,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",8438834,9540190,10759666,12176083,13923113,15609172,17249727,18981259,21174240,24413528,27973924,32052580,36842992,40468901,43691655,47578744,50442397,52397050,54179277,57482944,61922088,65631642,69632902,75511809,81698776,87838892,95469000,102974939,110721540,122577930,131712758,146560771,154066732,154492308,157405310,163568499,174247768,188197016,200611172,210065766,200170034,206053394,223873871,236032969,247816736,268453081,279696008,283678694,303366730,328112736,351373238,375157839,417967655,442213009
 "08000","Colorado",7,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",8190406,9254085,10461361,11846363,13487115,15078542,16790740,18651200,20914961,24211475,27763389,31769323,36544041,40291355,43338769,47161559,50055815,52007577,53711760,56915771,61313539,64933301,69008082,74848402,80900814,87278336,94948861,102325710,110070111,121791818,130805045,145806173,153018692,153803233,156683866,162646794,173164811,187418785,199550325,209212514,199450145,205080318,222586942,234825771,246495383,267063351,278101440,282397781,302417065,327221073,350297919,374318550,416624872,441679723
 "08000","Colorado",7,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",248428,286105,298305,329720,435998,530630,458987,330059,259279,202053,210535,283257,298951,177546,352886,417185,386582,389473,467517,567173,608549,698341,624820,663407,797962,560556,520139,649229,651429,786112,907713,754598,1048040,689075,721444,921705,1082957,778231,1060847,853252,719889,973076,1286929,1207198,1321353,1389730,1594568,1280913,949665,891663,1075319,839289,1342783,533286
 "08000","Colorado",7,CAINC4,20,"...","Population (persons) 3/","Number of persons",2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047005,5119188,5188703,5263512,5342996,5442196,5529161,5600169,5677250,5735934,5784865,5811297,5839926
 "08000","Colorado",7,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3896,4290,4671,5064,5579,6142,6670,7211,7854,8824,9818,11019,12372,13218,13943,15009,15720,16185,16617,17620,18903,19843,20558,21600,22608,23586,24948,26269,27554,29776,31167,33872,34812,34405,34757,35753,37619,39869,41760,42961,40258,40827,43732,45490,47082,50244,51394,51306,54171,57794,61258,64852,71923,75722
 "08000","Colorado",7,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",6705596,7472827,8448663,9673208,11120171,12350026,13367670,14819523,16644705,19339189,22343445,25235193,28734774,31244001,33340966,36496094,38559207,39981243,41412760,44020376,46582306,49719221,53107379,58235125,63306635,67714433,72615581,78531479,85205563,95221761,104750108,117250346,122914630,123170081,124753808,129772400,137463612,146424160,153495186,156950658,148344662,152004886,160960050,169705657,183164874,197626780,202604679,204024316,219576568,237094549,252862733,259750429,287172345,314516590
 "08000","Colorado",7,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",387394,427041,498874,606017,797652,905460,967164,1104660,1260596,1506688,1838849,2106381,2598275,2908114,3129876,3538765,3834565,4020794,4121254,4530295,4887616,5333818,5856413,6358540,6986715,7557400,8074506,8625617,9300157,9709966,10549121,11703526,12313813,12751739,12981943,13869965,14724035,15588510,16427521,17110598,16484335,16664254,15793410,16569795,19241517,20675684,21822137,22564085,23931787,25514129,26928527,27612277,29839784,33660003
 "08000","Colorado",7,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",195227,213470,246644,294096,388514,443429,471553,521613,595302,705238,870349,1008675,1256414,1410146,1494050,1659891,1854568,1955555,2012234,2221551,2421020,2630014,2895071,3132118,3422470,3723448,4019368,4309512,4656255,5089199,5541259,6136889,6454529,6455364,6543243,6891160,7299510,7834041,8368608,8747327,8525469,8592307,7081535,7424153,9943712,10644138,11240802,11672544,12491911,13556180,14317007,14762946,15983230,18158144
 "08000","Colorado",7,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",192167,213571,252230,311921,409138,462031,495611,583047,665294,801450,968500,1097706,1341861,1497968,1635826,1878874,1979997,2065239,2109020,2308744,2466596,2703804,2961342,3226422,3564245,3833952,4055138,4316105,4643902,4620767,5007862,5566637,5859284,6296375,6438700,6978805,7424525,7754469,8058913,8363271,7958866,8071947,8711875,9145642,9297805,10031546,10581335,10891541,11439876,11957949,12611520,12849331,13856554,15501859
 "08000","Colorado",7,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",1145,3213,3895,4523,3144,4225,8503,8518,11088,19277,13126,19901,3118,331,-2012,6910,15879,20607,31723,46251,62756,85636,96804,112039,124042,141938,163082,181705,205144,231023,260685,288140,308776,339390,363585,398419,429429,476006,505221,522946,563230,663121,826975,1027112,1183110,1231956,1231849,1203773,1319329,1345575,1386494,1378709,1552940,1626364
