GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "20000","Kansas",4,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",8194786,8892704,9654247,10763347,12266343,13261982,14487553,15746176,17182123,19014323,21715605,23879567,27038402,29313486,30554631,33489207,35247414,36949919,38509616,40671323,43063175,45745098,47367288,50913093,53268143,55684199,58056283,61821009,65703526,69711156,71968566,75870788,78490814,79285369,81768184,84076942,88783995,97838942,105082598,115298320,111558901,113842966,123198911,129849699,132518967,134773890,136189131,136753558,141311803,147407425,152926216,161704652,172070983,177474668
 "20000","Kansas",4,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",7731696,8288744,8950569,9802969,10883706,12205779,13687547,15170848,16693446,18738456,21019879,23788437,26703139,28745206,30178935,32747837,34446691,36021836,37347842,39541171,42244211,44374722,46343600,49516191,51936305,54266407,57278673,60328646,64299857,68421381,70584747,74876896,77350551,78814124,80141884,82537463,86841876,96722764,103475103,113268144,109594627,111332360,119571576,126838424,127651921,132064330,134500053,134633995,139978071,145761279,151341997,158904461,168511647,176631830
 "20000","Kansas",4,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",463090,603960,703678,960378,1382637,1056203,800006,575328,488677,275867,695726,91130,335263,568280,375696,741370,800723,928083,1161774,1130152,818964,1370376,1023688,1396902,1331838,1417792,777610,1492363,1403669,1289775,1383819,993892,1140263,471245,1626300,1539479,1942119,1116178,1607495,2030176,1964274,2510606,3627335,3011275,4867046,2709560,1689078,2119563,1333732,1646146,1584219,2800191,3559336,842838
 "20000","Kansas",4,CAINC4,20,"...","Population (persons) 3/","Number of persons",2236000,2247823,2246132,2255525,2264369,2267881,2278621,2298645,2317836,2332815,2347370,2369039,2384853,2401207,2415529,2424088,2427401,2432614,2445367,2461995,2472838,2481349,2498722,2532394,2556547,2580513,2601007,2614554,2635292,2660598,2678338,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858822,2872476,2891101,2901661,2911506,2922671,2927230,2927419,2931572,2933747,2937919,2937922,2937150
 "20000","Kansas",4,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3665,3956,4298,4772,5417,5848,6358,6850,7413,8151,9251,10080,11338,12208,12649,13815,14521,15189,15748,16520,17414,18436,18957,20105,20836,21579,22321,23645,24932,26201,26871,28166,29047,29218,30029,30748,32340,35411,37748,41060,39382,39822,42889,44914,45670,46290,46597,46718,48272,50283,52127,55041,58569,60424
 "20000","Kansas",4,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",6245198,6690128,7264204,8215074,9480311,10087948,10817483,11848311,12897552,14339974,16573515,17482872,19379585,20309881,21150620,23500357,24656942,26120784,27662642,29237025,30767702,32969627,34001290,36969895,38706944,40652949,41996385,45020069,48063718,51247463,53778182,56072632,58081418,58870743,60831869,62930696,66169020,71889012,76476357,82101198,79533495,81798298,87783520,92491937,97722251,97559328,99008728,98569520,101249379,105164549,109063326,111228501,116071277,124180903
 "20000","Kansas",4,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",421038,441788,491735,572827,733625,853150,936415,1068748,1175182,1373703,1614703,1756815,2055488,2180403,2287538,2567174,2732213,2885074,3002963,3317629,3509656,3886904,4118766,4382195,4591167,4896720,5091029,5327270,5697015,6068454,6343138,6655813,6869934,7046210,7212873,7594747,7943689,8409123,8807250,9211651,9007326,9242937,8525023,8825951,10224579,10608909,11024991,10909801,11216007,11748045,12238302,12617473,13419664,14709650
 "20000","Kansas",4,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",217145,227145,250661,289133,368112,424276,466730,516530,551695,642812,757972,839590,988170,1055777,1093055,1200684,1322763,1406784,1483771,1657341,1784396,1973096,2103642,2219658,2322646,2478055,2604182,2730178,2928821,3125673,3276392,3432380,3537223,3638273,3701133,3875680,4081724,4354159,4654325,4857097,4777808,4812097,3949569,4071897,5347109,5597378,5734603,5833388,6007440,6343986,6641929,6874246,7430368,8290482
 "20000","Kansas",4,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",203893,214643,241074,283694,365513,428874,469685,552218,623487,730891,856731,917225,1067318,1124626,1194483,1366490,1409450,1478290,1519192,1660288,1725260,1913808,2015124,2162537,2268521,2418665,2486847,2597092,2768194,2942781,3066746,3223433,3332711,3407937,3511740,3719067,3861965,4054964,4152925,4354554,4229518,4430840,4575454,4754054,4877470,5011531,5290388,5076413,5208567,5404059,5596373,5743227,5989296,6419168
 "20000","Kansas",4,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",444886,445092,438559,458231,471710,484894,499514,510336,553389,598600,641777,716073,742314,763615,741222,800279,852846,843387,914226,918086,974573,967794,946737,1026719,1115403,1065707,1157438,1146987,1044263,1064475,1018286,1121270,1133213,1199303,1170805,1119940,1261378,1369635,1256733,1414209,1694886,1675084,1239467,1641038,1370334,1188025,1155652,1274754,1540106,1550933,1661134,1546786,2062368,2397652
