GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "21000","Kentucky",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",9711706,10534849,11466051,12679771,14252540,16052187,17479191,19544359,21933925,24444005,27454302,29879523,33220541,35387079,36765030,41024190,42799341,44002089,46347070,50536886,54313733,57664576,60894857,65508425,68068630,71532496,74960257,79482505,84466334,89403051,93174966,100475073,103997797,106551862,109765865,116214070,121734486,128584095,134209937,140837674,138999735,144335559,151379896,156564902,157905375,164862106,172269382,175275581,180836063,186931085,195419696,211966801,232362631,234281888
 "21000","Kentucky",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",9285320,10143160,11060017,12174582,13675823,15389754,17000857,18992548,21256712,23845132,26781905,29324545,32287895,34493797,36541300,39912100,41931841,43362005,45624159,49767231,53182065,56552881,59782257,64214836,66966900,70378025,74265313,78355458,83337680,88403075,92405391,98995059,102929537,105892770,109081676,114986570,120201922,127335019,133418340,140516381,138350299,144013826,150549531,155663257,155261356,163170001,170897680,174429425,179505795,185977686,194142348,210938239,230372717,232315864
 "21000","Kentucky",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",426386,391689,406034,505189,576717,662433,478334,551811,677213,598873,672397,554978,932646,893282,223730,1112090,867500,640084,722911,769655,1131668,1111695,1112600,1293589,1101730,1154471,694944,1127047,1128654,999976,769575,1480014,1068260,659092,684189,1227500,1532564,1249076,791597,321293,649436,321733,830365,901645,2644019,1692105,1371702,846156,1330268,953399,1277348,1028562,1989914,1966024
 "21000","Kentucky",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4349138,4374212,4394010,4415821,4428679,4443606,4457599,4475723,4487233,4498141,4507445,4506589,4512310
 "21000","Kentucky",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3037,3261,3476,3801,4227,4698,5039,5536,6135,6769,7535,8154,9051,9607,9951,11101,11584,11932,12583,13733,14770,15610,16359,17397,17855,18584,19283,20279,21369,22433,23189,24815,25564,26053,26661,28030,29104,30476,31529,32830,32198,33187,34607,35631,35759,37226,38768,39321,40404,41658,43445,47026,51561,51921
 "21000","Kentucky",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",7921774,8450879,9180222,10214500,11544541,12867920,13589288,15371828,17430475,19546990,21839279,22749629,24858226,25688514,26293695,29863190,31124849,31876688,34206540,37605240,40081811,42389611,44288348,48270644,50386137,53110657,54927398,58007891,61686584,65425209,69459277,74352005,76453440,78523102,81581615,86805994,91211944,94922796,97722892,99794612,96512103,100659621,104936592,108328484,111269107,113919189,118463724,120008736,123663315,127920844,133891806,136111717,147740519,157881490
 "21000","Kentucky",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",509229,547013,614611,713437,918858,1060043,1122078,1290588,1451425,1685793,1944370,2058845,2391613,2525652,2653414,3000058,3217940,3452793,3681713,4098338,4407170,4818327,5093474,5519863,5885555,6331031,6634681,6898290,7298839,7747591,8257424,8524750,8743239,9006111,9255096,9646378,10124346,10696035,11178982,11654386,11525759,11842519,10947116,11286752,12896277,13454084,14040345,14370161,14756538,15295144,15818042,16313541,16995437,18315922
 "21000","Kentucky",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",250655,270359,299984,343841,437748,504943,538641,601307,672806,772229,896327,962457,1128063,1199840,1246146,1379999,1526825,1651523,1783448,2003969,2201674,2396554,2547387,2736519,2899614,3133811,3314639,3455821,3670677,3876479,4105370,4299045,4465680,4597355,4747028,4968516,5247397,5602712,5885306,6140781,6064310,6165898,5089454,5210929,6732754,7029882,7317735,7556371,7854061,8285268,8565901,8844005,9018740,9807911
 "21000","Kentucky",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",258574,276654,314627,369596,481110,555100,583437,689281,778619,913564,1048043,1096388,1263550,1325812,1407268,1620059,1691115,1801270,1898265,2094369,2205496,2421773,2546087,2783344,2985941,3197220,3320042,3442469,3628162,3871112,4152054,4225705,4277559,4408756,4508068,4677862,4876949,5093323,5293676,5513605,5461449,5676621,5857662,6075823,6163523,6424202,6722610,6813790,6902477,7009876,7252141,7469536,7976697,8508011
 "21000","Kentucky",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",162374,153178,96685,90372,44467,17042,10349,-17991,5511,28260,20782,51702,16067,10144,33254,2470,-4370,21423,4276,-6475,-42489,-31687,-37952,-254871,-245233,-328077,-330180,-314007,-315008,-187520,-271795,-294600,-443465,-506478,-732864,-924477,-1310258,-1355169,-1497840,-1789015,-1850355,-2136661,-2340812,-2394409,-2038005,-1977426,-2056592,-2013460,-2141080,-2406126,-2703907,-3089389,-3650130,-4007716
