GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "25000","Massachusetts",1,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",24041879,25961402,27741966,29977946,32574071,35182241,37801838,40688841,44297892,48938719,54486376,61411923,68412222,75002101,81459378,91789284,99275106,107091781,115602354,127633759,135075580,139212594,141495403,148383518,154231900,162007777,171515864,182243752,193168882,205509178,219633348,244147371,254058068,252959517,257917997,270865468,282138090,303265438,319406998,333450507,330773419,346269933,363076328,376591179,379250360,396488668,422547551,438598480,459778749,483954440,507712735,541420498,583363067,590400289
 "25000","Massachusetts",1,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",23976840,25893760,27679977,29916892,32505466,35115000,37734858,40614922,44221148,48838015,54398814,61308933,68298879,74872873,81297408,91609414,99117846,106919510,115452661,127465221,134927010,139064693,141328355,148217798,154073662,161864408,171376817,182084231,193007769,205408242,219530751,244022546,253955552,252836373,257795128,270727248,282020286,303143459,319287510,333271824,330622410,346117659,362921473,376376337,379052166,396336737,422421776,438479597,459660185,483842491,507549502,541277677,583242345,590255075
 "25000","Massachusetts",1,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",65039,67642,61989,61054,68605,67241,66980,73919,76744,100704,87562,102990,113343,129228,161970,179870,157260,172271,149693,168538,148570,147901,167048,165720,158238,143369,139047,159521,161113,100936,102597,124825,102516,123144,122869,138220,117804,121979,119488,178683,151009,152274,154855,214842,198194,151931,125775,118883,118564,111949,163233,142821,120722,145214
 "25000","Massachusetts",1,CAINC4,20,"...","Population (persons) 3/","Number of persons",5650000,5703706,5738589,5762122,5783809,5776992,5762138,5748868,5744097,5742923,5746188,5746075,5768685,5771222,5799405,5840774,5880734,5902677,5935205,5979983,6015478,6022639,6018470,6028709,6060569,6095241,6141445,6179756,6226058,6271838,6317345,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6569537,6629863,6692712,6756583,6819480,6865334,6908516,6958374,6994054,7016618,6995729,6989690,6981974
 "25000","Massachusetts",1,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4255,4552,4834,5203,5632,6090,6560,7078,7712,8522,9482,10688,11859,12996,14046,15715,16881,18143,19477,21343,22455,23115,23510,24613,25448,26579,27928,29490,31026,32767,34767,38381,39711,39419,40158,42242,44061,47311,49662,51546,50751,52708,54764,56269,56130,58141,61548,63487,66076,69195,72359,77393,83461,84561
 "25000","Massachusetts",1,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",19457648,20760957,21948430,23826454,26038552,27629787,28745602,31294939,34414258,38541578,43151861,47789391,52378299,56301250,62082041,70711393,77563517,84349923,92605000,102010113,106183300,107450489,107436080,113960272,118781496,124993808,131613305,140454985,150083813,160568424,175166721,196653749,203141126,201938218,204820532,218013872,224418919,237058583,248735374,254508139,252698874,267241166,276390014,284729559,291918987,302431545,320277495,331240759,348207342,366283050,387203721,391972102,422784131,445079998
 "25000","Massachusetts",1,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",1262442,1326803,1447544,1651342,2074659,2275270,2295487,2555938,2817424,3248074,3796032,4215003,4981239,5483837,6141234,7225044,8002230,8882894,9650681,10787273,11166070,11186434,11383673,11984709,12586234,13379471,14167745,14934511,15992078,17059783,18308472,20252907,20769057,20650090,20858021,22643269,23699821,24661990,25858197,26684662,26298643,26852386,25040899,25908752,30062670,31528324,32703548,33824525,35532014,37419024,39232500,39261337,43042075,45396837
 "25000","Massachusetts",1,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",590593,624933,680605,755108,947842,1050617,1064606,1149153,1255206,1424101,1684126,1905405,2282033,2533673,2799875,3201589,3687048,4156158,4578232,5160557,5473400,5518383,5682051,5957807,6252641,6663614,7121908,7518292,8087773,8654385,9336615,10311264,10555034,10593611,10730005,11297401,11857463,12471874,13202405,13673564,13440721,13684354,11221810,11590368,15480701,16331838,17196624,17817876,18736431,19770321,20662990,20723309,22509412,24592689
 "25000","Massachusetts",1,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",671849,701870,766939,896234,1126817,1224653,1230881,1406785,1562218,1823973,2111906,2309598,2699206,2950164,3341359,4023455,4315182,4726736,5072449,5626716,5692670,5668051,5701622,6026902,6333593,6715857,7045837,7416219,7904305,8405398,8971857,9941643,10214023,10056479,10128016,11345868,11842358,12190116,12655792,13011098,12857922,13168032,13819089,14318384,14581969,15196486,15506924,16006649,16795583,17648703,18569510,18538028,20532663,20804148
 "25000","Massachusetts",1,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-132959,-110898,-108145,-104456,-124276,-141298,-151775,-172249,-218115,-277701,-373006,-492611,-620860,-747107,-917528,-1175522,-1370713,-1493856,-1664606,-1880999,-2030654,-2073844,-2237321,-2345529,-2561414,-2764342,-2826448,-3093882,-3402000,-3601829,-4185353,-5049904,-5196823,-5090455,-5094500,-5590286,-5429572,-5698907,-6109524,-6076984,-5471741,-5995640,-6648022,-7379356,-7341979,-6939706,-7750681,-8302361,-8837730,-9659786,-11763849,-12072490,-9994058,-11514118
