GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",6636881,7268635,7840175,8874824,10019419,11328476,12763654,14533896,16687152,19434975,22419774,25869273,29478563,31284854,33757954,37857802,41242977,44475398,48100244,52775252,56824272,60257802,62355575,65921297,67316262,69503792,73335478,78731612,84945687,92288690,98642655,108236847,112811520,115401544,122017588,129282291,137739425,147668004,148546895,146609596,137983604,146752367,156467073,167428549,166542339,173769675,187042532,194223700,202337241,210648610,221692307,240734263,257834298,263290135
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",6613480,7243166,7812819,8842192,9980467,11275858,12715749,14482493,16631115,19381153,22346109,25761699,29401916,31196902,33652713,37744927,41121572,44346188,47970494,52646392,56706430,60134998,62218272,65812672,67218745,69402380,73215840,78598518,84767137,92104330,98430850,108009357,112641611,115230897,121847522,129121401,137573407,147481820,148397186,146447239,137832826,146641845,156370623,167327373,166464876,173696529,186965113,194153598,202255103,210587658,221623622,240663331,257768227,263221145
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",23401,25469,27356,32632,38952,52618,47905,51403,56037,53822,73665,107574,76647,87952,105241,112875,121405,129210,129750,128860,117842,122804,137303,108625,97517,101412,119638,133094,178550,184360,211805,227490,169909,170647,170066,160890,166018,186184,149709,162357,150778,110522,96450,101176,77463,73146,77419,70102,82138,60952,68685,70932,66071,68990
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,20,"...","Population (persons) 3/","Number of persons",1376796,1432621,1484217,1536789,1607146,1669064,1725693,1772685,1812147,1853136,1891962,1948067,2004806,2045925,2088886,2123362,2171930,2228895,2281486,2333101,2383920,2418986,2452691,2497014,2532639,2566599,2603678,2643996,2709277,2773187,2815933,2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,3016751,3052105,3082183,3110324,3133194,3157254,3174233,3185766,3188828,3185685,3185516,3161005,3151184
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4821,5074,5282,5775,6234,6787,7396,8199,9208,10488,11850,13279,14704,15291,16161,17829,18989,19954,21083,22620,23836,24910,25423,26400,26579,27080,28166,29778,31354,33279,35030,37918,39097,39681,41653,43948,46849,50360,50670,49571,46192,48646,51265,54321,53545,55461,59242,61188,63513,66058,69590,75572,81567,83553
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",4234674,4595088,4880239,5632049,6462466,7217571,8024937,9398150,11184037,13263770,15421483,17563890,19989731,21092136,22938839,26353068,29212066,32168054,35893847,40323256,42625731,45832226,47007231,50002737,50503756,51938781,54287396,57666950,62708095,69574226,75910730,83129308,87457239,90635903,97785390,105927748,112628983,119791759,118807810,113956372,106433031,112046258,117673873,126133531,127971556,130971811,139133572,144910297,151558049,156702652,164246355,167196415,179986820,188481620
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",284032,303092,331081,405836,536805,618108,671023,799388,972401,1187156,1446657,1622466,2008975,2166839,2391132,2850178,3192116,3545926,3943385,4541622,4863235,5183870,5315230,5556401,5611429,5823080,5998632,6200924,6677114,7310976,7938712,8631805,9262720,9681385,10527871,11700818,12390594,12716330,12605147,12547876,11798468,11947438,11211362,11655507,13501133,14090305,14939445,15483897,16140627,16938597,17759992,17788163,19246416,20863091
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",145771,155909,169021,202494,265669,308298,336502,388905,468691,560820,689419,764402,965138,1051089,1147714,1343068,1539046,1737767,1969968,2282192,2439915,2608430,2719769,2861852,2900648,3014912,3134055,3245229,3466020,3791547,4121547,4466854,4777345,4980464,5316733,5815472,6206250,6506634,6518477,6582938,6292320,6406208,5374910,5593022,7266054,7524416,7966879,8217982,8603293,9069648,9575793,9597016,10467598,11544772
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",138261,147183,162060,203342,271136,309810,334521,410483,503710,626336,757238,858064,1043837,1115750,1243418,1507110,1653070,1808159,1973417,2259430,2423320,2575440,2595461,2694549,2710781,2808168,2864577,2955695,3211094,3519429,3817165,4164951,4485375,4700921,5211138,5885346,6184344,6209696,6086670,5964938,5506148,5541230,5836452,6062485,6235079,6565889,6972566,7265915,7537334,7868949,8184199,8191147,8778818,9318319
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",1273082,1312721,1399588,1557900,1712097,1905353,2061959,2275322,2491548,2829297,3280040,3657860,3765719,3740054,3783500,3849054,3890530,3911667,3960908,3720488,3640671,3299948,3653057,3720683,4246084,4424520,4682058,5443965,6398055,5669594,5420666,6287269,6041213,5375033,4093420,3121206,1752205,689490,-204524,-1390291,-702995,367468,157768,946501,1068990,520658,1252415,-181208,-955763,-561100,-813743,856794,1611556,3834740
