GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "24000","Maryland",2,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",17235920,19167231,21125827,23176397,25560539,27902797,30204127,32906940,35675755,39617165,43548963,48519338,53995511,58547190,62799141,69586502,75465695,81514058,87723309,96684853,104522243,110892381,115010027,120581709,125400694,131300749,137086621,143495296,151432755,163509024,173125764,188437155,198926881,206707343,215973447,230279226,242213966,254883062,265895070,278708349,277623634,287359366,303270094,310420376,309329474,318983090,332956246,344195091,356078970,367831289,380342055,400176131,426367416,432933432
 "24000","Maryland",2,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",17104592,19046829,21033313,23049880,25353385,27740575,30002125,32734828,35549195,39436220,43391921,48464388,53869299,58406461,62712603,69324646,75192106,81230511,87428250,96325100,104162206,110542662,114707771,120246664,125088961,131001160,136881082,143108736,151161439,163192939,172783300,188029714,198519499,206493273,215673472,229846116,241839492,254577512,265603457,278298593,277202018,286988635,302801676,309808297,308553475,318360330,332479606,343818372,355482121,367467199,379782002,399923081,425724259,432090211
 "24000","Maryland",2,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",131328,120402,92514,126517,207154,162222,202002,172112,126560,180945,157042,54950,126212,140729,86538,261856,273589,283547,295059,359753,360037,349719,302256,335045,311733,299589,205539,386560,271316,316085,342464,407441,407382,214070,299975,433110,374474,305550,291613,409756,421616,370731,468418,612079,775999,622760,476640,376719,596849,364090,560053,253050,643157,843221
 "24000","Maryland",2,CAINC4,20,"...","Population (persons) 3/","Number of persons",3868000,3938051,4022507,4081121,4109038,4133341,4157208,4172132,4194639,4211641,4223398,4227643,4261905,4282923,4313329,4365246,4413072,4486956,4565558,4657903,4727303,4799770,4867641,4923368,4971889,5023060,5070033,5111986,5157328,5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5791559,5854282,5913919,5962350,6008975,6049289,6079669,6112835,6138786,6163628,6173205,6174610,6164660
 "24000","Maryland",2,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4456,4867,5252,5679,6221,6751,7265,7887,8505,9407,10311,11477,12669,13670,14559,15941,17100,18167,19214,20757,22110,23104,23627,24492,25222,26140,27039,28070,29363,31417,32948,35480,37012,37995,39295,41515,43311,45293,47033,49026,48448,49617,51803,52490,51880,53084,55041,56614,58251,59919,61707,64825,69052,70228
 "24000","Maryland",2,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",12256135,13338062,14508419,15963649,17769989,19295472,20460919,22443210,24332176,27131974,29881353,32533936,35799521,37664197,40912869,45641179,50074574,54423947,59550228,65836588,70316471,74511566,76207037,79642529,82842058,86795667,90353516,94282851,100575837,109283695,117257593,127177092,135214123,142403064,149320884,159812577,168343105,176502450,181517421,188471406,189217790,196844218,206188766,211335299,213122352,218545012,228546962,237280340,244491363,250864897,256995653,258242481,274082783,287923831
 "24000","Maryland",2,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",750535,814696,916580,1059767,1354029,1532677,1623792,1807915,1973742,2261688,2611371,2866169,3381335,3616520,4070525,4672487,5284228,5837332,6330824,7214122,7757580,8394635,8670866,9015745,9364300,9915721,10287233,10645148,11306542,11980412,12720933,13591068,14645922,15441720,16156696,17306189,18230838,19380900,20242235,21009175,20984627,21769565,20186727,20768234,23569289,24138685,25382426,25964760,26790743,28084589,29035714,29466139,31520723,33509502
 "24000","Maryland",2,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",365374,395010,441728,502634,646933,733662,775461,841513,913641,1039950,1214707,1349287,1610957,1738617,1940962,2187414,2553038,2836632,3079707,3547383,3862059,4176138,4336656,4490861,4680190,4978261,5207726,5416547,5756170,6118535,6538989,6966470,7518088,7938361,8287485,8739858,9291958,9910322,10443186,10864543,10877612,11068612,8966871,9171126,12114126,12553062,13171202,13566638,14166009,15006581,15550649,15826736,16745214,18112631
 "24000","Maryland",2,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",385161,419686,474852,557133,707096,799015,848331,966402,1060101,1221738,1396664,1516882,1770378,1877903,2129563,2485073,2731190,3000700,3251117,3666739,3895521,4218497,4334210,4524884,4684110,4937460,5079507,5228601,5550372,5861877,6181944,6624598,7127834,7503359,7869211,8566331,8938880,9470578,9799049,10144632,10107015,10700953,11219856,11597108,11455163,11585623,12211224,12398122,12624734,13078008,13485065,13639403,14775509,15396871
 "24000","Maryland",2,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",2321171,2716806,3027980,3285098,3484544,3687210,4065356,4359422,4700925,5073972,5400545,5863102,6252540,6771366,7143349,7819796,8422608,9033072,9663423,10708578,11514472,12114807,12659771,13418656,13638707,14035487,14002757,14375749,14307575,15668302,16746842,18990066,19867511,20238731,21106302,22552249,23614376,22951977,23616281,23079948,23235706,23637396,23282859,22945770,22919142,22085765,22412412,22575383,23036618,24569277,26576642,27754076,27445984,29923616
 "24000","Maryland",2,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",13826771,15240172,16619819,18188980,19900504,21450005,22902483,24994717,27059359,29944258,32670527,35530869,38670726,40819043,43985693,48788488,53212954,57619687,62882827,69331044,74073363,78231738,80195942,84045440,87116465,90915433,94069040,98013452,103576870,112971585,121283502,132576090,140435712,147200075,154270490,165058637,173726643,180073527,184891467,190542179,191468869,198712049,209284898,213512835,212472205,216492092,225576948,233890963,240737238,247349585,254536581,256530418,270008044,284337945
 "24000","Maryland",2,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",2464710,2800735,3132879,3413613,3843672,4347832,4654556,5056832,5574272,6318705,7073065,8453133,10129474,11945583,12510014,14154465,15230195,16400302,17060819,19049378,21403385,22751053,23652247,24022125,25228225,26743301,28715582,30186224,32246249,34249699,34580008,37615109,38614611,38157583,38720501,41225767,42503505,47772252,51649536,54734398,50138960,49453437,53630476,56139475,54636338,57732960,60696923,61268475,65312841,68048277,70994103,70023572,75696252,79741891
 "24000","Maryland",2,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",944439,1126324,1373129,1573804,1816363,2104960,2647088,2855391,3042124,3354202,3805371,4535336,5195311,5782564,6303434,6643549,7022546,7494069,7779663,8304431,9045495,9909590,11161838,12514144,13056004,13642015,14301999,15295620,15609636,16287740,17262254,18245956,19876558,21349685,22982456,23994822,25983818,27037283,29354067,33431772,36015805,39193880,40354720,40768066,42220931,44758038,46682375,49035653,50028891,52433427,54811371,73622141,80663120,68853596
 "24000","Maryland",2,CAINC4,50,"...","Wages and salaries ","Thousands of dollars",9784500,10671181,11497549,12596572,13987002,15278854,16044903,17498686,18916059,21081495,23212875,25403113,27901916,29282985,31684650,35087860,38360504,41700857,45872882,50342066,53867340,57163330,58023493,59907295,62036658,65140754,68006196,71333678,76414142,81897458,87495848,94526490,99865656,104278920,108722974,115065731,121408261,128329742,134316950,137459815,136266469,139246575,144309787,148855709,150129242,155246670,162492469,167604837,173713277,179741438,186264301,189154196,201542859,213322888
