GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "27000","Minnesota",4,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",14388047,15708849,16766023,18229257,21370238,23011795,24891102,26907121,30292726,33988927,37791833,42010462,46515652,49837561,52590261,59598876,63324040,66976178,71215906,75348529,82290313,87486978,90311671,96932703,99872645,107011913,113162912,121958540,128932791,140269135,147376230,159595422,166509015,170085165,177862252,188674909,193583814,203249483,215185417,225533454,216335432,225971601,241599513,255427731,257507779,270190205,282988049,288866631,301748990,317564784,329115631,349887419,381789127,393569020
 "27000","Minnesota",4,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",13669893,14835280,15972559,17272895,19195122,21372479,23633572,26133282,28800602,32373664,36556865,41061011,45485356,49030097,52481689,58166446,61993232,65346200,69090081,74109526,80255925,85551533,89127010,95556150,99712212,105701072,112666028,120067162,128063462,138902474,146149350,158183870,165519716,169110360,176063079,186266480,190706098,200758784,212657789,221562342,214228651,222827770,237271760,249471383,251946607,266506944,279886250,287468178,299772038,315874377,328183022,346603244,377333330,387904996
 "27000","Minnesota",4,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",718154,873569,793464,956362,2175116,1639316,1257530,773839,1492124,1615263,1234968,949451,1030296,807464,108572,1432430,1330808,1629978,2125825,1239003,2034388,1935445,1184661,1376553,160433,1310841,496884,1891378,869329,1366661,1226880,1411552,989299,974805,1799173,2408429,2877716,2490699,2527628,3971112,2106781,3143831,4327753,5956348,5561172,3683261,3101799,1398453,1976952,1690407,932609,3284175,4455797,5664024
 "27000","Minnesota",4,CAINC4,20,"...","Population (persons) 3/","Number of persons",3758000,3815249,3851901,3866878,3885164,3898450,3925793,3956602,3979844,4004676,4038150,4085017,4111733,4131450,4141458,4157704,4184301,4205213,4235136,4296163,4338056,4389857,4440859,4495572,4555954,4610355,4660180,4712827,4763390,4813412,4873481,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5312113,5352572,5388297,5430428,5473353,5509714,5556226,5605384,5650149,5686733,5709852,5711471,5717184
 "27000","Minnesota",4,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3829,4117,4353,4714,5500,5903,6340,6801,7612,8487,9359,10284,11313,12063,12698,14335,15134,15927,16815,17539,18969,19929,20337,21562,21921,23211,24283,25878,27067,29141,30240,32348,33417,33889,35195,37084,37812,39362,41325,42983,40963,42539,45137,47404,47419,49365,51362,51990,53832,56205,57874,61278,66846,68840
 "27000","Minnesota",4,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",11892376,12810612,13521058,14755886,17535855,18533104,19570511,21234577,24149643,27431578,30608907,32959719,35661766,36961732,38809706,44888579,47903479,51087781,55449646,58913707,63795953,67762788,69969621,75987162,78155893,83954403,87847969,95224414,100628582,110198103,117102517,126849075,131679344,135093435,141095703,150929725,154900880,159552889,167147935,171959840,162567044,169567097,179493894,189437137,194360142,201443195,210015982,213544514,223396198,233241058,240612435,244306971,263432953,281140664
 "27000","Minnesota",4,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",780755,824946,909712,1035955,1333115,1524691,1613191,1845024,2043116,2408734,2854780,3106791,3604125,3838381,4161127,4796342,5234150,5701287,6106551,6827892,7303127,7829106,8277886,8868523,9312637,9989813,10529842,11136281,11836089,12711506,13569490,14524790,15034335,15354054,16036637,16941861,17690273,18558792,19325257,19933376,19268428,19583366,18321245,19063750,22424142,23117096,23937408,24621148,25693344,26968956,27942041,28257012,30000139,32428999
 "27000","Minnesota",4,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",391670,416044,457156,512130,655185,753655,799257,889315,969467,1132160,1348369,1485504,1738540,1863027,1997146,2250475,2536605,2778989,3008453,3392268,3690541,3948293,4191645,4480646,4708282,5069015,5364161,5681617,6049480,6490146,6967045,7433330,7719236,7912051,8174162,8629836,8996907,9505875,9972257,10352177,10037761,10138376,8310229,8594750,11486695,12023003,12522204,12969946,13579781,14377835,14969315,15203862,16334818,17815438
 "27000","Minnesota",4,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",389085,408902,452556,523825,677930,771036,813934,955709,1073649,1276574,1506411,1621287,1865585,1975354,2163981,2545867,2697545,2922298,3098098,3435624,3612586,3880813,4086241,4387877,4604355,4920798,5165681,5454664,5786609,6221360,6602445,7091460,7315099,7442003,7862475,8312025,8693366,9052917,9353000,9581199,9230667,9444990,10011016,10469000,10937447,11094093,11415204,11651202,12113563,12591121,12972726,13053150,13665321,14613561
 "27000","Minnesota",4,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-32517,-26405,-26518,-28889,-34833,-31332,-32232,-39985,-54409,-68697,-93645,-100548,-132069,-154465,-183180,-240434,-287716,-325500,-375828,-452428,-439245,-471116,-475461,-509283,-515350,-561278,-610056,-684996,-766986,-847215,-951199,-1036759,-1083894,-1112806,-1181001,-1259295,-1321510,-1275976,-1393161,-1421567,-1147796,-1105728,-1142672,-927206,-889569,-920388,-1024054,-1197414,-1336369,-1319577,-1494716,-1510569,-1703309,-1833013
