GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",397478,445225,476061,541293,581519,655804,771668,852803,926754,1062407,1210008,1397182,1681458,1804667,1890846,2009206,2138379,2128401,2090408,2186912,2271782,2324194,2385186,2539683,2664760,2721192,2911786,3100216,3324250,3472112,3609231,3699665,3781370,3951625,4201840,4389872,4626074,4914261,5173944,5724861,5488615,5787829,6150171,6416566,6596716,7042550,6840205,6745585,6982977,7444071,7894120,8524002,9342567,9585333
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",381244,422288,455393,512479,553951,647168,750508,835437,914113,1052729,1189734,1386715,1635473,1781697,1882594,1999091,2138291,2117665,2062382,2172015,2253520,2286108,2371223,2503227,2634287,2701864,2894409,3094053,3301502,3463851,3579133,3692104,3744521,3936266,4169674,4353519,4595695,4906235,5144393,5740511,5501777,5765782,6139483,6424378,6572559,7039051,6836415,6770114,7008154,7464896,7906016,8532347,9343786,9603384
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",16234,22937,20668,28814,27568,8636,21160,17366,12641,9678,20274,10467,45985,22970,8252,10115,88,10736,28026,14897,18262,38086,13963,36456,30473,19328,17377,6163,22748,8261,30098,7561,36849,15359,32166,36353,30379,8026,29551,-15650,-13162,22047,10688,-7812,24157,3499,3790,-24529,-25177,-20825,-11896,-8345,-1219,-18051
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC4,20,"...","Population (persons) 3/","Number of persons",125138,122505,124841,128517,127533,128625,131031,133379,133052,134462,136601,140098,143310,148899,152939,153587,153470,155031,153655,150042,149324,147834,147400,149917,152909,153779,156097,156351,157405,158264,159755,160288,158917,159012,158810,160156,160761,161389,162023,162508,163888,165673,167069,168246,168614,169859,171579,172242,172915,174005,175187,176866,177829,179308
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3176,3634,3813,4212,4560,5099,5889,6394,6965,7901,8858,9973,11733,12120,12363,13082,13934,13729,13605,14575,15214,15722,16182,16941,17427,17695,18654,19829,21119,21939,22592,23081,23795,24851,26458,27410,28776,30450,31933,35228,33490,34935,36812,38138,39123,41461,39866,39163,40384,42781,45061,48195,52537,53457
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",314248,345454,367762,421683,446726,496357,583228,650304,707973,815454,936216,1064236,1293179,1341097,1379632,1457725,1530946,1506792,1458252,1535833,1540133,1595365,1638877,1756882,1831707,1891969,1991843,2126567,2321073,2414221,2542132,2547980,2592578,2730351,2906475,3081064,3218484,3463752,3573145,3850102,3662274,3855734,4002365,4193342,4437440,4731996,4445005,4305690,4397192,4748047,5121806,5233453,5497201,5954244
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",18303,19934,22303,26147,31846,38282,44278,50603,55793,65480,78599,91347,116795,125452,129737,140379,150084,144782,138648,152195,154717,156668,168263,176728,184214,193362,203788,214106,227051,232366,240232,244234,251060,266247,282845,300106,313539,333608,354043,376586,376274,385671,356942,375422,434419,457864,455145,457363,479282,512333,547204,566522,583039,645467
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",9557,10240,11245,12840,16168,19433,21820,24307,27126,31809,38339,45176,58172,62749,63935,67973,75158,72967,69596,77849,80934,81181,87428,91461,95848,101583,108122,113404,120784,124022,128884,129200,130765,138932,144093,153542,162069,174111,184875,199950,198785,200175,164574,171458,226961,240282,237171,239108,248576,268352,288480,301927,309118,344870
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",8746,9694,11058,13307,15678,18849,22458,26296,28667,33671,40260,46171,58623,62703,65802,72406,74926,71815,69052,74346,73783,75487,80835,85267,88366,91779,95666,100702,106267,108344,111348,115034,120295,127315,138752,146564,151470,159497,169168,176636,177489,185496,192368,203964,207458,217582,217974,218255,230706,243981,258724,264595,273921,300597
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",1670,1887,2011,2370,2456,1621,1693,2088,2168,1508,1030,350,-3110,-1682,-2173,-2598,-2406,-323,1501,3296,7412,10185,4971,6095,6165,4548,3487,3104,4368,6340,7570,10116,10981,5561,3889,2753,1838,221,-4551,-4638,-7181,-3751,3294,12427,18375,25781,18411,6789,17758,23342,27544,1384,-2613,1813
