GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "28000","Mississippi",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",5540675,6077002,6737073,7677404,8779039,9648091,10462842,11877611,13222207,14721611,16636703,18102701,20328860,21461818,22457971,24513876,25814984,26776347,28256068,30286055,32710737,34436460,36310810,39042558,41568620,44969477,47565152,50455345,53370558,56581064,58494432,61604859,65064052,66326193,69011943,73054919,77634967,80835682,86186957,90602512,89414013,92714361,96643444,99732847,101472085,103442732,104772168,106355488,109132813,111917844,116256330,125760516,137381666,136330235
 "28000","Mississippi",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",5195249,5686254,6305432,7188156,8092775,9140043,10093715,11311484,12622839,14277074,15943433,17927792,20006040,21044496,22362572,24041596,25384073,26579275,27676295,29560979,32151368,33954926,35734603,38384100,40997076,44137002,46898540,49388992,52389814,55624171,57560775,60824353,63493027,65699251,67839483,71265709,75890632,80029453,85054186,89880082,88581434,91835941,96076987,98935923,99258803,101845472,103937323,105710354,107704402,110785354,115248520,125165808,135734218,135139039
 "28000","Mississippi",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",345426,390748,431641,489248,686264,508048,369127,566127,599368,444537,693270,174909,322820,417322,95399,472280,430911,197072,579773,725076,559369,481534,576207,658458,571544,832475,666612,1066353,980744,956893,933657,780506,1571025,626942,1172460,1789210,1744335,806229,1132771,722430,832579,878420,566457,796924,2213282,1597260,834845,645134,1428411,1132490,1007810,594708,1647448,1191196
 "28000","Mississippi",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970366,2977897,2982342,2986574,2987621,2984959,2984317,2983393,2974618,2968981,2958141,2949586,2940057
 "28000","Mississippi",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2496,2736,2974,3327,3736,4056,4360,4887,5375,5917,6634,7168,8007,8394,8746,9509,9974,10324,10916,11737,12707,13353,13973,14881,15656,16724,17470,18360,19219,20173,20681,21628,22806,23202,24060,25287,26716,27827,29432,30736,30220,31213,32454,33441,33976,34624,35100,35638,36580,37624,39157,42513,46577,46370
 "28000","Mississippi",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",4570983,4881173,5354041,6148419,7050005,7532283,7895309,9112206,10207537,11334115,12763334,13197641,14548264,15034550,15493524,17134725,18020012,18701926,20007676,21523018,22798410,24157487,25320179,27368797,29359272,32066237,33399569,35217048,37125340,39685848,41393847,42964350,44730363,45373003,47585530,50672890,52770433,54609764,56690294,58498343,56638423,58444195,59737205,62082256,64567074,65467561,65240794,65855742,67942018,69650642,71866726,73337758,80218497,83686730
 "28000","Mississippi",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",290831,310203,351085,421301,538239,615467,653112,756504,850173,981797,1128894,1210227,1421451,1497310,1593803,1773270,1913772,2032083,2125070,2373612,2541703,2803227,2988565,3192126,3452582,3779262,3946158,4069038,4283603,4579182,4782857,4926115,5012801,5238043,5403111,5725965,5939621,6397501,6663057,6889532,6801359,6893945,6407463,6621501,7523877,7738892,7944228,8120043,8376912,8585044,8944172,9256004,9751097,10570209
 "28000","Mississippi",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",146492,157094,176026,208537,265411,304493,323748,364519,404132,462266,535924,585132,693349,741378,781705,855215,953028,1024282,1080501,1217452,1330058,1455746,1560413,1662182,1792909,1969227,2074902,2137189,2253689,2398000,2516436,2590849,2653737,2780480,2875371,3035157,3199547,3493349,3672723,3802828,3758011,3817241,3116303,3207773,4148969,4302588,4423123,4567823,4741519,4924421,5102640,5279348,5608000,6136959
 "28000","Mississippi",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",144339,153109,175059,212764,272828,310974,329364,391985,446041,519531,592970,625095,728102,755932,812098,918055,960744,1007801,1044569,1156160,1211645,1347481,1428152,1529944,1659673,1810035,1871256,1931849,2029914,2181182,2266421,2335266,2359064,2457563,2527740,2690808,2740074,2904152,2990334,3086704,3043348,3076704,3291160,3413728,3374908,3436304,3521105,3552220,3635393,3660623,3841532,3976656,4143097,4433250
 "28000","Mississippi",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",35979,37374,58850,74070,93764,122454,148674,179020,217657,271497,325350,410298,439612,457274,513039,572020,603072,591506,629635,671516,714602,749011,804045,822865,839460,837518,920045,961560,1112017,1187714,1286526,1477817,1540691,1585420,1668997,1780015,1897810,2114117,2270167,2411187,2367302,2429262,2651023,2852489,2992641,3054093,3182732,3224017,3317075,3509631,3753708,3770233,3928589,4316685
 "28000","Mississippi",5,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",4316131,4608344,5061806,5801188,6605530,7039270,7390871,8534722,9575021,10623815,11959790,12397712,13566425,13994514,14412760,15933475,16709312,17261349,18512241,19820922,20971309,22103271,23135659,24999536,26746150,29124493,30373456,32109570,33953754,36294380,37897516,39516052,41258253,41720380,43851416,46726940,48728622,50326380,52297404,54019998,52204366,53979512,55980765,58313244,60035838,60782762,60479298,60959716,62882181,64575229,66676262,67851987,74395989,77433206
 "28000","Mississippi",5,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",672878,779693,861256,958058,1108523,1296464,1440920,1557145,1737547,1998082,2280559,2825713,3499246,3879183,4094627,4494917,4825771,4980360,5022956,5436341,6244346,6370945,6467324,6528145,6810797,7345437,7900849,8387004,9082596,9867532,9865693,10562863,10938832,10790945,10720259,10804971,11446822,12925963,15521651,15791224,14981768,14645035,15728059,16504771,15969269,16445536,16983450,17179462,17800327,17919947,18715433,19104795,20623359,22141523
 "28000","Mississippi",5,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",551666,688965,814011,918158,1064986,1312357,1631051,1785744,1909639,2099714,2396354,2879276,3263189,3588121,3950584,4085484,4279901,4534638,4720871,5028792,5495082,5962244,6707827,7514877,8011673,8499547,9290847,9958771,10334208,10419152,10731223,11525944,12866967,13814868,14440268,15523008,17459523,17583339,18367902,20791290,22227879,24089814,24934620,24914832,25466978,26214434,27309420,28216310,28450305,29422668,30864635,38803734,42362318,36755506
 "28000","Mississippi",5,CAINC4,50,"...","Wages and salaries ","Thousands of dollars",3376698,3593032,3883546,4419020,4996930,5524700,5813776,6556857,7334030,8289878,9235029,9986847,10946256,11319647,11730493,12572789,13268332,13849194,14572834,15663046,16613993,17596358,18361826,19544908,21039804,22998396,24205827,25310026,26809886,28758597,30031335,31070047,31462968,32375944,33403022,34958175,36503693,38668433,40495683,42023798,40661984,41143518,41911461,43384528,44176558,45378101,46367238,47443522,48606793,49862804,51405961,52450465,55851539,59848971
 "28000","Mississippi",5,CAINC4,60,"...","Supplements to wages and salaries ","Thousands of dollars",432892,466798,534799,641332,745245,840886,958630,1088510,1265401,1438139,1617175,1782079,2012259,2161572,2333496,2560338,2742493,2956913,3062583,3312048,3652295,3974830,4279247,4795525,5148381,5486212,5585105,5695208,5899468,6286371,6600607,6954873,7241785,7663515,8072750,8873182,9301335,9470157,9843582,10146310,10061142,10079470,10114072,10593502,10750205,11203050,11340822,11509559,11745196,12251594,12589775,12685320,13598280,14056060
 "28000","Mississippi",5,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",288553,313689,359740,428568,472417,529912,629266,696525,819360,918608,1024205,1156984,1284157,1405640,1521398,1642283,1781749,1949112,2018014,2155888,2440650,2627349,2851095,3265581,3488708,3676177,3713849,3763359,3869554,4105189,4334186,4619607,4882721,5205952,5545010,6182374,6561261,6566005,6853248,7059606,7017794,7002766,6822912,7179774,7375297,7766746,7819717,7957339,8109803,8590971,8748243,8708664,9455183,9622810
 "28000","Mississippi",5,CAINC4,62,"..."," Employer contributions for government social insurance ","Thousands of dollars",144339,153109,175059,212764,272828,310974,329364,391985,446041,519531,592970,625095,728102,755932,812098,918055,960744,1007801,1044569,1156160,1211645,1347481,1428152,1529944,1659673,1810035,1871256,1931849,2029914,2181182,2266421,2335266,2359064,2457563,2527740,2690808,2740074,2904152,2990334,3086704,3043348,3076704,3291160,3413728,3374908,3436304,3521105,3552220,3635393,3660623,3841532,3976656,4143097,4433250
 "28000","Mississippi",5,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",761393,821343,935696,1088067,1307830,1166697,1122903,1466839,1608106,1606098,1911130,1428715,1589749,1553331,1429535,2001598,2009187,1895819,2372259,2547924,2532122,2586299,2679106,3028364,3171087,3581629,3608637,4211814,4415986,4640880,4761905,4939430,6025610,5333544,6109758,6841533,6965405,6471174,6351029,6328235,5915297,7221207,7711672,8104226,9640311,8886410,7532734,6902661,7590029,7536244,7870990,8201973,10768678,9781699
 "28000","Mississippi",5,CAINC4,71,"..."," Farm proprietors' income ","Thousands of dollars",264767,299450,341454,403067,590088,379746,249120,429408,447938,311709,553783,35119,192487,265303,-46393,335107,297341,76572,463064,588345,407398,298049,392637,487577,383354,668025,524293,909398,809380,775986,749591,596947,1371897,430567,1026040,1594893,1570436,622312,924204,531006,638778,683342,399893,543514,2025855,1321530,617251,466905,1244061,948562,869619,452009,1469592,1022962
 "28000","Mississippi",5,CAINC4,72,"..."," Nonfarm proprietors' income ","Thousands of dollars",496626,521893,594242,685000,717742,786951,873783,1037431,1160168,1294389,1357347,1393596,1397262,1288028,1475928,1666491,1711846,1819247,1909195,1959579,2124724,2288250,2286469,2540787,2787733,2913604,3084344,3302416,3606606,3864894,4012314,4342483,4653713,4902977,5083718,5246640,5394969,5848862,5426825,5797229,5276519,6537865,7311779,7560712,7614456,7564880,6915483,6435756,6345968,6587682,7001371,7749964,9299086,8758737
 "28000","Mississippi",5,CAINC4,7010,"...","Total employment ","Number of jobs",908677,916796,938968,978740,1019427,1031293,1000814,1038827,1070753,1100550,1114375,1111313,1106596,1079218,1087581,1117040,1123930,1130753,1141343,1169037,1188891,1202603,1210948,1233701,1286919,1334700,1365437,1389237,1415330,1445429,1469707,1476295,1455992,1454782,1452910,1463650,1473724,1508313,1538835,1537448,1492328,1490777,1509966,1519741,1532509,1556854,1568216,1581199,1592198,1602929,1607308,1573290,1625695,1674142
 "28000","Mississippi",5,CAINC4,7020,"..."," Wage and salary employment ","Number of jobs",749337,754792,771358,806528,847732,857817,825346,859988,892932,922020,936460,932016,923751,894553,895346,921503,926879,933550,949669,978758,1000335,1013649,1014263,1037882,1081777,1131327,1152491,1167574,1187361,1214368,1233957,1232416,1207513,1204053,1194743,1203505,1202477,1217428,1229732,1225908,1174184,1166595,1166468,1174647,1179067,1194114,1201893,1211002,1217298,1218207,1222522,1173893,1201565,1226196
 "28000","Mississippi",5,CAINC4,7040,"..."," Proprietors employment ","Number of jobs",159340,162004,167610,172212,171695,173476,175468,178839,177821,178530,177915,179297,182845,184665,192235,195537,197051,197203,191674,190279,188556,188954,196685,195819,205142,203373,212946,221663,227969,231061,235750,243879,248479,250729,258167,260145,271247,290885,309103,311540,318144,324182,343498,345094,353442,362740,366323,370197,374900,384722,384786,399397,424130,447946
 "28001","Adams, MS",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",100677,103294,115092,125980,141559,160546,174202,194090,217321,243208,276856,311121,351487,367189,388156,411289,411971,401198,405773,411004,442175,468222,479283,519861,548752,575645,602737,640309,661748,694369,714642,738477,749824,778296,754362,764170,810271,887004,912027,989759,926727,954420,999689,1039197,1053326,1069110,1013908,998156,1007263,1043024,1077853,1164073,1314851,1292524
 "28001","Adams, MS",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",99233,100976,111751,121704,135170,155914,172944,191515,214256,241381,271245,310691,349804,364466,388499,411332,412030,402887,405893,410895,444924,470319,478310,518305,548089,572620,602402,635329,659899,694544,712721,736760,745185,776422,750935,760400,805723,884478,911167,988816,922132,950853,995879,1034953,1030160,1065877,1012278,997229,1005486,1042061,1076907,1162457,1311758,1292013
 "28001","Adams, MS",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",1444,2318,3341,4276,6389,4632,1258,2575,3065,1827,5611,430,1683,2723,-343,-43,-59,-1689,-120,109,-2749,-2097,973,1556,663,3025,335,4980,1849,-175,1921,1717,4639,1874,3427,3770,4548,2526,860,943,4595,3567,3810,4244,23166,3233,1630,927,1777,963,946,1616,3093,511
 "28001","Adams, MS",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",37491,37395,38068,37851,37394,37668,38395,37985,37859,37874,37714,38209,38696,39172,38841,39006,38826,37694,36542,35794,35768,35294,35390,34899,35013,35151,34976,35105,35242,34969,34591,34246,33945,33730,33482,32785,32674,33220,32889,32629,32305,32558,32322,32003,31832,31696,31105,31046,31006,30521,29936,29419,28804,28408
 "28001","Adams, MS",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2685,2762,3023,3328,3786,4262,4537,5110,5740,6422,7341,8143,9083,9374,9993,10544,10611,10644,11104,11482,12362,13266,13543,14896,15673,16376,17233,18240,18777,19857,20660,21564,22089,23074,22530,23309,24799,26701,27730,30334,28687,29314,30929,32472,33090,33730,32596,32151,32486,34174,36005,39569,45648,45499
 "28001","Adams, MS",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",106968,104878,115686,125642,140620,155992,159080,181075,204934,232821,268267,292191,325789,329358,342117,356206,343829,317863,318038,318280,326250,356291,355410,396897,417313,436760,436044,450359,463575,481906,500162,497621,495264,535834,495743,478292,512434,577101,589101,613026,541187,557896,589259,622454,655936,662551,612269,576266,577538,611319,619130,603888,674498,686518
