GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "37000","North Carolina",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",15858142,17320423,18856792,21319016,24174505,26653856,28942763,32132322,35208099,39736164,43906810,49256176,55448399,59374707,64651777,73042476,78975578,85149307,91578629,100512038,109591488,116495228,121968505,132578359,141327215,150419510,161278515,172515776,185209372,198232018,207943047,221516240,228090893,231930885,241805079,261603424,280391837,304872655,327886485,351637519,339441454,343104305,355001632,377867242,373140586,393886051,414760405,429054929,449817671,473093266,501587171,541077960,599133510,621705594
 "37000","North Carolina",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",15188066,16651314,18233082,20572505,23017255,25549701,27887695,30998175,34366101,38609314,43166461,48620853,54414984,58324159,64029104,71763912,77828737,84017381,90452388,99049617,107887006,114379049,119592546,130264779,138738311,147616692,158596016,169541184,182168241,195846443,205728604,218574308,224993804,230450926,240241927,259266219,277214267,302295565,325645421,349440720,337209261,340740426,352977741,375022401,369777541,390138017,411553731,426529939,446657160,471643548,499630540,539545813,595995684,618366821
 "37000","North Carolina",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",670076,669109,623710,746511,1157250,1104155,1055068,1134147,841998,1126850,740349,635323,1033415,1050548,622673,1278564,1146841,1131926,1126241,1462421,1704482,2116179,2375959,2313580,2588904,2802818,2682499,2974592,3041131,2385575,2214443,2941932,3097089,1479959,1563152,2337205,3177570,2577090,2241064,2196799,2232193,2363879,2023891,2844841,3363045,3748034,3206674,2524990,3160511,1449718,1956631,1532147,3137826,3338773
 "37000","North Carolina",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",5031000,5099150,5200760,5296085,5382441,5461112,5535097,5593463,5668494,5740286,5801563,5898980,5956653,6019108,6077059,6164004,6253957,6321576,6403693,6480591,6565462,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,7949361,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9571353,9642580,9722105,9803434,9880220,9966060,10076064,10175266,10275806,10370550,10449445,10565885,10698973
 "37000","North Carolina",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3152,3397,3626,4025,4491,4881,5229,5745,6211,6922,7568,8350,9309,9864,10639,11850,12628,13470,14301,15510,16692,17481,17978,19222,20067,20928,21959,23000,24189,25385,26158,27410,27782,27856,28709,30586,32209,34189,35960,37772,35921,35847,36816,38867,38062,39866,41617,42582,44207,46040,48366,51781,56705,58109
 "37000","North Carolina",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",13695429,14664748,15905718,18116555,20658487,22351164,23353015,26189154,28734374,32665309,35982494,39233002,43471565,45591010,49846549,56766941,61550281,66665936,72743723,79617455,85519255,90451887,93714590,102592310,108938643,116287949,123190745,130549061,140497574,150625445,159949078,170461725,174113335,176240116,183406760,198015770,211554771,229557496,244915288,258157497,243357904,244526728,247490495,266033349,265416924,279153775,292329706,302983253,317386050,333004293,353022987,365699714,399280680,434666848
 "37000","North Carolina",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",899596,971110,1101758,1308568,1677889,1900990,1977755,2272099,2513226,2920385,3389734,3716782,4380076,4634635,5172677,5969047,6588701,7293905,7869376,8838251,9490095,10256596,10747215,11649212,12434952,13398810,14227993,14926161,15977772,17206594,18335210,19427808,20100040,20457290,21458666,22559707,24118880,25770788,27508429,28284451,27492980,27829198,25943678,26975741,31279253,32936506,34559663,35544018,36884967,38384939,40569835,42200651,45600087,50416829
 "37000","North Carolina",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",445354,482025,542867,635069,820243,933541,969839,1083707,1190324,1378784,1610023,1785717,2127014,2287689,2515309,2842704,3239543,3614822,3937906,4460474,4868311,5247344,5533830,5968314,6380100,6910684,7400280,7757739,8307389,8928190,9531203,10088939,10403048,10717861,10986425,11641229,12432299,13386463,14337628,14733408,14362796,14588208,11970529,12406017,16303622,17141108,18006834,18890275,19921205,21167760,22382726,23359474,25111533,27886975
 "37000","North Carolina",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",454242,489085,558891,673499,857646,967449,1007916,1188392,1322902,1541601,1779711,1931065,2253062,2346946,2657368,3126343,3349158,3679083,3931470,4377777,4621784,5009252,5213385,5680898,6054852,6488126,6827713,7168422,7670383,8278404,8804007,9338869,9696992,9739429,10472241,10918478,11686581,12384325,13170801,13551043,13130184,13240990,13973149,14569724,14975631,15795398,16552829,16653743,16963762,17217179,18187109,18841177,20488554,22529854
 "37000","North Carolina",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",18497,19725,15197,9120,7355,12783,15004,13834,18878,17892,7712,11309,-29399,-40452,-59240,-94751,-157153,-219014,-300830,-363143,-417745,-457585,-440165,-464485,-481263,-546374,-617799,-682007,-759649,-737812,-806853,-920846,-930337,-898686,-755131,-756441,-826139,-1011755,-1242889,-1274185,-1048759,-963090,-890875,-938824,-848545,-920641,-1162504,-1294745,-1359450,-1558971,-1616734,-1827200,-2008395,-2559706
