GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "38000","North Dakota",4,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1990570,2102372,2424204,2887407,4036830,3998170,4181464,4101883,4261106,5357868,5507758,5273968,6904340,7454850,7838187,8456480,8743001,8871038,9105864,8460842,9472814,10256270,10401883,11384968,11536405,12531737,12552311,14037638,13770070,15078708,15257879,16591077,16930740,17356115,18949490,19330915,20501369,21508536,23828798,26942586,26722103,29758809,33587983,39538595,39538731,42181264,40408157,39232018,39743692,42565900,43968202,47621422,51261703,54828494
 "38000","North Dakota",4,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",1606917,1797729,1991900,2221078,2510097,2836791,3239437,3627738,3991356,4496635,5010200,5661596,6536814,7153310,7476070,7849317,8048933,8182430,8322248,8526462,9035948,9489527,9792893,10316711,10919043,11481052,12131240,12736662,13473694,14115453,14575239,15500552,16140867,16769322,17488061,18398021,19373459,20784640,22193390,24548382,25184419,27651305,31606682,36000184,37684387,41349208,40196025,38490284,38833284,41311820,42836604,45232028,48392260,49955530
 "38000","North Dakota",4,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",383653,304643,432304,666329,1526733,1161379,942027,474145,269750,861233,497558,-387628,367526,301540,362117,607163,694068,688608,783616,-65620,436866,766743,608990,1068257,617362,1050685,421071,1300976,296376,963255,682640,1090525,789873,586793,1461429,932894,1127910,723896,1635408,2394204,1537684,2107504,1981301,3538411,1854344,832056,212132,741734,910408,1254080,1131598,2389394,2869443,4872964
 "38000","North Dakota",4,CAINC4,20,"...","Population (persons) 3/","Number of persons",621000,618851,626659,630937,632411,634212,638469,645293,649168,650648,652152,654380,659504,668972,676687,680499,676979,669513,661141,655330,646351,637685,635753,638223,641216,644804,647832,650382,649716,647532,644259,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,675054,687065,705071,727382,744395,762693,764650,766673,771407,776516,779518,777934,779261
 "38000","North Dakota",4,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3205,3397,3868,4576,6383,6304,6549,6357,6564,8235,8446,8059,10469,11144,11583,12427,12915,13250,13773,12911,14656,16084,16362,17839,17991,19435,19376,21584,21194,23286,23683,25842,26493,27197,29663,29984,31731,33120,36501,40973,40186,44084,48886,56077,54358,56665,52981,51307,51839,55180,56622,61091,65895,70360
 "38000","North Dakota",4,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",1635476,1697577,1959279,2373485,3449296,3326785,3384488,3250475,3277555,4284296,4324493,3766068,5008975,5209040,5528819,5973109,6151885,6202601,6524523,5923751,6675182,7363324,7550161,8446587,8499799,9421916,9215390,10588494,10069888,11295046,11554251,12600120,12856596,13207378,14736799,15091828,16029789,16675653,18468147,20476941,20545958,23004671,25915118,31300083,31731678,33780051,32357195,30852577,31307802,33029524,34257893,34840100,36752082,41039957
 "38000","North Dakota",4,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",102137,114696,128946,147359,189342,224187,256032,293514,302537,353571,411981,450289,532573,576432,613251,652117,677884,697767,727000,794183,839677,932765,1002204,1064376,1145865,1220547,1269860,1327100,1374237,1438540,1478456,1549851,1591339,1642748,1731169,1833341,1912143,2009821,2112500,2261295,2419127,2502789,2623594,2842432,3477044,3866060,3848752,3693886,3856531,3895556,3965229,4021166,4201665,4581134
 "38000","North Dakota",4,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",55114,60716,66442,73451,97324,115928,131847,145655,141350,164074,191653,210135,248299,268693,280981,297365,322388,336781,352170,386400,415409,458298,491548,515695,545072,580787,594265,619980,650246,675752,704608,733229,782989,801491,846436,899797,949663,1020365,1109432,1200625,1226561,1290445,1158971,1281783,1740632,1887045,1881193,1842560,1899037,2001969,2058481,2119887,2293481,2509708
 "38000","North Dakota",4,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",47023,53980,62504,73908,92018,108259,124185,147859,161187,189497,220328,240154,284274,307739,332270,354752,355496,360986,374830,407783,424268,474467,510656,548681,600793,639760,675595,707120,723991,762788,773848,816622,808350,841257,884733,933544,962480,989456,1003068,1060670,1192566,1212344,1464623,1560649,1736412,1979015,1967559,1851326,1957494,1893587,1906748,1901279,1908184,2071426
 "38000","North Dakota",4,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-55167,-57603,-60440,-63911,-67452,-79034,-83125,-96637,-102515,-112909,-129926,-145433,-166081,-168070,-170711,-170382,-169562,-167959,-168182,-175189,-180173,-184171,-190934,-205941,-225383,-240512,-261844,-293990,-320970,-343995,-370431,-403890,-432205,-447090,-469483,-521756,-570108,-634508,-703474,-761701,-802793,-966729,-1321363,-1901175,-2291242,-2634889,-2384435,-1969030,-2082581,-2280904,-2371713,-2013645,-1958468,-2260483
