GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "32000","Nevada",8,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",2278607,2560413,2860381,3196764,3630058,4025238,4543971,5170461,5977935,7225731,8372017,9681438,10998173,11752694,12530750,13634293,14791280,15979144,17406994,19826291,22328914,25039231,27543572,30459859,32932912,36442306,40075451,44336734,48450166,54217238,58623619,64312598,68026741,69952742,74518428,82524683,92194143,99485129,103705970,102535875,96982751,100750401,104596400,108696140,108914362,115514106,125088591,129879146,138846976,148408130,159292887,170269224,192006059,197290898
 "32000","Nevada",8,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",2246715,2526648,2825997,3154842,3575008,3991252,4511478,5135541,5951376,7203559,8363914,9625297,10971145,11720982,12506936,13601179,14764933,15953865,17361889,19765048,22253905,24961614,27472890,30392205,32820018,36367134,40012574,44273710,48387684,54132374,58547463,64212188,67912579,69866162,74429386,82402399,92064032,99361231,103615034,102393767,96863493,100612248,104396000,108588450,108818717,115314524,124954618,129802333,138741658,148306696,159125801,170101803,191801517,197127142
 "32000","Nevada",8,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",31892,33765,34384,41922,55050,33986,32493,34920,26559,22172,8103,56141,27028,31712,23814,33114,26347,25279,45105,61243,75009,77617,70682,67654,112894,75172,62877,63024,62482,84864,76156,100410,114162,86580,89042,122284,130111,123898,90936,142108,119258,138153,200400,107690,95645,199582,133973,76813,105318,101434,167086,167421,204542,163756
 "32000","Nevada",8,CAINC4,20,"...","Population (persons) 3/","Number of persons",480000,493223,519989,546736,568910,596713,619847,646823,678134,719345,765121,810215,847656,881538,901978,924921,951032,980614,1023374,1075023,1137382,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2701967,2710520,2739941,2770049,2809771,2857017,2905604,2955631,3011627,3068943,3115648,3146402,3177772
 "32000","Nevada",8,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4747,5191,5501,5847,6381,6746,7331,7994,8815,10045,10942,11949,12975,13332,13893,14741,15553,16295,17009,18443,19632,20512,21250,22540,23337,24306,25339,26608,27464,29256,30301,31858,32418,32180,33136,35173,37907,39437,39870,38640,36125,37288,38589,39671,39319,41112,43783,44700,46977,49278,51905,54650,61024,62085
 "32000","Nevada",8,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",1956307,2168765,2400965,2676619,3065689,3335176,3679056,4214075,4936247,6017153,6959207,7933570,8856709,9148458,9682670,10549369,11380848,12311330,13649066,15701386,17485134,19675098,21184739,23352868,25382517,28073289,30738496,34016971,37228162,41805772,45862373,49672836,52541924,53821316,56630044,62854674,69767266,75563080,77588396,73779720,68985171,71328708,72772816,73886382,75805403,78967964,84114412,86839579,92742368,99135243,106496996,103872203,118415231,131549693
 "32000","Nevada",8,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",131902,144281,164929,194103,256489,287761,312805,368109,439187,555265,680755,778011,930813,953021,1048850,1191131,1312734,1452164,1615226,1873091,2118918,2496576,2660377,2889657,3162652,3534085,3879369,4195506,4476746,4785142,5085698,4986377,5291595,5460223,5544316,6066018,6667562,7743374,8138732,7694471,7430901,7309681,6913405,7272322,8011476,8811810,9392224,9840194,10187259,10877859,11963418,11716123,13105462,15095149
 "32000","Nevada",8,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",53485,58084,65980,76699,102292,116145,125456,143540,169981,211044,262061,304041,371268,389152,414992,462603,527947,586562,657449,774847,893047,1061984,1130785,1210091,1328553,1498916,1666817,1833300,1977106,2137785,2342022,2493540,2666427,2753989,2807800,3085232,3393213,3943478,4158693,3963724,3846430,3827543,3139457,3253520,4109291,4555067,4839187,5110681,5290603,5693403,6271966,6246633,7058202,8155957
 "32000","Nevada",8,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",78417,86197,98949,117404,154197,171616,187349,224569,269206,344221,418694,473970,559545,563869,633858,728528,784787,865602,957777,1098244,1225871,1434592,1529592,1679566,1834099,2035169,2212552,2362206,2499640,2647357,2743676,2492837,2625168,2706234,2736516,2980786,3274349,3799896,3980039,3730747,3584471,3482138,3773948,4018802,3902185,4256743,4553037,4729513,4896656,5184456,5691452,5469490,6047260,6939192
 "32000","Nevada",8,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-33430,-38680,-40857,-43999,-53550,-55962,-57869,-67735,-83963,-116253,-131887,-159830,-166785,-168176,-177318,-189887,-200318,-217416,-239766,-281219,-325935,-376526,-345477,-305112,-343763,-353656,-348759,-368093,-328023,-349767,-381954,-338160,-354243,-363795,-409967,-494593,-549047,-473641,-399943,-320325,-307322,-251645,-145292,-156828,-136011,-176855,-127644,-201376,-194670,-206891,-281549,-186603,-221620,-533348
