GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "36000","New York",2,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",83626257,89895425,96121001,102833594,109571703,118064617,127413860,134980837,145640377,158583699,173371724,193336283,215436642,234154698,252718689,279066436,298925027,319272979,339348059,373424007,403530094,432353696,433087824,457070947,469679135,484265850,510311719,536942300,567116455,600087225,635242742,683214301,709417581,707561130,717555330,749469308,777653227,836022632,899609888,920456535,906188251,943392743,995231357,1039791605,1051798103,1090000795,1137082289,1176654694,1255776700,1298669006,1343066325,1405028826,1508135064,1483802284
 "36000","New York",2,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",83192384,89481726,95718028,102487862,109110764,117631995,127044279,134592266,145322310,158164315,172847107,192820119,214908293,233649670,252364979,278591236,298383191,318636412,338636750,372800770,402780157,431612101,432476902,456359051,468926169,483636631,509817449,536217885,566703025,599443080,634512411,682482214,708541142,706903983,716730823,748431109,776638457,835152735,898377462,919028299,905318855,941952796,993468663,1038057052,1049692496,1087894960,1135808403,1175576917,1254326779,1297698776,1341477554,1403462803,1506386339,1481495937
 "36000","New York",2,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",433873,413699,402973,345732,460939,432622,369581,388571,318067,419384,524617,516164,528349,505028,353710,475200,541836,636567,711309,623237,749937,741595,610922,711896,752966,629219,494270,724415,413430,644145,730331,732087,876439,657147,824507,1038199,1014770,869897,1232426,1428236,869396,1439947,1762694,1734553,2105607,2105835,1273886,1077777,1449921,970230,1588771,1566023,1748725,2306347
 "36000","New York",2,CAINC4,20,"...","Population (persons) 3/","Number of persons",18105000,18271605,18364865,18351767,18194767,18072768,18032254,17974654,17851507,17720421,17633646,17566754,17567731,17589737,17686907,17745676,17791678,17833421,17868844,17941309,17983084,18020784,18122510,18246653,18374954,18459470,18524104,18588460,18656546,18755906,18882725,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19419964,19600908,19757479,19892169,20002008,20088855,20150838,20190489,20222664,20222325,20108296,19857492,19677151
 "36000","New York",2,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4619,4920,5234,5603,6022,6533,7066,7510,8158,8949,9832,11006,12263,13312,14288,15726,16801,17903,18991,20814,22439,23992,23898,25050,25561,26234,27549,28886,30398,31995,33641,35955,37176,36972,37420,39093,40645,43760,47020,47909,46936,48579,50775,52628,52875,54495,56603,58392,62196,64218,66415,69873,75948,75407
 "36000","New York",2,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",70803749,75179247,79497388,85214226,90942602,96174857,100823878,107099769,115975087,127737172,140490034,153863806,168824908,181202665,195439621,215516567,233242093,252207346,273613065,301407791,318320493,338594370,333371632,356109135,364426623,373397731,390641156,412852549,441171536,469693251,505520129,548638706,572190478,568727600,574045385,600342956,620176352,664219316,712655457,717954304,695908232,732491226,762547281,792648274,814758168,843185214,873804878,901819007,955902952,1003389831,1040381040,1031853130,1111161478,1161900185
 "36000","New York",2,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",5290691,5533970,6030064,6795828,8413052,9188152,9452237,10248139,11010412,12375248,14082455,15429586,18083435,19681230,21224061,23937252,26271630,28844078,30679633,34031446,35480523,35787073,36733317,38352967,39223255,40888769,42380833,43657712,45605577,47879824,50241586,54136576,56439048,57155524,58926166,61838183,64650205,68655528,72722824,75367905,73056401,74797877,68955972,70723016,83139466,87657879,91579133,93811661,99231510,102943460,107449809,105472212,114106061,123498687
 "36000","New York",2,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",2460469,2586245,2810802,3091444,3821585,4213201,4373023,4607078,4922950,5469590,6277143,6934435,8230698,9002601,9665273,10636945,12076708,13382996,14365843,16043651,17000378,17121982,17681305,18351246,18806783,19646981,20641147,21352978,22530802,23737501,25199464,27025328,28105928,28340392,29128709,30595323,32264914,34497719,36884896,38248016,37334025,38201799,31057433,31645340,42447785,44560442,46644155,48269125,51507168,54149195,56759162,55645081,59611865,65281244
 "36000","New York",2,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",2830222,2947725,3219262,3704384,4591467,4974951,5079214,5641061,6087462,6905658,7805312,8495151,9852737,10678629,11558788,13300307,14194922,15461082,16313790,17987795,18480145,18665091,19052012,20001721,20416472,21241788,21739686,22304734,23074775,24142323,25042122,27111248,28333120,28815132,29797457,31242860,32385291,34157809,35837928,37119889,35722376,36596078,37898539,39077676,40691681,43097437,44934978,45542536,47724342,48794265,50690647,49827131,54494196,58217443
 "36000","New York",2,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-3436635,-3394764,-3518307,-3785947,-3918564,-4119603,-4405639,-4662913,-5197495,-5879002,-6758434,-7853922,-8520633,-9314664,-9878895,-10582214,-11352046,-11968897,-12770796,-13697771,-13757974,-13470725,-13448223,-16580375,-16351004,-16345064,-18577479,-21429738,-23990395,-27292787,-28503108,-32299036,-33136832,-30982718,-31588117,-36268338,-40254975,-46885441,-55940458,-56406163,-44017796,-50278440,-53994952,-56408931,-56318334,-60207018,-62456141,-64053221,-69829328,-76616647,-87091720,-94765237,-98308968,-110161384
