GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "39000","Ohio",3,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",41801043,44141934,46980368,50967906,56552390,61925206,66162182,72597505,80397208,88854711,98139943,107224402,116584437,122010409,129165178,142495944,151344813,158418410,165483900,178136781,191537126,202968115,207868447,221074852,230183648,243075206,254778303,266670184,282198968,298491358,307407038,323812505,333209250,338462533,348428738,361752998,371633835,390090034,406786493,422085747,410350426,422204427,449923823,466162071,473218777,492475624,511339811,521622549,541289443,562522960,582400407,623835973,670872723,679232967
 "39000","Ohio",3,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",41386930,43710651,46569253,50466132,55890918,61133783,65355502,71819493,79732562,88237180,97389044,106659810,116427683,121749336,129249093,141638685,150491806,157749880,164768782,177373978,190390548,201793852,207198943,219926895,229288134,241950634,253926903,265455482,280548700,297251978,306593133,322631834,332107422,337907378,347672151,360378811,370602313,389195444,405673057,420859291,408818318,420663558,447102138,464295460,470185121,490493749,510745669,521041571,540307540,560980401,581777541,621920828,667658498,676468799
 "39000","Ohio",3,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",414113,431283,411115,501774,661472,791423,806680,778012,664646,617531,750899,564592,156754,261073,-83915,857259,853007,668530,715118,762803,1146578,1174263,669504,1147957,895514,1124572,851400,1214702,1650268,1239380,813905,1180671,1101828,555155,756587,1374187,1031522,894590,1113436,1226456,1532108,1540869,2821685,1866611,3033656,1981875,594142,580978,981903,1542559,622866,1915145,3214225,2764168
 "39000","Ohio",3,CAINC4,20,"...","Population (persons) 3/","Number of persons",10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11541886,11557958,11573024,11611630,11648446,11674128,11701886,11737605,11762842,11788547,11797517,11764342,11756058
 "39000","Ohio",3,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3957,4137,4376,4743,5252,5752,6143,6752,7464,8231,9088,9928,10807,11342,12029,13271,14098,14764,15379,16496,17687,18682,18991,20044,20735,21796,22742,23719,25024,26388,27119,28496,29261,29669,30471,31588,32419,33976,35371,36654,35593,36580,38928,40280,40754,42278,43801,44576,46116,47822,49404,52879,57026,57777
 "39000","Ohio",3,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",35842808,37169979,39049787,42547164,47515685,51227604,53001347,58820082,65718128,73130390,80435303,83894784,89320865,90318359,95229885,106678371,113903546,119629367,126623982,136896132,145654241,153275603,156786335,167858269,175267189,186265239,193879348,202348485,214221279,227490743,238238407,249957751,255678501,260080921,268238406,280150739,285960312,297124129,305326636,308875009,295714148,304002535,320788840,333245896,345199656,355784012,367721929,374109439,388338866,401790815,414325440,419057596,446170298,471244916
 "39000","Ohio",3,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",2359714,2407979,2603286,2985256,3863634,4310272,4336259,4941558,5553864,6396502,7321615,7611739,8708161,8899666,9612539,10932297,11869827,12856289,13614404,15148979,16208707,17415438,18308223,19470050,20591618,22172137,23352826,24061699,24789681,25558176,26717261,27074207,27709526,27844618,28970916,30670136,31521176,32776207,33575179,34522134,33455576,33668599,31803260,32859560,36882469,38047589,39385090,40913737,43316058,44177404,46071078,46699786,49537811,53912977
 "39000","Ohio",3,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",1109621,1138893,1230240,1373478,1768360,1980160,2011740,2222238,2466534,2802530,3248898,3436379,3986523,4098736,4313318,4809874,5367923,5831106,6204044,6907239,7476042,7988086,8394856,8852305,9369228,10169223,10752102,11143096,11787653,12453361,13088459,13553470,13780692,14146683,14424079,14984191,15610170,16350166,16901298,17303009,16622110,16883360,14104771,14633575,19129853,20059038,20814770,21475164,22660221,23707669,24763145,25354083,27077638,29755441
 "39000","Ohio",3,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",1250093,1269086,1373046,1611778,2095274,2330112,2324519,2719320,3087330,3593972,4072717,4175360,4721638,4800930,5299221,6122423,6501904,7025183,7410360,8241740,8732665,9427352,9913367,10617745,11222390,12002914,12600724,12918603,13002028,13104815,13628802,13520737,13928834,13697935,14546837,15685945,15911006,16426041,16673881,17219125,16833466,16785239,17698489,18225985,17752616,17988551,18570320,19438573,20655837,20469735,21307933,21345703,22460173,24157536
 "39000","Ohio",3,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-199500,-183269,-133786,-133101,-158449,-133690,-93346,-108157,-113828,-135629,-171548,-194166,-482634,-608982,-711202,-842205,-918612,-951925,-994609,-1041900,-1105097,-1093056,-1114802,-1229965,-1327384,-1450366,-1490901,-1546151,-1643521,-1819320,-1788586,-1748567,-1736682,-1755669,-1768094,-1713124,-1728122,-1885084,-1973750,-1964322,-1836680,-1794600,-1921700,-1887882,-2315435,-2554582,-2592114,-2689576,-2462397,-2011123,-2261064,-2391051,-2177750,-2353924
