GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "40000","Oklahoma",6,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",8454824,9325575,10163611,11153394,12652931,14079579,15735744,17348684,19295941,21896038,25413798,29286958,34192458,38159431,39088971,41896949,43595242,43867691,43620137,45584662,48472389,51112102,52723718,56001403,58200991,60762957,63357553,67111450,71071391,74943596,76956477,83332119,88609534,90711628,95275667,102917268,112487587,124536498,128994333,143654854,133218319,139695062,150301952,159875362,167796900,177635739,172726289,164709044,171995438,180823960,189981259,199233203,220176482,226307998
 "40000","Oklahoma",6,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",8180836,8968454,9830533,10737968,11921710,13630909,15335850,17015834,19118119,21727195,24784915,29027528,33867450,37677731,38880246,41527211,43219512,43229099,43063382,44827602,47679411,50260127,52110310,55166005,57344545,59947890,63082868,66762957,70420128,74435040,76129024,82511280,87804725,89743656,94331163,101673867,111204355,123866984,128350507,142882838,133176969,138902691,148974199,158150274,166071965,175470280,170867426,163735305,170918673,179899239,188943588,198446033,218717657,225780316
 "40000","Oklahoma",6,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",273988,357121,333078,415426,731221,448670,399894,332850,177822,168843,628883,259430,325008,481700,208725,369738,375730,638592,556755,757060,792978,851975,613408,835398,856446,815067,274685,348493,651263,508556,827453,820839,804809,967972,944504,1243401,1283232,669514,643826,772016,41350,792371,1327753,1725088,1724935,2165459,1858863,973739,1076765,924721,1037671,787170,1458825,527682
 "40000","Oklahoma",6,CAINC4,20,"...","Population (persons) 3/","Number of persons",2535000,2566485,2617944,2657448,2694182,2732454,2771858,2823396,2865935,2913056,2970080,3040758,3096159,3206129,3290404,3285535,3271333,3252735,3210124,3167064,3150304,3148825,3175440,3220517,3252285,3280940,3308208,3340129,3372917,3405194,3437147,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759581,3786640,3815353,3848112,3871583,3901051,3916821,3920455,3928494,3943796,3964912,3991225,4019800
 "40000","Oklahoma",6,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3335,3634,3882,4197,4696,5153,5677,6145,6733,7517,8557,9631,11044,11902,11880,12752,13326,13486,13588,14393,15387,16232,16604,17389,17895,18520,19152,20092,21071,22009,22390,24124,25557,25999,27184,29194,31699,34650,35493,39154,35835,37157,39693,41903,43605,45882,44277,42052,43871,46029,48172,50249,55165,56298
 "40000","Oklahoma",6,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",6675751,7255716,7819033,8663553,9875429,10830775,11888966,13147572,14772784,16912837,19762035,22413295,25951715,28508561,28356848,30350650,31208018,31360225,31245274,32714576,34579523,36596599,37738444,40174828,41982343,43564779,44703852,47376661,50613032,53397021,54842686,59043757,62898658,64595080,67873856,74070349,81196886,89608909,90447715,100686422,91235975,95686094,102575598,109779401,119225033,126219487,121344594,112809063,117714834,123927674,129823368,128950605,139236538,149830740
 "40000","Oklahoma",6,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",401423,430587,483555,557780,720200,845328,927531,1054229,1197712,1418028,1688124,1970826,2450065,2747662,2738941,2968540,3108688,3161435,3181082,3498187,3730712,4066193,4324351,4549795,4797962,5058091,5275511,5473815,5733667,6032894,6218019,6599721,7047315,7296806,7508691,8030930,8506321,9109958,9585406,10040006,9848097,10095101,9732346,10323739,11890230,12224998,12305283,12059885,12542374,13258622,13797744,14034212,14734284,15999337
 "40000","Oklahoma",6,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",213161,228163,254796,288108,374704,439680,480058,527258,600832,707489,845163,993483,1244665,1390873,1371670,1460554,1574040,1605331,1619673,1788820,1933144,2086555,2223399,2336804,2430034,2568846,2680005,2799727,2972748,3158378,3293291,3479513,3683285,3783039,3842957,4056749,4339209,4732601,5038713,5333591,5233753,5358445,4460905,4653218,6081309,6395732,6515607,6572749,6850273,7282381,7582354,7758302,8091218,8913100
 "40000","Oklahoma",6,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",188262,202424,228759,269672,345496,405648,447473,526971,596880,710539,842961,977343,1205400,1356789,1367271,1507986,1534648,1556104,1561409,1709367,1797568,1979638,2100952,2212991,2367928,2489245,2595506,2674088,2760919,2874516,2924728,3120208,3364030,3513767,3665734,3974181,4167112,4377357,4546693,4706415,4614344,4736656,5271441,5670521,5808921,5829266,5789676,5487136,5692101,5976241,6215390,6275910,6643066,7086237
 "40000","Oklahoma",6,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",64025,65164,64113,73057,82775,106361,141896,176892,152396,148824,161905,169770,197590,203692,240525,288662,330630,381606,428495,477798,504678,568387,597203,618431,656662,713868,746563,779482,858701,892751,938922,1018803,1013994,985693,966689,948902,910931,882612,846393,790484,679203,611722,560542,550627,472050,461637,434211,455625,443274,474875,468274,459072,591698,652014
