GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "42000","Pennsylvania",2,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",45346106,48843711,51835461,56579789,62032948,68133164,74472731,81283216,89174091,98271999,108710086,119133879,131383551,140328325,147211666,158758804,168297891,177003246,186827586,203001535,219826972,232899904,242842842,255911487,265557213,274855910,287343845,301835572,317130456,334421754,348489158,372690713,388186257,395633311,409185840,432634650,450359695,472940608,502658788,522993816,512318194,535335505,563528870,584880333,589720173,611421707,635818019,653328866,671702754,707043419,729142341,783825569,833321971,836778334
 "42000","Pennsylvania",2,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",44978093,48460506,51504543,56237265,61554061,67676793,74054765,80775156,88714908,97775245,108078687,118719939,130758616,139776885,146863252,157925118,167466203,176131456,185960784,202276130,218849971,231922345,242134665,254736372,264557555,273967383,286735232,300749729,316395743,333559445,347697455,371614163,387206839,395027439,407991381,431125434,449025074,471838646,501387325,521680199,511415346,534039652,561778595,582871846,587470757,608831106,634174347,652509442,670116574,706076979,727662389,782765084,831526641,834505718
 "42000","Pennsylvania",2,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",368013,383205,330918,342524,478887,456371,417966,508060,459183,496754,631399,413940,624935,551440,348414,833686,831688,871790,866802,725405,977001,977559,708177,1175115,999658,888527,608613,1085843,734713,862309,791703,1076550,979418,605872,1194459,1509216,1334621,1101962,1271463,1313617,902848,1295853,1750275,2008487,2249416,2590601,1643672,819424,1586180,966440,1479952,1060485,1795330,2272616
 "42000","Pennsylvania",2,CAINC4,20,"...","Population (persons) 3/","Number of persons",11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12716521,12772774,12815609,12846775,12880463,12898688,12918191,12945337,12980864,12991448,12994440,13012059,12972008
 "42000","Pennsylvania",2,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9156,10038,11079,11847,12436,13437,14298,15022,15818,17137,18526,19566,20267,21238,21911,22592,23556,24699,25935,27309,28416,30339,31563,32084,33066,34860,36173,37803,40008,41467,40446,42098,44120,45638,45904,47469,49293,50574,51888,54468,56125,60320,64042,64506
 "42000","Pennsylvania",2,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",38436880,40518691,42410893,46349756,51119285,55468407,58846636,64245467,70701225,78472312,86595068,91820100,98824648,101160396,105242230,114855224,121615883,128098226,138139838,150812088,161088577,170011240,174840776,186564505,193773307,201208862,208258794,217005925,228564468,242081729,256072351,272672491,284766797,291571003,301757851,322134652,334688190,346776765,363028142,369147932,359291829,375934521,393318810,406762901,421457423,433661863,450231554,459146271,472978177,490540476,505967594,502258977,532601637,562602855
 "42000","Pennsylvania",2,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",2808608,2927585,3186387,3653555,4627117,5221801,5400222,6000335,6594781,7508284,8576034,9174588,10559221,10979573,11570469,13094861,14060444,14907990,15896180,17714604,18644742,19839386,20662218,21888879,23105320,24455796,25289772,25752041,26960467,28148322,29402116,30863838,31934185,32707990,33499051,35208666,36999585,39017324,40540558,41780120,41247410,42349105,39406711,40314066,46675196,48217310,50119736,51021920,53687762,55540594,57644297,57089733,60410544,65626704
 "42000","Pennsylvania",2,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",1276040,1336917,1451636,1624607,2039715,2305509,2401504,2591855,2821927,3170380,3659208,3991653,4660655,4899248,5117179,5683087,6355595,6830838,7405261,8358899,8992745,9622765,10108742,10675731,11246978,11898209,12407204,12684294,13344085,14002894,14768937,15483011,16110140,16635329,17016214,18026388,18833205,20011745,21018119,21749130,21551320,22060688,18161287,18475105,24148001,25018609,26009541,26576544,28124350,29482656,30737468,30924661,33032078,36178433
 "42000","Pennsylvania",2,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",1532568,1590668,1734751,2028948,2587402,2916292,2998718,3408480,3772854,4337904,4916826,5182935,5898566,6080325,6453290,7411774,7704849,8077152,8490919,9355705,9651997,10216621,10553476,11213148,11858342,12557587,12882568,13067747,13616382,14145428,14633179,15380827,15824045,16072661,16482837,17182278,18166380,19005579,19522439,20030990,19696090,20288417,21245424,21838961,22527195,23198701,24110195,24445376,25563412,26057938,26906829,26165072,27378466,29448271
 "42000","Pennsylvania",2,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-436371,-404633,-373133,-373084,-341896,-348254,-361217,-336926,-320733,-319854,-359872,-379719,-333200,-162200,-23419,144526,280081,398772,528148,778888,971281,1038896,1052501,1225929,1339631,1652085,2166834,2433363,2872631,3270718,3556364,4055982,4317204,4587763,5075887,5866177,6887897,7334707,8221074,8572008,7327458,7998706,7863610,8225060,8138262,8970182,8949764,9434625,9995175,10874380,11638951,12570632,13376513,14043748
