GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "45000","South Carolina",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",7604376,8380439,9180919,10308853,11692290,13234649,14394289,16096281,17592494,19879133,22283228,24971758,28101834,29878270,32452170,36148865,38691618,41354869,44239758,48206088,52466539,56391004,58930883,62654657,65852021,69837510,73997450,78651981,83696770,89751886,94148461,100705331,104242061,107305288,111196686,117451820,124416985,134174152,143055124,149954405,146753696,151745851,160391125,168271228,170204761,180837663,192054676,200027426,210387551,219942068,234324036,250288341,274347818,283245781
 "45000","South Carolina",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",7417571,8193137,8978263,10096587,11392186,12895194,14121207,15867161,17409896,19638370,22029006,24940994,27935570,29687741,32405567,35883459,38499469,41267955,43994699,47863519,52105693,56097275,58538497,62283400,65521939,69355044,73621833,78196937,83234106,89428148,93753078,100187537,103603062,107085637,110681796,116819172,123786115,133720124,142764953,149527133,146276574,151270330,160035617,167810268,169471651,180573126,191850906,199840473,210078290,219779196,234178853,250189534,273907042,283047429
 "45000","South Carolina",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",186805,187302,202656,212266,300104,339455,273082,229120,182598,240763,254222,30764,166264,190529,46603,265406,192149,86914,245059,342569,360846,293729,392386,371257,330082,482466,375617,455044,462664,323738,395383,517794,638999,219651,514890,632648,630870,454028,290171,427272,477122,475521,355508,460960,733110,264537,203770,186953,309261,162872,145183,98807,440776,198352
 "45000","South Carolina",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",2570000,2598210,2661836,2718404,2775442,2843199,2900158,2941407,2988979,3041068,3086885,3134502,3179255,3207611,3234068,3271864,3303211,3342759,3380507,3412097,3456777,3501155,3570404,3620464,3663314,3705397,3748582,3796200,3859696,3919235,3974682,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4633890,4662785,4701074,4740306,4792246,4852678,4910768,4965753,5021059,5077543,5131848,5193266,5282634
 "45000","South Carolina",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2959,3225,3449,3792,4213,4655,4963,5472,5886,6537,7219,7967,8839,9315,10034,11048,11713,12371,13087,14128,15178,16106,16505,17306,17976,18848,19740,20719,21685,22900,23687,25025,25644,26122,26792,27892,29136,30789,32190,33110,31973,32747,34398,35794,35906,37735,39577,40732,42368,43804,46149,48772,52828,53618
 "45000","South Carolina",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",6447908,6942250,7564412,8524777,9707960,10848679,11316873,12843726,14087803,15992600,17885280,19488014,21600572,22406360,24408184,27455282,29233430,31328841,33985234,37218635,39824982,42861853,44199844,46889113,49203487,51749066,54431211,57240948,60813625,65335985,69550347,73814311,75459907,77350806,80561519,84528682,88717627,94342918,99031306,100641309,96341177,99188050,103971400,109973053,113166207,119059563,125823340,130602979,137501595,143465879,151296969,152497900,164758133,176962695
 "45000","South Carolina",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",416658,448797,509407,599659,773251,898149,927583,1088867,1199178,1388996,1608122,1773764,2091176,2195836,2469826,2849921,3096372,3425294,3665138,4150738,4513388,4973794,5191871,5480184,5823798,6195331,6554573,6771413,7187058,7734179,8168801,8622674,8877254,9172176,9560749,10054071,10525597,11431047,11950714,12281407,11924491,12140037,11409738,11741434,13573945,14249195,15009155,15571189,16412340,17242807,18238228,18478891,19833000,21905664
 "45000","South Carolina",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",201954,216763,243266,283049,369136,429346,441909,505137,555147,642151,748550,834918,995999,1062678,1177980,1333735,1496934,1672935,1797136,2048403,2266112,2487146,2610922,2748238,2916839,3133868,3350774,3472573,3689831,3951755,4191727,4399881,4563751,4719323,4894865,5189137,5485942,5953941,6293147,6460257,6299827,6437791,5284580,5482922,7171313,7562325,7990484,8417165,8934156,9497787,10077329,10425350,11203693,12438741
 "45000","South Carolina",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",214704,232034,266141,316610,404115,468803,485674,583730,644031,746845,859572,938846,1095177,1133158,1291846,1516186,1599438,1752359,1868002,2102335,2247276,2486648,2580949,2731946,2906959,3061463,3203799,3298840,3497227,3782424,3977074,4222793,4313503,4452853,4665884,4864934,5039655,5477106,5657567,5821150,5624664,5702246,6125158,6258512,6402632,6686870,7018671,7154024,7478184,7745020,8160899,8053541,8629307,9466923
 "45000","South Carolina",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",127535,127640,138073,154370,166624,180154,191109,225047,246522,264385,286201,317637,347454,380455,391969,424767,476954,542691,585573,610279,571202,507361,494284,503538,519817,636271,767316,877810,1036031,1115429,1203377,1429211,1519430,1556121,1590651,1673800,1868489,2142308,2513898,2593953,2583059,2525120,2561385,2850824,2953095,3111883,3485906,3905791,4075301,4250793,4516137,4980738,5521046,6247556
 "45000","South Carolina",5,CAINC4,45,"...","Equals: Net earnings by place of residence ","Thousands of dollars",6158785,6621093,7193078,8079488,9101333,10130684,10580399,11979906,13135147,14867989,16563359,18031887,19856850,20590979,22330327,25030128,26614012,28446238,30905669,33678176,35882796,38395420,39502257,41912467,43899506,46190006,48643954,51347345,54662598,58717235,62584923,66620848,68102083,69734751,72591421,76148411,80060519,85054179,89594490,90953855,86999745,89573133,95123047,101082443,102545357,107922251,114300091,118937581,125164556,130473865,137574878,138999747,150446179,161304587
 "45000","South Carolina",5,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",908912,1090331,1209059,1353121,1546986,1785802,1999904,2189287,2444246,2801350,3170532,3837380,4660727,5351933,5925666,6694043,7283376,7850551,8134706,8978953,10161245,10879469,11269873,11565554,12117661,12960004,13924041,15001397,16146262,17487016,17189342,18632755,18894831,18845074,18923390,20016856,21471625,24362226,27106861,28617750,26176330,25815621,28519617,30272215,29738275,32581472,34905918,36934387,39517507,41265254,45328985,46670434,51185810,55996586
 "45000","South Carolina",5,CAINC4,47,"...","Plus: Personal current transfer receipts ","Thousands of dollars",536679,669015,778782,876244,1043971,1318163,1813986,1927088,2013101,2209794,2549337,3102491,3584257,3935358,4196177,4424694,4794230,5058080,5199383,5548959,6422498,7116115,8158753,9176636,9834854,10687500,11429455,12303239,12887910,13547635,14374196,15451728,17245147,18725463,19681875,21286553,22884841,24757747,26353773,30382800,33577621,36357097,36748461,36916570,37921129,40333940,42848667,44155458,45705488,48202949,51420173,64618160,72715829,65944608
