GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "48000","Texas",6,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",38574952,42497001,46116225,51173430,58113014,65532274,74746690,84227582,93978608,108293275,124674852,143179438,168206050,185427375,198102234,216621133,233449005,238841027,242766096,258008140,275613291,297664403,311648483,336384637,356047525,376212519,402352739,432484526,472267790,514882580,543797610,591738336,631080209,639443134,664814928,696381313,754775858,827439656,878902412,968499295,923470728,982052761,1074857967,1142887491,1173747415,1257639593,1281170135,1276330590,1367826004,1463789844,1536596995,1611228255,1789719416,1879419645
 "48000","Texas",6,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",37660837,41342238,45115566,49931876,55988632,64399686,73459726,82969646,92735717,107301407,122973909,142597909,166281719,184099612,196385408,215021642,231978185,237593615,240716437,255728563,273409089,294659833,308919785,333049328,352096981,372808886,399617041,430113686,469249587,512082682,539562682,588430034,627128797,635503218,659586973,691112660,749864958,824237571,875405138,967380795,922664856,978874402,1072198501,1140399552,1169137311,1253184592,1274997757,1273940750,1364581887,1461214073,1533831389,1607770586,1784806709,1876234880
 "48000","Texas",6,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",914115,1154763,1000659,1241554,2124382,1132588,1286964,1257936,1242891,991868,1700943,581529,1924331,1327763,1716826,1599491,1470820,1247412,2049659,2279577,2204202,3004570,2728698,3335309,3950544,3403633,2735698,2370840,3018203,2799898,4234928,3308302,3951412,3939916,5227955,5268653,4910900,3202085,3497274,1118500,805872,3178359,2659466,2487939,4610104,4455001,6172378,2389840,3244117,2575771,2765606,3457669,4912707,3184765
 "48000","Texas",6,CAINC4,20,"...","Population (persons) 3/","Number of persons",11045000,11236772,11509640,11758760,12018970,12267865,12568182,12903268,13191790,13497726,13887312,14338208,14746318,15331408,15751674,16007088,16272722,16561103,16621767,16667040,16806729,17056755,17398005,17759738,18161612,18564062,18958751,19340342,19740317,20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25238863,25630063,26055816,26438164,26907878,27399070,27830020,28192251,28510878,28857754,29232474,29558864,30029572
 "48000","Texas",6,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3493,3782,4007,4352,4835,5342,5947,6528,7124,8023,8978,9986,11407,12095,12577,13533,14346,14422,14605,15480,16399,17451,17913,18941,19604,20266,21223,22362,23924,25543,26452,28253,29601,29481,30176,31097,33136,35422,36879,39841,37234,38910,41937,43863,44396,46739,46760,45862,48518,51341,53247,55118,60548,62586
 "48000","Texas",6,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",32375758,35027421,37692181,41929379,47768496,53272384,60158825,68768312,77583471,89913545,103943371,117744426,137809695,148463454,155493408,169959056,181698131,184443191,188456297,200895762,212989260,231007891,242726224,262040325,278897640,294340236,312776570,337172293,371889772,409826731,437476646,476392598,508673770,512797249,527866534,553840123,591628463,649062947,680589417,726055575,688445451,730759839,790638321,842420003,883754611,944624947,953607957,949374437,1013371263,1083399461,1132601172,1120845444,1221550755,1347094881
 "48000","Texas",6,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",2012043,2149000,2399309,2782640,3608255,4248908,4720816,5513395,6290150,7500891,9046503,10466423,13077673,14469860,15034877,16887368,18294520,18420100,18487094,20384775,21806091,23239484,25080798,26705205,28325493,30353046,32364691,34406375,37474256,40840384,43359862,46650055,49028237,49508013,51633804,54326986,57860743,62124014,66488505,69841099,69363568,72180992,67984851,72065376,85160863,90383055,94434683,96797034,102418471,107516373,112865926,114709450,121815854,135298401
 "48000","Texas",6,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",1017402,1086601,1206157,1372398,1789465,2111097,2338673,2649839,3012638,3559702,4330074,5082598,6410432,7108699,7316452,8044937,9007138,9159931,9261661,10269548,11183368,11930149,12941824,13757072,14616384,15724677,16872382,17911343,19504289,21230023,22608868,24285563,25549897,25902427,26288215,27766066,29785679,32395879,34885617,37153732,36880594,37821564,31406400,33140272,44732780,47644598,49714287,51155163,54335808,57725599,60874161,62279463,65202555,72943585
 "48000","Texas",6,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",994641,1062399,1193152,1410242,1818790,2137811,2382143,2863556,3277512,3941189,4716429,5383825,6667241,7361161,7718425,8842431,9287382,9260169,9225433,10115227,10622723,11309335,12138974,12948133,13709109,14628369,15492309,16495032,17969967,19610361,20750994,22364492,23478340,23605586,25345589,26560920,28075064,29728135,31602888,32687367,32482974,34359428,36578451,38925104,40428083,42738457,44720396,45641871,48082663,49790774,51991765,52429987,56613299,62354816
 "48000","Texas",6,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-78897,-96257,-101099,-126408,-153606,-130742,-127041,-90947,-303141,-423525,-441635,-546004,-334322,-404967,-387547,-445068,-473650,-434779,-430986,-436674,-445729,-484470,-562837,-585802,-606522,-671270,-752645,-823069,-962927,-1058403,-1082765,-1180108,-1184953,-1157036,-1081427,-998071,-967129,-1051488,-1139425,-1199430,-1407638,-1538477,-1850533,-2217343,-2395014,-2458804,-2447162,-2144457,-1886506,-1994648,-2377705,-2164943,-2146659,-2644186
