GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "53000","Washington",8,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",14235772,15036667,15838561,17079016,19236035,21826702,24719584,27398764,30411983,35366608,40752946,46254685,51365099,54573628,58291800,62358723,66336846,70833996,74745705,81651774,90213844,99135239,106288273,114669850,120546409,126690099,133934768,143929234,154610940,169365441,179870334,192317794,197445687,201073137,209167846,224342927,232783787,253199891,274770444,289381122,277889805,285436747,302460806,324882731,330952568,355276626,376360823,397270635,423017231,451609165,484334162,522713789,574266835,586520188
 "53000","Washington",8,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",13842571,14695107,15452359,16577998,18487129,20944563,23826467,26661962,29825683,34631525,40033350,45412693,50521738,53824005,57244427,61356075,65606181,69795076,73685822,80661074,89097110,97978011,105068478,113196603,118873100,125328169,132547853,142068005,153142106,167717430,178481176,190694362,195984862,199525765,207064013,222311045,231018148,251513181,272623917,287365533,275828088,283108383,299396939,321752116,327652795,352427791,372139544,393843729,419661423,449125919,481166039,519155938,571083660,583088911
 "53000","Washington",8,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",393201,341560,386202,501018,748906,882139,893117,736802,586300,735083,719596,841992,843361,749623,1047373,1002648,730665,1038920,1059883,990700,1116734,1157228,1219795,1473247,1673309,1361930,1386915,1861229,1468834,1648011,1389158,1623432,1460825,1547372,2103833,2031882,1765639,1686710,2146527,2015589,2061717,2328364,3063867,3130615,3299773,2848835,4221279,3426906,3355808,2483246,3168123,3557851,3183175,3431277
 "53000","Washington",8,CAINC4,20,"...","Population (persons) 3/","Number of persons",3343000,3417362,3446958,3446815,3477227,3547877,3618824,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6743597,6830460,6904030,6974173,7068026,7180454,7315935,7446807,7548537,7638689,7724031,7740745,7785786
 "53000","Washington",8,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4258,4400,4595,4955,5532,6152,6831,7424,8062,9101,10156,11133,12127,12761,13555,14356,15076,15908,16493,17598,19007,20219,21149,22220,22836,23570,24436,25841,27245,29355,30786,32538,32986,33222,34267,36309,37202,39744,42524,44098,41679,42327,44281,47057,47454,50265,52415,54302,56805,59827,63405,67674,74188,75332
 "53000","Washington",8,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",11684589,11831246,12254123,13319572,15158100,17064432,19018341,21322278,23909276,28178693,32521273,35850813,39163355,40424144,42690278,45595238,48337212,52215548,55899477,61412272,67129271,74602228,80050897,87402767,91302448,95244987,99389450,106532882,115626713,128638260,139694124,148773616,151171177,154039284,159146056,167535702,176977926,190023285,202974159,207957318,199248966,204545368,214437561,228960750,239837489,252297236,266493949,280695222,300620454,324710826,345166959,359586450,394134795,420116387
 "53000","Washington",8,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",908827,911359,978715,1114784,1434928,1656005,1837154,2136936,2456833,2973069,3561299,3898199,4585056,4812246,5113987,5647155,6086761,6584809,7024733,7929320,8669433,9822715,10637496,11580257,12079083,12803680,13403631,14014304,14810180,16245428,17001737,18407022,18148607,18483528,19253578,20481121,21791759,23178067,24441601,25040874,24811271,25461558,23936138,24695508,28921229,30389717,32083359,33515914,36103457,38229697,39722271,41652395,44622372,49098627
 "53000","Washington",8,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",374954,380858,408114,456489,589919,687177,765408,859618,964757,1152714,1386952,1543841,1841274,1956988,2058018,2216878,2496607,2743142,2950202,3371750,3777738,4297958,4670719,5030938,5172897,5516089,5832364,6189957,6770439,7368796,7847343,8400551,8318550,8551540,8799174,9261550,9916933,10816230,11593598,12064657,11878891,11981171,9813580,10237600,13820756,14529901,15399813,16299597,17670702,18959300,20157859,20968834,22492916,24780064
 "53000","Washington",8,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",533873,530501,570601,658295,845009,968828,1071746,1277318,1492076,1820355,2174347,2354358,2743782,2855258,3055969,3430277,3590154,3841667,4074531,4557570,4891695,5524757,5966777,6549319,6906186,7287591,7571267,7824347,8039741,8876632,9154394,10006471,9830057,9931988,10454404,11219571,11874826,12361837,12848003,12976217,12932380,13480387,14122558,14457908,15100473,15859816,16683546,17216317,18432755,19270397,19564412,20683561,22129456,24318563
 "53000","Washington",8,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",89185,63391,60936,71073,87215,130176,200099,248694,231530,271725,484229,577205,431047,467701,493775,543988,572083,616416,672368,756656,845370,918220,990244,1101109,1195883,1249854,1407309,1627109,1785610,1891989,1958446,2281047,2375974,2431286,2566356,2765347,3032615,3441948,3665278,3681878,3394292,3240847,3524772,3608898,3580267,3533058,3825231,4108413,4261585,4603091,4749664,5196431,5531019,6188557
