GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "55000","Wisconsin",3,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",16424603,17648753,18959244,20731568,23157827,25436474,27871968,30609129,34210389,38209862,42797838,47299027,51586511,54425987,57213708,62839302,66243939,69881373,73507230,78389485,85446559,90418024,94089052,101342383,106615006,113266452,119152526,125937358,133808682,143130045,148737033,158494204,166593201,171010014,175794284,183721399,189779153,201058382,210529869,219194538,216211889,222260933,234631562,244508303,245762269,255165329,266132029,270846626,281979549,295996804,307907603,326836532,355048009,362245267
 "55000","Wisconsin",3,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",15789273,17012120,18269232,20005311,22246022,24635350,27012070,29855551,33075309,37091777,41400982,45863027,50424059,53416802,56754290,61851107,65228055,68588443,72104526,77552217,83727255,89047441,93100093,100098135,105693398,112079832,118382896,124602239,132843352,141795544,147451499,157647013,165445197,169952726,174279239,181866211,188163004,199710431,208466322,217486205,215371064,220540221,231753338,241819602,242629072,251994688,263392714,268948636,280128223,294274376,306041508,323926648,352120603,358980501
 "55000","Wisconsin",3,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",635330,636633,690012,726257,911805,801124,859898,753578,1135080,1118085,1396856,1436000,1162452,1009185,459418,988195,1015884,1292930,1402704,837268,1719304,1370583,988959,1244248,921608,1186620,769630,1335119,965330,1334501,1285534,847191,1148004,1057288,1515045,1855188,1616149,1347951,2063547,1708333,840825,1720712,2878224,2688701,3133197,3170641,2739315,1897990,1851326,1722428,1866095,2909884,2927406,3264766
 "55000","Wisconsin",3,CAINC4,20,"...","Population (persons) 3/","Number of persons",4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5691995,5713164,5734069,5757204,5778371,5794088,5812379,5836461,5858766,5880193,5896271,5880101,5892539
 "55000","Wisconsin",3,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3752,3988,4251,4609,5125,5605,6099,6676,7416,8249,9172,10038,10915,11509,12118,13270,13953,14694,15385,16255,17594,18435,18953,20166,20967,22063,22981,24080,25409,27018,27892,29493,30812,31406,32084,33319,34218,36047,37522,38857,38138,39048,41069,42641,42688,44159,45932,46598,48313,50522,52364,55431,60381,61475
 "55000","Wisconsin",3,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",13299689,13996652,14882838,16364845,18460128,19988459,21371022,23719629,26786797,30116657,33721026,35788170,37867430,38813606,40336114,44867823,47233154,50210889,53917095,57909729,62611437,66619910,69403725,75563055,79850486,85198939,88756806,93623218,99604734,106642979,112950338,119592326,125490544,129879609,134072391,141101383,145254978,151722160,156858519,159732596,154756462,158659374,166933320,172983043,177814101,183139236,189869463,192623851,199164897,208428701,215882075,220125725,234299527,248309929
 "55000","Wisconsin",3,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",933625,974256,1070283,1247624,1614201,1840400,1927419,2187518,2442939,2842775,3302232,3496524,3999202,4156475,4359358,4904193,5208452,5503388,5810842,6548673,7004271,7800998,8259129,8871655,9408488,10145854,10657062,11099560,11779779,12475711,13251364,13900504,14201539,14656796,15147668,15958620,16606625,17399752,17979085,18550666,18025822,18413326,17234187,17767184,20528158,21173104,21907363,22323215,23303098,24084754,25054266,25560929,27019963,29343076
 "55000","Wisconsin",3,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",460996,484445,529788,604625,773766,887603,938179,1031205,1137940,1306169,1531310,1646621,1901966,1988449,2056329,2258356,2483961,2649713,2834812,3225180,3539547,3928939,4177873,4470227,4706869,5080947,5375891,5596132,5956544,6286963,6722525,7040503,7250837,7534087,7769787,8180536,8534012,9017148,9401155,9683408,9395583,9526749,7818144,8044090,10555025,10954081,11370331,11762810,12413568,13021952,13600765,13977545,14931551,16353159
 "55000","Wisconsin",3,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",472629,489811,540495,642999,840435,952797,989240,1156313,1304999,1536606,1770922,1849903,2097236,2168026,2303029,2645837,2724491,2853675,2976030,3323493,3464724,3872059,4081256,4401428,4701619,5064907,5281171,5503428,5823235,6188748,6528839,6860001,6950702,7122709,7377881,7778084,8072613,8382604,8577930,8867258,8630239,8886577,9416043,9723094,9973133,10219023,10537032,10560405,10889530,11062802,11453501,11583384,12088412,12989917
 "55000","Wisconsin",3,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",249876,254730,267289,290688,316202,342670,345052,382573,422729,475362,505738,530431,580467,600496,651385,760881,849023,930312,1032914,1193940,1233223,1342490,1362741,1461925,1518637,1655727,1774807,1918166,2120750,2306161,2476947,2707407,2839029,2925062,3000884,3106790,3300419,3423175,3683580,3727762,3290773,3242623,3359897,3298744,3259785,3493462,3636362,3734682,3910706,3939225,4204943,4100740,4249903,4592904
