GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "54000","West Virginia",5,CAINC4,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",4944141,5511837,6051556,6700698,7333218,8128736,9186126,10241128,11457287,12752672,14222751,15637550,17044991,18059962,18554199,19921934,20756668,21253154,21714815,23221484,24579344,26184243,27331646,29388622,30475580,31790532,32855636,34152035,35627801,37130579,38078587,40251566,42750333,44243165,44952808,46551205,48854253,52146960,54184672,57958900,58487453,60532086,64059017,65488403,65152569,67156751,68437802,68067852,70797616,74235000,76746554,80740963,87617398,88744908
 "54000","West Virginia",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",4913302,5486070,6026449,6670050,7289111,8100321,9172260,10237816,11459428,12740500,14205874,15629118,17067783,18088769,18571189,19900752,20737205,21207522,21710462,23218820,24548793,26142177,27299086,29331907,30416198,31735078,32837661,34148779,35634108,37136483,38100601,40242552,42730547,44283921,44973962,46527722,48849181,52176894,54247478,57992748,58526542,60564772,64054388,65496721,65126346,67143004,68445395,68100580,70791990,74287809,76766946,80802458,87648916,88699527
 "54000","West Virginia",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",30839,25767,25107,30648,44107,28415,13866,3312,-2141,12172,16877,8432,-22792,-28807,-16990,21182,19463,45632,4353,2664,30551,42066,32560,56715,59382,55454,17975,3256,-6307,-5904,-22014,9014,19786,-40756,-21154,23483,5072,-29934,-62806,-33848,-39089,-32686,4629,-8318,26223,13747,-7593,-32728,5626,-52809,-20392,-61495,-31518,45381
 "54000","West Virginia",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",1746000,1746629,1770252,1796910,1805293,1814048,1840548,1877440,1905628,1920342,1939062,1951349,1954125,1949605,1945058,1927696,1906831,1882352,1857583,1830213,1806570,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854409,1857326,1858745,1856642,1853014,1846341,1835998,1822785,1810588,1800430,1791420,1785526,1775156
 "54000","West Virginia",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2832,3156,3418,3729,4062,4481,4991,5455,6012,6641,7335,8014,8723,9263,9539,10335,10885,11291,11690,12688,13606,14607,15195,16269,16767,17463,18016,18736,19585,20451,21017,22275,23731,24506,24804,25628,26836,28528,29544,31494,31653,32642,34490,35233,35092,36242,37067,37074,38840,41000,42627,45071,49071,49993
 "54000","West Virginia",5,CAINC4,35,"...","Earnings by place of work ","Thousands of dollars",4173345,4567817,4954108,5474485,5928148,6513675,7240391,8154161,9215356,10301395,11370381,12085492,12760919,13097919,12968021,14034160,14568500,14758277,15160082,16278383,16957114,18147757,18782216,19981593,20767488,21853206,22433881,23089726,23975949,24934470,25907045,27406301,28659645,29411513,30011569,31544893,33311917,35261670,35569125,37158538,36954076,38124713,40288257,41350578,41460579,41961341,42154633,41095822,43083066,46291659,46921444,45477558,48494379,51154417
 "54000","West Virginia",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",323431,349685,394920,454649,567826,647589,710757,818832,917593,1058367,1212117,1310531,1483588,1571511,1570721,1737026,1827922,1921373,1992005,2190267,2309620,2502353,2662533,2839568,3058984,3205308,3351520,3454383,3548056,3720719,3826208,4141034,4114559,4049565,4240307,4367438,4556422,4623531,4503395,4543954,4596389,4700896,4379822,4497827,5040011,5202372,5257452,5278315,5511503,5838456,5841494,5894893,6193930,6577013
 "54000","West Virginia",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance ","Thousands of dollars",142838,155038,173692,198740,244567,277962,308308,347281,382795,432875,503163,545696,625461,663588,655701,708138,769115,812463,848214,941398,1016011,1092446,1156771,1214268,1271219,1361382,1428790,1458561,1506546,1544870,1604918,1658166,1754041,1772024,1852904,1952892,2067815,2214961,2335078,2466040,2473924,2532075,2116241,2162554,2715940,2816136,2843397,2856672,3027181,3231707,3249491,3305489,3495195,3775381
 "54000","West Virginia",5,CAINC4,38,"..."," Employer contributions for government social insurance ","Thousands of dollars",180593,194647,221228,255909,323259,369627,402449,471551,534798,625492,708954,764835,858127,907923,915020,1028888,1058807,1108910,1143791,1248869,1293609,1409907,1505762,1625300,1787765,1843926,1922730,1995822,2041510,2175849,2221290,2482868,2360518,2277541,2387403,2414546,2488607,2408570,2168317,2077914,2122465,2168821,2263581,2335273,2324071,2386236,2414055,2421643,2484322,2606749,2592003,2589404,2698735,2801632
 "54000","West Virginia",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-73255,-75085,-90351,-102475,-104949,-119499,-124430,-152524,-185047,-214500,-227046,-249993,-226731,-169860,-145077,-112395,-107393,-85597,-25753,8070,95027,92065,74295,133929,131571,180606,223668,234396,392467,438830,500815,625245,772281,816229,960434,1089376,1288434,1336711,1485808,1441294,1328554,1459485,1468037,1215330,1255348,1469412,1468384,1714709,1618996,1233255,1726834,2164932,2320148,2780951
