GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
00000,United States, ,CAINC4,20,...,Population (persons) 3/,Number of persons,201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309378433,311841632,314344331,316735375,319270047,321829327,324367742,326623063,328542157,330233102,331511512,332031554,333287557
01000,Alabama,5,CAINC4,20,...,Population (persons) 3/,Number of persons,3440000,3449846,3497452,3540080,3580769,3627805,3680533,3737204,3782736,3834120,3869444,3900368,3918533,3925263,3934100,3951824,3972520,3991569,4015262,4023842,4030219,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4787998,4812138,4839261,4864399,4886793,4908162,4930595,4952202,4976395,5003418,5031362,5049846,5074296
01001,"Autauga, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,25166,24606,25508,27166,28463,29266,29718,29896,30462,30882,32055,32215,31985,32036,32054,32134,32245,32893,33268,33636,33996,34353,35010,35985,36953,38186,39112,40207,41238,42106,42963,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54826,55557,55558,55594,56034,56278,56954,57371,57728,58245,58902,59210,59759
01003,"Baldwin, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,56951,59474,60142,62435,64196,66072,67861,70244,72399,74550,76594,78931,80287,82331,83978,86752,89401,91311,93214,94649,96198,98955,102420,106595,111416,116565,120896,125412,130164,134444,137555,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,183200,186981,190941,196067,200759,204925,210004,215365,221132,227079,233219,239361,246435
01005,"Barbour, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,23818,22655,23092,22854,23457,23432,24869,25609,24690,24524,24429,24763,24748,24777,24798,24952,25002,24941,25102,25230,25336,25505,26506,26941,27371,27751,27854,28298,28415,28841,28866,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27342,27426,27320,27158,27043,26633,26217,25608,25380,25205,24960,24539,24706
01007,"Bibb, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,14994,13798,13919,14097,14654,14391,14778,14763,15257,15355,15550,15751,15836,16020,15999,16089,16157,15918,16165,16136,16360,16697,17071,17403,17757,18053,18507,18885,19388,19851,20560,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,22861,22750,22682,22544,22586,22607,22654,22606,22383,22405,22183,22370,22005
01009,"Blount, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,26411,26999,27817,29296,30357,31537,32219,33048,34219,34845,35959,36508,36641,36355,36428,36790,37417,37995,38017,38250,38771,39473,40190,40822,41866,42520,44060,45344,47055,48824,50237,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,57403,57712,57857,58024,58048,58168,58238,58676,58765,58956,59102,59085,59512
01011,"Bullock, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,12554,11749,11418,11443,11274,11141,11097,11112,11015,10954,10799,10616,10679,10639,10686,10824,10777,10459,10891,11184,11170,11032,11188,11125,11219,11370,11431,11574,11624,11655,11755,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10885,10724,10689,10670,10818,10584,10612,10425,10443,10455,10296,10280,10202
01013,"Butler, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,22726,21987,21846,21530,21237,21160,21169,21351,20872,20911,21204,21789,22186,22399,22384,22443,22427,22340,22405,22207,22035,21886,21755,21794,21813,21851,21824,21863,21840,21718,21605,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20922,20810,20568,20212,20139,19932,19760,19588,19312,19097,19031,18855,18650
01015,"Calhoun, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,102946,103125,103622,103846,105027,105917,107005,112768,112801,116474,116742,120016,120814,122109,121249,121739,118644,117700,118092,117260,116381,116118,115247,115804,116324,116161,116790,116684,117254,117179,114910,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118493,118132,117880,117465,117209,117048,116810,116796,116622,116669,116239,115677,115788
01017,"Chambers, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,37814,36274,36280,36087,36961,37534,37537,37943,38368,38734,39303,39243,39382,39336,39258,39073,38614,37982,37753,37385,37208,36884,36913,37045,37026,37066,37179,36907,36698,36808,36527,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,34151,34243,34499,34721,34740,34953,34881,35038,35071,34914,34645,34446,34088
01019,"Cherokee, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,15904,15771,16522,16860,17242,17661,18068,18556,18435,18590,18644,18876,19310,19525,19136,18989,18890,18985,19229,19517,19467,19643,19876,20181,20712,21214,21871,22387,22911,23351,23605,24006,24182,24403,24591,24887,25031,25466,25553,25636,25854,25936,25831,25671,25602,25355,25071,24973,24899,24978,25061,24972,25026,25302
01021,"Chilton, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,26594,25222,25630,26442,27241,27932,28558,29051,29317,29926,30472,30641,30702,30361,30734,31080,31560,31924,31994,32310,32365,32550,33200,33503,34072,34739,35537,36467,37302,38069,38862,39897,40197,40683,41079,41534,41946,42318,42881,43239,43484,43661,43762,43715,43823,44021,44026,44251,44546,44608,44902,45051,45259,45884
01023,"Choctaw, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,18432,16577,16516,16689,16996,16819,17226,17448,17329,16931,16909,16812,16672,16367,16594,16618,16710,16727,16557,16477,16166,15994,16044,16206,16228,16215,16195,16232,16162,16151,15931,15875,15677,15367,15199,14930,14545,14431,14216,14114,13976,13853,13637,13616,13473,13416,13352,13183,13077,12984,12768,12619,12549,12439
01025,"Clarke, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,28083,26536,25876,26280,26544,26907,27385,27850,28225,28360,27646,27797,28128,27946,27864,27637,27419,27363,27527,27271,27164,27289,27391,27522,27532,27646,27455,27503,27934,27756,27919,27819,27624,27267,27090,26958,26764,26755,26436,26283,26038,25760,25552,25095,25036,24750,24560,24164,23878,23733,23393,22981,22715,22515
01027,"Clay, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,13075,12678,12926,13240,12959,13139,13165,13381,13330,13697,13895,13740,13864,13765,13759,13667,13700,13509,13331,13266,13172,13284,13314,13425,13518,13553,13590,13734,13963,14118,14174,14263,14298,14257,14203,14121,14077,14053,14085,14161,14006,13924,13822,13672,13751,13897,13976,14062,14132,14184,14256,14211,14190,14198
01029,"Cleburne, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,11115,11008,11165,11384,11654,11839,11985,12055,12086,12217,12559,12640,12799,12876,12727,12630,12659,12555,12731,12745,12754,12724,12684,12850,13027,13030,13080,13254,13768,13921,14039,14172,14222,14416,14438,14339,14368,14538,14799,14874,14918,15006,14938,14907,15000,15062,14964,14919,14979,15110,15021,15063,15148,15346
01031,"Coffee, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,36137,35107,36396,36171,35648,35507,36451,36960,37355,37450,37849,38779,39694,39836,40248,40241,40386,40636,40394,40699,40408,40293,40577,41469,41910,42666,43174,43128,43201,43509,43667,43580,43716,43930,44315,45053,45604,46228,47458,48516,49440,50213,50494,51241,50825,50843,51189,51501,52200,52389,52968,53547,54171,54805
01033,"Colbert, AL",5,CAINC4,20,...,Population (persons) 3/,Number of persons,50891,49663,50387,50720,51277,50779,52084,52053,53133,53323,54097,54580,54724,54069,53505,52995,52858,52481,51905,51502,51382,51876,52557,52827,53367,53454,53702,54163,54899,54928,54715,54997,54793,54536,54279,54380,54359,54413,54486,54473,54426,54572,54768,54980,55123,55240,55373,55595,55978,56452,56912,57299,57619,58033
