"The Make of Commodities by Industries, Before Redefinitions - Summary"
"The Make of Commodities by Industries, Before Redefinitions - Summary"

,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
111CA,Farms,545734,6123,---,---,---,---,---,13,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3473,---,---,---,---,---,---,---,---,---,---,555343
113FF,"Forestry, fishing, and related activities",32,65333,---,---,---,---,979,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,66345
211,Oil and gas extraction,---,---,404117,56,27955,---,326,---,---,---,0,236,---,---,---,---,---,---,---,---,---,---,---,43242,307,---,2072,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,108,329,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,478748
212,"Mining, except oil and gas",---,---,0,111504,8636,---,13206,---,246,---,---,---,---,---,---,---,---,---,---,---,---,---,---,141,2536,---,601,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,36,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,136909
213,Support activities for mining,---,---,372,0,95241,---,7290,---,---,---,220,---,---,---,---,---,---,---,---,---,---,---,---,20,---,---,497,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,41,122,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,103802
22,Utilities,---,---,133,---,---,623762,2825,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1816,---,---,---,1074,---,---,---,---,---,4415,---,---,---,---,---,---,---,---,---,---,---,---,---,---,402,152,---,---,8,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5688,---,---,640276
23,Construction,---,---,---,---,---,---,2335454,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,427,21,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2335903
321,Wood products,---,---,---,---,---,---,1698,162586,52,---,638,---,0,---,---,---,985,36,---,0,---,25,---,---,26,131,1761,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,26,165,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,579,---,168707
327,Nonmetallic mineral products,---,---,0,709,0,---,2311,24,155052,1,32,8,0,68,21,1,122,24,---,26,96,31,---,133,209,217,1696,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,48,930,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9,---,161769
331,Primary metals,---,---,---,---,---,---,589,---,129,311722,1596,275,1,346,---,---,2,---,---,2,---,2,---,993,226,1,1242,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,79,836,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,826,---,318866
332,Fabricated metal products,---,---,---,---,---,---,4632,251,233,4002,403734,3112,416,244,880,199,59,508,---,128,1,0,67,4,35,748,3907,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,398,4012,---,---,---,---,---,---,---,---,---,---,---,---,457,---,---,---,---,---,3589,---,431618
333,Machinery,---,---,---,---,1,---,1352,---,191,25,1949,426315,556,1262,948,312,7,59,0,0,1,0,---,0,84,83,5846,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,14,---,650,11921,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,385,---,451962
334,Computer and electronic products,---,---,---,---,---,---,119,0,18,57,108,590,336726,577,7,547,0,1841,---,20,---,1,1,---,290,149,2867,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1464,68580,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,413962
335,"Electrical equipment, appliances, and components",---,---,---,---,---,---,195,---,100,713,188,481,203,158782,73,1,12,14,---,0,---,9,---,3,0,107,2657,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,251,4315,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,168106
3361MV,"Motor vehicles, bodies and trailers, and parts",---,---,---,---,---,---,1324,---,0,17,1106,1542,62,156,741643,6131,0,10,---,577,---,---,---,---,2,103,2868,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,451,20727,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,389,---,777108
3364OT,Other transportation equipment,---,---,---,---,---,---,2075,---,---,1,53,596,676,510,2929,384603,---,5,---,0,1,---,---,---,40,241,1525,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,603,20947,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,39,---,414844
337,Furniture and related products,---,---,---,---,---,---,979,557,40,26,234,49,9,28,0,---,77420,145,---,72,5,1,7,---,11,11,950,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,89,300,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,80932
