,type1_simple_output_multiplier,type2_simple_output_multiplier
1111A0,2.132324246,2.8070473
1111B0,2.556457228,3.822807028
111200,2.163468597,3.608307763
111300,1.758326295,3.081868433
111400,1.994243495,3.817676998
111900,2.355737114,4.06156772
112120,2.915619542,4.182395294
1121A0,2.894813793,3.639977499
112300,3.644673038,5.056392903
112A00,1.69913982,2.390778337
113000,1.735441286,4.386352231
114000,1.475399929,2.221716227
115000,1.407793859,3.94236998
211000,1.728460301,2.830246726
212100,2.022224018,3.487014973
212230,2.032999913,3.314353725
2122A0,2.266689471,3.938140556
212310,1.922175029,3.489730284
2123A0,1.994332149,3.752292018
213111,1.940420069,3.738583532
21311A,1.99223901,4.000426359
221100,1.628636461,2.795556466
221200,1.661958382,3.287432562
221300,1.54177735,3.066660728
230301,2.115907394,4.127059029
230302,2.021672017,4.124177433
233210,1.778471491,4.086914595
233230,1.944422222,4.11093187
233240,1.66509409,3.604499563
233262,1.965096465,4.135906429
2332A0,2.106950233,4.287271269
2332C0,2.02680405,4.079543856
2332D0,1.940057806,4.116226316
233411,2.029041475,4.255195659
233412,2.000595673,4.107510029
2334A0,2.255732434,4.095428271
311111,2.997733381,4.333755109
311119,3.207730076,4.56336105
311210,2.982933701,4.398426939
311221,2.846313768,4.383040585
311224,3.011354126,3.756404169
311225,3.438194466,4.360226961
311230,2.931976459,4.241354727
311300,2.811544805,4.52092879
311410,2.876360429,4.551036057
311420,2.858237695,4.703528689
311513,3.499303149,4.940007659
311514,2.922764361,4.351015941
31151A,3.247521562,4.798212471
311520,3.015120754,4.873533614
311615,3.478673832,5.126840954
31161A,3.209530934,4.374704176
311700,2.387773131,3.79790362
311810,2.58523517,4.643277781
3118A0,2.770015874,4.530294018
311910,2.591182517,3.931637333
311920,2.652525174,4.257869005
311930,2.085783995,3.710751912
311940,2.720621256,4.388784489
311990,2.764324394,4.457036521
312110,2.626486529,4.527425596
312120,2.452807513,4.008989024
312130,2.18092712,3.799485883
312140,2.458888694,3.687876253
312200,1.736498999,2.479744176
313100,2.868145076,4.9326319
313200,2.613701265,4.658922673
313300,2.657520037,4.949578722
314110,2.614086339,4.493478542
314120,2.554114087,4.801860156
314900,2.288193595,4.569944542
315000,1.719527778,4.513991118
316000,2.175980635,4.265266373
321100,2.471234295,4.711210549
321200,2.459456868,4.467139531
321910,2.469293609,4.638591191
3219A0,2.560815807,4.795358175
322110,2.516378396,4.166783166
322120,2.505318834,4.381358951
322130,2.434730024,4.097197249
322210,2.735219885,4.660154679
322220,2.646445781,4.586866092
322230,2.786329871,4.909432757
322291,2.636828918,4.656811788
322299,2.435634218,4.473405288
323110,2.157110917,4.255832435
323120,1.841033745,4.434473189
324110,2.441225729,3.472438883
324121,2.702940008,4.253850368
324122,2.374737202,3.808551875
324190,2.53002089,3.814616957
325110,2.308831712,3.272439324
325120,2.256531205,4.175711677
325130,2.348966039,4.106542714
325180,2.122120953,3.601132275
325190,2.716532909,3.908976725
325211,2.822026921,4.093940757
3252A0,2.555678755,4.389712344
325310,2.138465922,3.490828809
325320,2.494512504,3.721934149
325411,1.928135441,3.564456514
325412,1.696992803,2.865252598
325413,1.873732027,3.177740994
325414,1.731076847,2.701887782
325510,2.493477551,3.966504593
325520,2.409490564,3.908567823
325610,2.118049503,3.453725036
325620,2.089198382,3.300485594
325910,2.562404702,4.395379955
3259A0,2.471522421,4.105224377
326110,2.79828276,4.480935631
326120,2.642205949,4.266575005
326130,2.414529908,4.485722721
326140,2.791677554,4.672937564
326150,2.638915286,4.517983873
326160,2.788694846,4.51284074
326190,2.63623658,4.443322417
326210,2.472866067,4.57550384
326220,2.453038777,4.715842589
326290,2.536407191,4.535967245
327100,1.995653579,4.157150627
327200,2.155257442,3.950003303
327310,1.867230288,3.224287111
327320,2.248283781,4.106515524
327330,1.991189625,3.931416399
327390,2.103310516,4.110488627
327400,2.08858913,3.477880872
327910,1.719253297,2.891902524
327991,2.109522892,4.332125056
327992,2.113856394,3.477954648
327993,2.037596003,3.72274157
327999,2.04393305,3.534361259
331110,2.707837827,4.583703344
331200,2.745768382,4.812232598
331313,2.772472642,4.723771163
331314,3.017966612,5.090655642
33131B,3.045980451,5.053213875
331410,2.703771811,4.103187066
331420,3.304119069,5.11814564
331490,2.627080315,4.29412039
331510,2.279426074,4.436707447
331520,2.370934266,4.621578349
332114,2.812198075,4.557969192
332119,2.441555193,4.698337524
33211A,2.545270952,4.69828011
332200,2.218977764,4.350243625
332310,2.573822636,4.762503678
332320,2.414963205,4.648268953
332410,2.38960942,4.491076967
332420,2.361147534,4.579999606
332430,2.8139155,4.888146247
332500,2.520119813,4.65933704
332600,2.403362233,4.701854295
332710,2.079050585,4.663399721
332720,2.375251734,4.287081048
332800,2.108866159,4.251487568
332913,2.598725306,4.486095441
33291A,2.214740704,4.349317851
332991,2.065202412,4.380657228
332996,2.243535079,4.602403576
332999,2.452875022,4.764497707
33299A,2.184148819,4.307714481
333111,2.475877737,4.54018995
333112,2.626998271,4.872338995
333120,2.525369664,4.51065082
333130,2.4741864,4.881511905
333242,1.837546979,4.420919815
33329A,2.335938293,4.59993675
333314,2.089500769,4.877989133
333316,2.041042392,4.68112384
333318,2.295666965,4.499109499
333413,2.401427373,4.813908807
333414,2.297963028,4.252277848
333415,2.449558899,4.379631575
333511,2.161787584,4.792171888
333514,2.004791027,4.826746162
333517,2.190159214,4.843684534
33351B,2.21453191,4.672815878
